VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	4.28891	4.08258	4.44798	5.34558	4.91859
1	3.92981	3.73583	4.80955	5.15013	4.58541
2	5.12252	4.02352	4.85076	4.9104	4.94977
3	4.58683	3.65177	4.45268	5.21028	5.00931
4	4.53942	3.72973	4.7821	5.18621	4.7291
5	4.49281	3.93125	4.8295	5.1596	4.68721
6	3.75071	3.71357	4.25484	5.06192	4.85182
7	4.18212	3.44314	4.2215	5.12794	4.33854
8	4.25633	3.77353	4.65449	4.88876	4.54134
9	3.65354	3.68152	4.59158	4.94589	4.57603
10	4.10731	3.4868	5.16419	4.90486	4.31607
11	3.88729	3.83896	4.9476	4.8473	4.75002
12	3.78768	3.66515	4.5	4.78969	4.49352
13	3.64278	4.1116	4.65231	4.5358	4.37357
14	3.60037	5.20268	4.6093	4.84356	4.21901
15	3.99792	4.95448	4.50826	4.65032	4.409
16	3.69316	4.79739	4.71624	4.52887	4.1165
17	3.88819	4.71707	4.5393	4.73071	4.28843
18	3.69685	3.7634	4.35338	4.66782	4.22092
19	3.76844	3.87854	4.51198	4.4959	4.36226
20	3.90514	3.76934	4.26873	4.67641	4.13358
21	3.58743	3.90576	4.26319	4.58746	4.48256
22	3.98647	3.75263	4.26055	4.38456	4.18675
23	4.07259	3.7157	4.438	4.49353	4.21031
24	3.75592	3.6037	4.06677	4.33306	4.41578
25	3.82003	3.57631	4.86901	4.36602	4.06274
26	3.86241	3.71596	5.68401	4.56813	3.97625
27	4.23779	3.60216	5.21725	4.43879	3.92089
28	3.90067	3.5107	4.90418	4.53461	4.17195
29	4.20301	3.69357	4.87791	4.40541	4.1643
30	4.26731	3.48726	4.75278	4.6118	4.48476
31	4.23416	3.65	4.72721	4.65479	4.01571
32	4.0564	3.53663	4.80812	4.57506	3.89804
33	4.28679	3.48196	4.67966	4.63147	4.17134
34	4.09729	3.66393	4.53335	4.67207	4.11813
35	4.00472	3.67261	4.67537	4.66356	4.31698
