VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	108.492	108.275	108.202	108.127	108.214
1	108.487	108.298	108.212	108.137	108.191
2	108.471	108.294	108.224	108.13	108.189
3	108.459	108.285	108.238	108.067	108.208
4	108.451	108.28	108.229	108.03	108.215
5	108.445	108.271	108.214	108.054	108.219
6	108.444	108.27	108.218	108.062	108.219
7	108.465	108.288	108.221	108.058	108.23
8	108.473	108.289	108.236	108.059	108.219
9	108.475	108.288	108.169	108.038	108.229
10	108.483	108.296	108.092	108.032	108.227
11	108.446	108.285	108.114	108.016	108.212
12	108.503	108.268	108.133	108.001	108.206
13	108.528	108.302	108.156	108.048	108.203
14	108.493	108.288	108.129	108.049	108.202
15	108.498	108.305	108.142	108.042	108.205
16	108.445	108.295	108.158	108.035	108.195
17	108.436	108.277	108.162	108.009	108.215
18	108.476	108.234	108.183	108.029	108.191
19	108.498	108.292	108.166	108.028	108.185
20	108.504	108.304	108.156	108.034	108.174
21	108.496	108.317	108.147	108.003	108.155
22	108.46	108.306	108.123	108.007	108.148
23	108.457	108.236	108.109	107.982	108.153
24	108.43	108.239	108.102	107.984	108.138
25	108.439	108.261	108.061	108.012	108.175
26	108.451	108.252	107.971	108.013	108.176
27	108.459	108.251	108.117	108.001	108.167
28	108.474	108.277	108.103	107.999	108.159
29	108.489	108.277	108.11	107.928	108.19
30	108.491	108.268	108.107	107.894	108.168
31	108.493	108.277	108.1	107.95	108.165
32	108.494	108.268	108.097	107.956	108.16
33	108.49	108.275	108.109	107.959	108.166
34	108.482	108.29	108.118	107.949	108.167
35	108.476	108.27	108.103	107.939	108.179
36	108.483	108.237	108.111	107.929	108.18
37	108.466	108.238	108.114	107.936	108.171
38	108.421	108.266	108.12	107.898	108.181
39	108.388	108.283	108.11	107.902	108.193
40	108.289	108.277	108.093	107.9	108.172
41	108.488	108.271	108.111	107.889	108.155
42	108.232	108.255	108.124	107.889	108.144
43	108.278	108.23	108.129	107.875	108.134
44	108.346	108.241	108.06	107.875	108.141
45	108.33	108.252	108.105	107.883	108.166
46	108.355	108.242	108.107	107.878	108.163
47	108.33	108.226	108.096	107.859	108.162
48	108.317	108.255	108.075	107.871	108.156
49	108.316	108.245	108.014	107.879	108.125
50	108.233	108.246	107.99	107.882	108.175
51	108.139	108.238	108.03	107.812	108.168
52	108.255	108.236	108.01	107.822	108.166
53	108.269	108.22	108.011	107.836	108.158
54	108.265	108.208	108.005	107.835	108.148
55	108.27	108.216	108.024	107.839	108.151
56	108.285	108.227	108.032	107.825	108.143
57	108.296	108.232	108.038	107.822	108.152
58	108.289	108.229	108.11	107.863	108.161
59	108.298	108.225	108.136	107.952	108.167
60	108.29	108.233	108.133	107.894	108.162
61	108.276	108.232	108.127	107.87	108.159
62	108.261	108.23	108.118	107.867	108.143
63	108.232	108.212	108.09	107.872	108.152
64	108.18	108.192	108.07	107.97	108.128
65	108.154	108.192	108.101	107.995	108.131
66	108.251	108.212	108.107	107.991	108.135
67	108.266	108.205	108.118	108.042	108.134
68	108.22	108.197	108.089	108.025	108.137
69	108.217	108.183	108.08	108.041	108.117
70	108.291	108.119	108.113	108.006	108.122
71	108.247	108.151	108.096	108.018	108.12
72	108.259	108.153	108.101	108.032	108.116
73	108.227	108.137	108.1	108.06	108.107
74	108.146	107.996	108.082	108.086	108.091
75	108.083	107.724	108.076	108.106	108.108
76	108.154	107.773	108.092	108.109	108.127
