VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	116.938	116.673	116.976	116.556	116.925
1	116.952	116.657	116.888	116.586	116.954
2	117.192	116.624	116.895	116.505	116.981
3	116.969	116.673	116.957	116.567	116.998
4	117.007	116.647	116.939	116.553	117.015
5	117.04	116.621	116.908	116.601	116.951
6	117.025	116.637	116.971	116.606	116.924
7	116.892	116.635	116.951	116.551	116.917
8	116.9	116.598	116.832	116.555	116.864
9	116.918	116.667	116.923	116.518	116.892
10	116.837	116.666	116.828	116.501	116.946
11	116.844	116.578	117.048	116.517	116.875
12	116.9	116.653	117.115	116.538	116.884
13	116.98	116.632	117.045	116.639	116.941
14	116.981	116.689	116.973	116.503	116.939
15	116.886	116.772	116.941	116.555	116.882
16	116.927	116.748	116.865	116.576	116.92
17	116.95	116.694	116.97	116.526	116.87
18	117.072	116.708	116.963	116.545	116.99
19	117.015	116.772	116.903	116.633	116.926
20	116.963	116.707	116.948	116.552	116.972
21	117.013	116.65	116.884	116.596	116.939
22	116.942	116.693	116.948	116.598	116.951
23	116.905	116.697	116.95	116.531	116.956
24	117.015	116.683	116.971	116.581	116.979
25	117.019	116.677	117.165	116.6	117.015
26	116.975	116.647	117.811	116.574	116.929
27	116.891	116.706	116.795	116.623	116.955
28	116.926	116.696	116.941	116.569	116.864
29	116.914	116.627	116.915	116.412	116.834
30	116.888	116.634	116.887	116.53	116.822
31	116.897	116.591	116.884	116.467	116.884
32	116.901	116.622	116.853	116.518	116.938
33	116.85	116.632	116.864	116.509	116.95
34	116.883	116.609	116.874	116.5	116.926
35	116.897	116.683	116.847	116.522	116.976
36	116.82	116.686	116.903	116.521	116.814
37	116.885	116.514	116.944	116.549	116.872
38	116.985	116.721	116.915	116.585	116.963
39	117.041	116.714	116.962	116.627	116.924
40	117.016	116.654	116.95	116.643	116.984
41	117.186	116.711	117.029	116.544	116.916
42	116.887	116.748	117.056	116.631	116.92
43	116.994	116.699	116.992	116.6	116.939
44	116.955	116.797	117.058	116.593	117.013
45	117.015	116.746	117.058	116.65	116.9
46	116.93	116.631	116.99	116.572	116.977
47	116.876	116.67	116.95	116.572	116.888
48	116.93	116.633	116.942	116.572	116.909
49	116.955	116.683	116.958	116.555	116.97
50	116.958	116.699	116.974	116.529	116.956
51	117.024	116.652	117.049	116.496	116.934
52	117.048	116.702	117	116.546	116.923
53	116.935	116.686	117.029	116.51	116.977
54	116.973	116.646	116.985	116.475	116.932
55	116.967	116.658	116.914	116.468	116.929
56	116.938	116.606	116.931	116.491	116.899
57	116.834	116.671	116.952	116.514	116.884
58	116.852	116.705	116.94	116.532	116.889
59	116.867	116.627	116.926	116.559	116.87
60	116.822	116.657	116.879	116.604	116.882
61	116.874	116.63	116.912	116.575	116.853
62	116.931	116.594	116.954	116.603	116.905
63	116.913	116.663	116.886	116.599	116.848
64	116.824	116.643	117.081	116.608	116.997
65	116.99	116.631	116.971	116.505	116.935
66	117.035	116.749	117.012	116.609	116.941
67	117.06	116.752	116.972	116.58	116.982
