VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	56.0139	55.8788	56.3762	56.1624	56.3446
1	56.0056	55.8043	56.324	56.0983	56.323
2	56.2455	55.8496	56.3993	56.0542	56.3657
3	56.1498	55.8498	56.4122	56.2704	56.3942
4	56.0976	55.8033	56.3698	56.1798	56.3468
5	56.0915	55.8371	56.4097	56.2082	56.2913
6	55.9908	55.8587	56.3792	56.1185	56.3589
7	55.9895	55.815	56.3057	56.1762	56.3411
8	56.0447	55.817	56.3538	56.1724	56.3451
9	55.9992	55.8277	56.2618	56.1834	56.358
10	55.9746	55.7978	56.6189	56.1915	56.3018
11	55.9782	55.8292	56.5088	56.1464	56.3508
12	55.9959	55.7995	56.4344	56.1826	56.3815
13	56.0313	55.9284	56.3576	56.1127	56.3391
14	55.992	56.1245	56.3815	56.1367	56.3306
15	56.0023	56.0417	56.372	56.1448	56.3551
16	56.0099	56.0067	56.3275	56.1069	56.3278
17	56.038	55.9395	56.3007	56.1402	56.3535
18	56.0826	55.8732	56.2496	56.1399	56.3567
19	56.0176	55.878	56.2733	56.115	56.368
20	56.0294	55.8294	56.2575	56.1397	56.3537
21	56.039	55.8605	56.2942	56.1773	56.3802
22	56.0346	55.8479	56.2442	56.1277	56.391
23	56.0309	55.7918	56.3543	56.1725	56.3576
24	56.0281	55.8441	56.298	56.1878	56.3311
25	56.035	55.8404	56.3067	56.1689	56.3081
26	56.0126	55.8759	56.7973	56.2235	56.3338
27	56.0342	55.8877	56.4361	56.2357	56.31
28	56.0307	55.8511	56.4172	56.2134	56.3222
29	56.0104	55.91	56.4104	56.2749	56.3164
30	55.9874	55.8769	56.4201	56.0942	56.3507
31	55.9974	55.8806	56.3956	56.1418	56.3248
32	55.972	55.9016	56.3963	56.1521	56.3291
33	55.9762	55.8728	56.3919	56.1113	56.3508
34	55.9777	55.9331	56.3456	56.1327	56.4027
35	55.9349	55.8854	56.3724	56.1099	56.3113
36	55.9254	55.8213	56.359	56.1297	56.3272
37	55.9036	55.8859	56.3384	56.1414	56.4558
38	56.0237	55.9053	56.371	56.1564	56.3879
39	56.1745	55.8944	56.3853	56.1374	56.3735
40	56.2369	55.8965	56.3575	56.1138	56.3392
41	56.0315	55.9088	56.3046	56.1592	56.3248
42	56.2722	55.8553	56.3291	56.1663	56.3449
43	55.9996	55.8915	56.3342	56.162	56.3338
44	56.0307	55.8537	56.3624	56.1899	56.2902
45	56.0112	55.8341	56.3486	56.1247	56.3488
46	55.9475	55.8743	56.377	56.1228	56.299
47	55.9705	55.8802	56.3914	56.1298	56.324
48	55.9598	55.9201	56.3905	56.1541	56.3394
49	55.9246	55.8913	56.3634	56.179	56.3191
50	55.9896	55.8673	56.3737	56.1997	56.3651
51	56.1409	55.8853	56.3431	56.2442	56.3922
52	55.9481	55.879	56.345	56.2377	56.4224
53	56.0333	55.8707	56.3556	56.2385	56.3293
54	56.0495	55.8704	56.3618	56.2191	56.3382
55	56.0502	55.8724	56.3896	56.1787	56.3328
56	55.9886	55.8955	56.3727	56.1607	56.3352
57	56.0127	55.891	56.3621	56.1326	56.3457
58	56.0146	55.8655	56.4129	56.1153	56.3411
59	55.9876	55.8934	56.39	56.163	56.3624
60	56.0147	55.8799	56.4292	56.0959	56.3388
61	56.0235	55.8783	56.4061	56.1151	56.3674
62	56.017	55.8912	56.3819	56.0649	56.336
63	55.9833	55.8757	56.4173	56.091	56.3998
64	56.0235	55.88	56.4042	56.0463	56.3306
65	55.9676	55.9565	56.3893	56.1387	56.3101
66	56.098	55.9269	56.3883	56.1334	56.3419
67	56.0644	55.9003	56.3344	56.1894	56.3483
68	55.9981	55.8754	56.3415	56.1966	56.3681
69	56.0364	55.8516	56.3483	56.2151	56.3601
70	56.0278	55.8172	56.3189	56.1761	56.3383
71	56.0218	55.8253	56.3148	56.1886	56.3284
72	56.0385	55.8115	56.3201	56.2706	56.3593
73	56.0251	55.7916	56.2751	56.258	56.3152
74	56.0124	55.8432	56.2872	56.2117	56.3326
75	56.0661	55.8806	56.3129	56.1072	56.3417
76	56.008	55.935	56.4857	56.1607	56.3264
77	56.0076	55.9907	56.4243	56.1276	56.3383
78	56.0063	55.9356	56.4603	56.1136	56.3503
79	55.9908	55.8952	56.4058	56.1464	56.3337
80	56.0025	55.9075	56.4213	56.1324	56.3369
81	56.029	55.8828	56.393	56.1411	56.3403
82	56.03	55.8962	56.3768	56.1499	56.3358
83	55.9918	55.8429	56.4125	56.1264	56.3464
84	56.0308	55.8837	56.3802	56.1522	56.3487
85	56.0248	55.8903	56.3914	56.1379	56.4689
86	55.99	55.8682	56.3262	56.1729	56.2905
87	56.0524	55.9018	56.3719	56.1542	56.3192
88	56.055	55.8447	56.3012	56.1625	56.3847
89	56.0126	55.8878	56.2938	56.2065	56.4016
90	56.0488	55.8548	56.4746	56.1593	56.413
91	56.0218	55.8797	56.3698	56.1842	56.3291
92	56.0205	55.8956	56.365	56.1973	56.309
93	56.0187	55.8887	56.3669	56.1317	56.3371
94	56.0206	55.8361	56.3045	56.1848	56.3148
95	56.0145	55.9155	56.2814	56.1458	56.3284
96	55.9703	55.8206	56.299	56.1666	56.3946
97	55.9818	55.844	56.3538	56.1727	56.3391
98	56.0164	55.8549	56.3931	56.1504	56.3285
99	55.9784	55.956	56.4121	56.1312	56.3551
100	55.9798	55.9053	56.3994	56.1598	56.3106
101	56.0149	55.9543	56.4075	56.1226	56.3517
102	56.0685	55.8741	56.4195	56.1226	56.3695
103	56.0807	55.8676	56.4159	56.1385	56.2951
104	56.0262	55.8929	56.4293	56.1017	56.363
105	56.0496	55.844	56.4459	56.1002	56.3468
106	56.0599	55.8443	56.4258	56.1118	56.2904
107	56.0263	55.8749	56.3651	56.1673	56.3173
108	56.0629	55.859	56.2468	56.2522	56.2708
109	56.0009	55.8797	56.3321	56.1801	56.2997
110	55.959	55.8723	56.3678	56.2151	56.2711
111	56.0278	55.8798	56.3789	56.2012	56.2816
112	56.0494	55.8843	56.3593	56.2367	56.5338
113	56.021	55.9361	56.3607	56.1672	56.4398
114	56.0318	55.8916	56.3114	56.2174	56.4503
115	56.0149	55.8901	56.3756	56.1443	56.4138
116	55.9956	55.8768	56.3546	56.169	56.382
117	55.9622	55.8944	56.3626	56.1005	56.3555
118	55.9824	55.8611	56.3808	56.123	56.3837
119	55.9968	55.859	56.3797	56.1132	56.3553
120	55.9817	55.8592	56.3654	56.1566	56.342
121	56.0224	55.8344	56.3875	56.2034	56.3424
122	56.0784	55.8458	56.3567	56.1536	56.271
123	56.1033	56.0027	56.3842	56.1257	56.3167
124	56.0042	55.8993	56.3883	56.1247	56.3196
125	56.0326	55.8865	56.3681	56.1399	56.3065
126	56.0218	55.9093	56.3707	56.1617	56.3315
127	56.0523	55.892	56.387	56.1989	56.3214
128	56.0112	55.8514	56.3721	56.1629	56.2766
129	55.9907	55.8854	56.3628	56.1587	56.3098
130	55.9988	55.878	56.3533	56.1467	56.3207
131	56.0185	55.8042	56.3622	56.1217	56.3123
132	56.0078	55.8379	56.3664	56.1301	56.3561
133	56.0237	55.8405	56.3875	56.0766	56.3581
134	56.0423	55.9159	56.3883	56.1219	56.4452
135	56.026	55.9396	56.4159	56.2374	56.3512
136	55.997	55.8742	56.3721	56.1908	56.3798
137	56.0193	55.9022	56.3803	56.1953	56.3774
138	56.0234	55.8923	56.3713	56.1605	56.3359
139	55.9995	55.8724	56.3787	56.1762	56.3855
140	55.9865	55.8509	56.3913	56.151	56.3573
141	56.0338	55.8608	56.3583	56.2007	56.3807
142	56.013	55.8576	56.3505	56.2056	56.3113
143	56.0031	55.8902	56.3542	56.1575	56.2835
144	56.05	55.8874	56.3655	56.1658	56.3386
145	56.0641	55.9031	56.3482	56.1588	56.3367
146	56.0336	55.8775	56.3419	56.1612	56.3283
147	56.1268	55.908	56.3309	56.1695	56.3417
148	56.0058	55.9143	56.4136	56.1117	56.3618
149	55.9886	55.9149	56.358	56.1428	56.3674
150	56.0187	55.8613	56.4018	56.1556	56.3606
151	56.0133	55.8757	56.3543	56.1684	56.3531
152	56.0205	55.8773	56.3646	56.1933	56.3989
153	56.0441	55.877	56.3737	56.1397	56.3698
154	55.9737	55.8451	56.3857	56.1222	56.3497
155	55.9635	55.86	56.3229	56.1488	56.3737
156	55.9874	55.8703	56.3436	56.1379	56.3194
157	55.9769	55.8605	56.3018	56.1366	56.3721
158	56.0231	55.9034	56.2967	56.1472	56.3447
159	56.0275	55.8749	56.2855	56.1225	56.3394
160	55.9945	55.9125	56.6828	56.1625	56.3256
161	56.0238	55.8822	56.4985	56.1293	56.2852
162	56.0369	55.8686	56.4623	56.2297	56.2734
163	56.0512	55.8968	56.4236	56.217	56.223
164	56.0161	55.8666	56.3653	56.1322	56.2156
165	56.0347	55.8842	56.3674	56.1674	56.3462
