# Overall Threshold 1: [ -8.58148014118286 8.58438547327498 ]
# Overall Threshold 2: [ -17.1644129484118 17.1673182805039 ]
VOLNUM	fmriSeriesEncode_1Run1_3.bxh	fmriSeriesEncode_1Run2_5.bxh	fmriSeriesEncode_1Run3_7.bxh	fmriSeriesEncode_1Run4_9.bxh	fmriSeriesEncode_1Run5_11.bxh
0	-5.56374	-2.90234	-1.12832	-1.92317	-1.93708
1	-2.44933	-0.296238	1.46866	-1.58852	-0.58002
2	8.39581	2.1108	1.33803	4.43677	2.56665
3	-0.475676	-0.437933	0.580564	1.88198	3.35263
4	-0.17889	-0.123465	-2.85232	2.36092	-1.13904
5	0.721636	-0.48158	-1.23926	-1.07255	-3.29426
6	-1.09863	0.28077	-0.234779	-6.26571	-1.72583
7	0.213583	1.20739	-0.39256	-2.68608	-0.495681
8	0.825924	1.43147	-4.63933	-1.46367	4.83486
9	-0.434424	0.142616	10.3863	5.31092	2.72122
10	0.905406	-1.16948	1.88127	2.85323	-1.51588
11	-3.27857	2.33492	-0.702976	-1.74211	-1.32189
12	2.05871	-2.33164	-3.62196	3.15147	-3.40811
13	1.01299	2.0982	-3.98189	-1.59201	1.8303
14	-0.761003	1.36928	-0.193911	-1.77884	0.140208
15	2.16799	2.22554	0.717079	-0.338556	0.7999
16	-2.66535	-4.38057	5.54788	0.071773	-2.28444
17	1.02754	-6.48265	3.0692	-1.20241	0.70774
18	2.23789	-1.90375	-1.25088	0.457486	0.739414
19	-1.1726	6.04651	-1.94526	2.2387	0.730469
20	-0.452526	1.85751	-3.65768	-1.05271	-1.61671
21	-0.000191157	1.15583	1.02345	-1.18878	0.0925414
22	-0.12239	-1.01877	0.838948	0.235051	0.926954
23	-1.42201	-5.15725	2.95358	-1.07659	-3.16865
24	1.69524	4.54012	-3.39162	2.80199	4.0647
25	-1.2984	0.78774	-20.4371	1.26793	-0.380613
26	-1.59255	-0.0348718	29.4518	0.249527	-0.349253
27	-0.0372472	-0.851754	-7.01594	-2.37736	-2.30567
28	0.420944	-1.00273	-0.48113	-1.21665	0.216122
