VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	222.102	222.643	223.963	223.347	223.14
1	220.505	221.751	223.471	222.498	222.661
2	220.012	221.513	223.215	221.583	222.572
3	221.558	221.741	222.791	222.884	223.281
4	221.454	221.616	222.763	223.07	223.722
5	221.412	221.467	221.586	223.442	223.539
6	221.069	221.117	220.691	222.926	222.818
7	220.927	220.973	220.24	221.22	222.086
8	220.875	221.163	219.737	220.097	221.957
9	220.727	221.522	218.318	219.506	222.963
10	220.673	221.373	221.253	220.295	223.663
11	220.531	220.89	220.765	220.911	223.335
12	219.836	221.207	220.272	220.333	222.813
13	220.154	220.815	219.536	221.05	221.895
14	220.38	221.732	218.363	220.721	222.313
15	220.124	221.818	217.887	220.09	222.283
16	220.454	222.032	217.88	219.883	222.446
17	219.75	220.928	219.31	219.802	221.855
18	219.919	218.889	220.517	219.418	221.921
19	220.538	218.49	220.186	219.529	222.117
20	220.323	219.976	219.721	220.254	222.235
21	219.982	220.49	218.859	219.964	221.912
22	219.923	220.707	219.004	219.577	221.738
23	219.792	220.358	219.607	219.603	221.925
24	219.688	218.956	220.21	219.33	221.095
25	219.88	220.265	220.105	220.24	222.214
26	219.701	220.496	215.556	220.728	222.113
27	219.295	220.475	222.149	220.71	222.007
28	219.281	220.247	220.451	220.271	221.256
29	219.241	219.96	220.544	219.699	221.289
30	219.2	220.09	220.139	220.617	222.032
31	219.483	219.68	219.666	220.398	222.206
32	219.652	219.471	219.938	220.594	221.659
33	219.579	219.602	220.031	220.201	221.481
34	219.637	219.861	220.031	219.691	221.214
35	219.722	220.466	219.966	219.725	221.678
36	220.123	221.286	220.402	220.069	222.059
37	220.368	221.092	220.696	220.938	222.369
38	220.4	219.711	220.681	220.932	221.723
39	220.19	219.551	220.697	220.684	221.777
40	220.641	219.242	219.894	221.516	221.831
41	216.034	219.18	220.164	221.482	221.669
42	222.474	218.967	221.06	221.362	221.28
43	221.817	218.884	221.109	220.698	220.41
44	221.066	218.858	220.676	219.903	221.03
45	220.929	219.437	220.159	220.88	221.151
46	220.099	219.113	220.956	221.164	221.347
47	219.603	218.886	221.006	220.705	220.917
48	219.831	218.528	220.35	220.329	220.435
49	220.268	218.407	220.109	219.81	220.018
50	220.585	219.298	219.411	220.035	220.694
51	219.857	219.165	220.826	220.286	220.866
52	219.852	219.075	220.88	220.916	220.735
53	220.675	219.19	220.328	221.056	220.878
54	220.501	219.364	219.931	220.828	221.195
55	220.278	219.334	219.895	221.05	221.196
56	219.985	219.476	220.205	221.267	221.139
57	219.297	219.889	220.651	221.345	221.497
58	218.921	219.873	220.775	221.61	221.549
59	218.893	219.179	220.524	222.038	221.537
60	219.09	219.25	220.262	222.249	221.614
61	219.798	219.732	220.588	222.185	221.625
62	220.017	220.058	221.573	222.417	221.79
63	220.1	220.209	221.896	221.759	221.659
64	220.02	220.192	221.863	221.191	221.988
65	219.331	219.964	220.871	220.573	222.528
66	219.945	220.539	220.63	220.947	222.459
67	219.928	220.995	220.655	220.862	222.015
68	219.684	220.47	220.278	220.507	221.257
69	219.171	219.479	219.892	220.229	220.253
70	219.204	218.886	219.21	220.087	220.881
71	220.567	219.969	219.568	220.081	220.844
72	220.554	220.641	219.34	220.116	220.336
73	220.064	220.424	219.027	220.476	220.175
74	219.582	220.337	219.169	220.723	220.32
75	218.61	219.777	219.714	220.495	220.648
76	219.136	219.791	220.618	220.514	220.671
77	219.87	220.986	221.064	218.895	220.936
78	219.697	220.727	221.103	219.29	220.96
79	219.436	220.143	221.061	219.53	221
80	219.319	220.022	221.069	220.739	220.823
81	219.712	219.827	221.013	221.263	220.736
82	219.805	219.955	221.039	221.209	220.761
83	219.848	219.983	221.102	220.721	220.829
84	219.575	219.617	221.357	220.31	221.064
85	219.387	219.825	221.125	220.322	221.826
86	219.433	219.919	221.977	220.201	222.625
87	219.271	220.14	222.165	220.694	223.349
88	219.627	219.912	222.295	221.051	223.346
89	219.845	219.643	221.405	221.017	222.702
90	220.185	219.611	217.709	220.426	221.802
91	219.102	220.391	220.334	220.46	221.413
92	218.826	220.376	219.954	220.583	221.71
93	219.151	220.161	220.692	220.415	221.506
94	219.104	220.134	220.964	220.23	221.06
95	219.07	220.032	220.363	219.496	220.734
96	219.24	220.08	219.784	219.905	220.979
