VOLNUM	fmriSeriesMoCoSeries_4.bxh	fmriSeriesMoCoSeries_6.bxh	fmriSeriesMoCoSeries_8.bxh	fmriSeriesMoCoSeries_10.bxh	fmriSeriesMoCoSeries_12.bxh
0	56.1154	56.0173	56.2087	56.5756	56.5846
1	56.1131	55.9945	56.1139	56.5675	56.5709
2	56.2114	55.9896	56.1447	56.5341	56.5899
3	56.1449	56.031	56.2207	56.7297	56.5612
4	56.117	55.9778	56.1411	56.5459	56.611
5	56.1085	55.9764	56.151	56.5878	56.5397
6	56.1418	56.0116	56.1871	56.5297	56.5591
7	56.0805	56.0234	56.1621	56.5293	56.6031
8	56.0929	55.9933	56.1745	56.5818	56.5922
9	56.1396	55.9937	56.2448	56.5642	56.6117
10	56.0856	55.9952	56.2666	56.6139	56.5616
11	56.1519	56.0066	56.1901	56.5728	56.5604
12	56.1216	56.0296	56.2414	56.6173	56.6313
13	56.1317	56.1628	56.1565	56.5889	56.5887
14	56.1201	56.0816	56.185	56.5505	56.5801
15	56.0871	55.9975	56.2523	56.5642	56.5926
16	56.1326	56.0271	56.2722	56.5573	56.5779
17	56.1557	55.9859	56.2478	56.5703	56.595
18	56.1222	56.0554	56.1688	56.5722	56.5875
19	56.0824	56.0207	56.1613	56.5799	56.5759
20	56.0803	56.0096	56.196	56.5351	56.5852
21	56.1228	55.9805	56.19	56.5493	56.5555
22	56.1164	56.0009	56.2275	56.5561	56.6064
23	56.1525	56.027	56.22	56.6013	56.6005
24	56.0909	56.0468	56.1907	56.5948	56.6191
25	56.1189	56.0139	56.1403	56.5596	56.5611
26	56.1043	56.0015	56.3377	56.5477	56.5693
27	56.1089	56.0125	56.2112	56.6039	56.5729
28	56.1041	56.0254	56.1856	56.5566	56.5693
29	56.1474	56.0019	56.1709	56.6567	56.595
30	56.1039	56.0343	56.2372	56.6004	56.5979
31	56.1262	55.9965	56.2029	56.5822	56.5752
32	56.1135	56.0262	56.199	56.607	56.5821
33	56.104	56.0249	56.2103	56.5524	56.5814
34	56.1305	56.0254	56.1827	56.5685	56.5993
35	56.1258	56.0493	56.2039	56.5698	56.6026
36	56.1009	56.01	56.2092	56.562	56.5582
37	56.0986	56.0231	56.1727	56.5623	56.5929
38	56.1357	56.0158	56.1868	56.6104	56.6198
39	56.1463	56.0484	56.2325	56.5525	56.5847
40	56.1146	56.0117	56.2604	56.5531	56.5923
41	56.0772	56.0273	56.1769	56.5437	56.5433
42	56.1903	56.0077	56.2033	56.5493	56.5703
43	56.1322	56.0278	56.1661	56.5735	56.6099
44	56.1209	56.0338	56.2251	56.5982	56.5865
45	56.1166	55.9784	56.2043	56.5986	56.5875
46	56.0913	55.9968	56.1932	56.5328	56.5616
47	56.1072	56.0116	56.1894	56.5493	56.5661
48	56.1077	56.0627	56.2017	56.5315	56.5887
49	56.0906	56.057	56.2389	56.5724	56.5948
50	56.1414	56.002	56.2579	56.6014	56.5619
51	56.1666	56.0108	56.1973	56.603	56.6078
52	56.0823	56.0289	56.1656	56.5851	56.6273
53	56.0824	56.0087	56.1926	56.611	56.6097
54	56.0971	56.0106	56.199	56.6067	56.5631
55	56.1345	56.0223	56.2329	56.6036	56.5887
56	56.1097	56.0269	56.2437	56.6179	56.564
57	56.1077	56.0356	56.2003	56.5634	56.5951
58	56.1109	55.9963	56.1916	56.5765	56.5643
59	56.1295	56.0136	56.2169	56.5662	56.6062
60	56.1129	56.0342	56.1863	56.5703	56.5767
61	56.0975	56.0104	56.2358	56.5869	56.581
62	56.1216	56.0148	56.1979	56.5339	56.5891
63	56.0952	56.02	56.2002	56.5533	56.6025
64	56.173	56.0304	56.2385	56.5334	56.6236
65	56.1582	56.0588	56.1688	56.5697	56.5457
66	56.1019	55.995	56.2417	56.5672	56.5443
67	56.084	56.0307	56.1644	56.5411	56.5775
68	56.1465	55.9807	56.1913	56.5555	56.5849
69	56.1873	56.0515	56.1809	56.5426	56.5887
