VOLNUM	fmriSeriesMoCoSeries_4.bxh	fmriSeriesMoCoSeries_6.bxh	fmriSeriesMoCoSeries_8.bxh	fmriSeriesMoCoSeries_10.bxh	fmriSeriesMoCoSeries_12.bxh
0	852.495	852.154	856.229	851.508	856.418
1	846.904	849.298	855.029	849.275	854.428
2	844.777	849.017	856.379	847.686	853.956
3	852.853	851.023	857.667	852.721	856.528
4	852.488	850.609	858.352	855.053	859.611
5	852.197	850.496	855.373	856.955	858.697
6	852.828	849.92	854.146	855.677	855.626
7	851.96	850.199	854.199	849.815	853.6
8	852.113	851.485	853.679	846.685	853.231
9	852.802	852.826	849.817	845.446	857.979
10	852.447	852.944	859.807	850.429	860.616
11	853.312	851.837	861.053	853.2	859.418
12	850.151	854.061	860.302	851.57	857.87
13	852.101	852.206	856.909	854.571	854.448
14	853.146	854.567	852.856	853.384	856.249
15	852.497	855.856	852.705	851.503	856.464
16	854.536	857.753	853.636	850.98	857.16
17	851.911	853.313	859.259	851.237	855.012
18	852.749	846.718	862.52	849.957	855.559
19	855.113	844.644	861.07	850.247	856.494
20	854.006	850.751	859.273	852.681	857.065
21	853.467	852.575	855.423	851.588	855.583
22	853.472	853.678	856.714	850.211	855.567
23	853.373	852.92	857.166	850.464	856.464
24	851.918	847.758	860.015	849.314	853.364
25	853.611	852.335	856.98	852.166	857.366
26	852.343	853.074	837.352	853.58	857.098
27	850.842	852.978	865.577	853.598	856.682
28	850.715	852.254	858.605	851.328	854.486
29	851.196	851.119	858.15	850.218	854.594
30	850.462	851.962	857.065	853.549	857.66
31	851.858	849.99	854.53	851.699	858.133
32	852.145	849.758	855.463	852.739	856.143
33	851.686	850.411	855.462	850.425	855.257
34	851.998	851.643	855.389	848.37	854.96
35	852.233	854.618	855.129	848.714	857.275
36	853.718	858.424	857.127	850.044	858.76
37	854.557	857.787	857.801	853.448	859.913
38	854.462	852.305	857.553	853.41	857.82
39	852.148	851.891	857.946	852.15	858.339
40	853.544	851.024	855.471	855.304	858.658
41	834.553	851.268	855.61	854.605	857.945
42	861.373	850.682	859.002	853.739	856.348
43	859.735	850.471	858.709	851.609	853.397
44	854.97	850.617	857.294	848.616	856.047
45	855.044	852.954	855.368	852.719	857.091
46	851.574	851.902	858.104	853.02	857.307
47	849.943	851.255	858.017	850.824	855.498
48	851.094	849.859	855.811	848.245	853.685
49	853.121	849.603	855.142	846.896	852.971
50	854.923	852.646	852.703	847.37	854.845
51	851.587	852.158	857.809	848.478	855.598
52	851.87	851.739	857.801	850.46	854.705
53	854.16	851.914	855.528	851.277	855.643
54	853.569	852.476	853.307	850.217	856.342
55	853.294	852.058	853.788	851.025	856.404
56	852.644	852.39	855.787	852.29	855.702
57	850.171	853.663	857.024	851.709	857.256
58	848.666	852.905	857.323	852.91	856.868
59	849.429	850.068	856.317	854.463	857.094
60	850.061	850.499	855.063	855.412	857.018
61	852.802	851.608	857.001	855.726	857.005
62	853.945	853.036	861.177	856.288	857.796
63	854.197	853.184	862.278	854.246	857.221
64	854.664	853.319	861.885	852.069	859.303
65	851.962	852.14	857.978	849.609	861.314
66	852.739	853.561	857.987	852.026	860.842
67	853.41	855.393	857.565	851.173	859.408
68	853.171	852.786	856.599	850.172	856.767
69	851.242	849.807	854.811	848.86	852.661
70	850.596	847.019	852.991	849.673	855.987
71	856.035	851.672	854.087	848.528	855.241
72	855.321	853.838	852.58	849.47	853.681
73	854.137	852.767	851.619	850.323	853.099
74	852.149	852.087	851.648	852.08	854.234
75	848.362	850.698	855.128	851.839	855.388
76	850.415	850.386	855.894	852.39	855.334
77	853.156	854.847	858.097	846.153	856.127
78	852.199	854.102	857.996	847.899	855.998
79	852.002	851.085	858.194	848.748	855.939
80	851.412	851.32	857.782	853.518	855.165
81	852.896	850.542	857.318	855.026	854.662
82	853.589	851.798	857.687	854.991	854.395
83	853.742	851.622	857.43	852.309	854.862
84	852.724	850.412	858.955	851.41	854.728
85	852.379	851.386	857.915	851.176	857.064
86	852.287	851.328	861.575	850.919	861.117
87	851.951	852.226	861.933	853.278	863.555
88	853.54	852.341	862.557	854.279	862.766
89	854.476	850.901	858.883	854.343	860.358
90	856.333	851.19	845.172	852.115	857.041
91	851.308	853.331	854.673	852.14	855.84
92	850.527	853.221	854.072	853.014	856.744
93	851.687	853.129	856.756	852.161	855.997
94	851.439	852.894	858.17	852.229	854.282
95	851.658	853.198	855.241	849.041	853.303
96	852.271	853.112	853.158	850.582	853.897
97	851.958	852.819	850.84	851.381	853.076
98	850.547	852.803	851.296	849.576	856.571
99	853.277	851.476	854.167	850.768	857.352
100	852.482	850.964	856.62	850.581	856.383
101	851.624	851.971	858.071	850.879	855.575
102	848.603	854.352	858.255	850.94	854.372
103	852.75	852.183	858.536	850.025	854
104	853.706	851.781	856.752	848.922	858.55
105	852.758	851.517	859.195	848.933	858.939
106	852.969	851.835	860.267	850.227	857.293
107	852.223	851.998	863.089	851.524	856.052
108	852.712	850.102	863.721	851.725	855.667
109	855.056	849.232	859.082	850.501	855.922
110	857.292	848.675	858.201	850.327	856.804
111	856.576	848.827	855.228	851.234	856.473
112	855.126	851.079	854.974	852.076	853.829
113	853.73	851.532	852.967	853.418	860.087
114	852.058	852.329	852.953	854.203	858.266
115	850.818	853.058	852.077	855.631	857.492
116	849.739	854.583	852.509	855.424	856.159
117	847.661	853.572	854.201	856.069	858.423
118	850.902	854.799	854.316	854.492	857.672
119	851.152	853.815	854.401	854.189	857.13
120	851.179	852.631	855.466	852.627	855.715
121	852.02	850.679	857.956	850.344	857.104
122	846.677	854.522	855.187	848.943	856.054
123	855.996	852.54	857.965	848.566	857.612
124	854.729	853.773	860.348	848.116	856.403
125	852.811	852.613	859.649	848.232	854.021
126	852.895	852.471	859.156	847.474	852.195
127	852.908	848.682	860.918	847.576	850.747
128	852.978	852.157	856.976	851.554	855.665
129	855.912	853.803	859.515	851.13	857.897
130	855.487	852.038	859.906	850.786	856.945
131	852.799	850.183	857.901	849.396	856.277
132	851.998	848.78	855.055	851.427	855.211
133	852.124	851.129	854.313	853.209	855.947
134	852.172	849.429	854.138	852.77	856.575
135	851.39	852.133	853.719	853.822	859.978
