VOLNUM	fmriSeriesEncode#2Run1_2.bxh	fmriSeriesEncode#2Run2_4.bxh	fmriSeriesEncode#2Run3_6.bxh	fmriSeriesEncode#2Run4_8.bxh	fmriSeriesEncode#2Run5_10.bxh
0	3.88375	3.87434	3.85232	4.23006	3.4989
1	3.69826	3.729	3.71199	4.0801	3.55157
2	3.88708	3.96186	3.53742	3.83404	3.47367
3	3.75313	3.80116	3.65714	3.95885	3.49777
4	3.7277	3.80062	3.56373	3.88042	3.45928
5	3.92526	3.68564	3.64254	3.84619	3.72787
6	3.83135	3.75526	3.7058	3.8534	3.49325
7	3.94158	3.75339	3.54349	3.89654	3.53937
8	4.14562	3.69188	3.72873	3.95687	3.36547
9	4.09156	3.81128	3.52012	3.88941	3.47028
10	4.18758	3.72511	3.69265	3.77489	3.56462
11	3.76144	3.7736	3.5547	3.83642	3.57993
12	3.90937	3.62605	3.52736	3.49204	3.42883
13	4.01753	3.41909	3.55863	3.52833	3.57918
14	4.09155	3.68873	3.75854	3.83286	3.52301
15	4.38435	3.72086	3.76214	3.92129	3.4577
16	4.10442	3.68824	3.77968	3.67695	3.5335
17	3.97603	3.8527	3.84355	3.33886	3.53071
18	3.32293	3.22514	3.72594	3.53942	3.33091
19	3.68479	3.73226	3.6855	3.28102	3.37679
20	3.47166	3.6039	3.58308	3.16664	3.4714
21	3.31248	3.53546	3.63345	3.75799	3.46199
22	3.77585	3.3308	3.6518	3.39166	3.35475
23	3.5156	3.55825	3.65486	3.5267	3.26075
24	3.44104	3.19545	3.55398	3.32373	3.48223
25	3.12168	3.41154	3.52667	3.39969	3.2883
26	3.42562	3.45872	3.59022	3.41532	3.49935
27	3.67158	3.3783	3.57815	3.68289	3.53988
28	3.25171	3.31484	3.61712	3.42674	3.42403
29	3.77165	3.40536	3.66279	3.35873	3.43829
30	3.6413	3.90093	3.64503	3.50929	3.392
31	3.63701	3.73981	3.54081	3.61841	3.56349
32	3.83204	3.44443	3.28321	3.63962	3.63638
33	3.43117	3.64967	3.02423	3.69839	3.62052
34	3.74754	3.44838	3.99565	3.65039	3.51482
35	3.50955	3.47081	3.26461	3.64917	3.33226
36	3.54001	3.88687	3.28389	3.36138	3.39321
37	3.66836	3.58448	3.37412	3.39657	3.28103
38	3.16136	3.75301	3.25688	3.4967	3.31621
39	2.99579	3.39203	3.49929	3.35335	3.25218
40	3.55149	3.36212	3.2339	3.46425	3.06871
41	3.84247	3.64694	3.48804	3.60847	3.30486
42	3.66768	3.39866	3.44256	3.392	3.25923
43	3.65422	3.50635	3.60232	3.00454	3.3951
44	3.20009	3.40104	3.26786	3.21615	3.36929
45	3.42417	3.50845	3.53071	3.23301	3.48919
46	3.55441	3.49266	3.21756	3.52205	3.24071
47	3.66625	3.25321	3.42578	3.35228	3.36296
48	3.52137	3.58506	3.31014	3.28791	3.21412
49	3.15894	3.38987	3.23893	3.18075	3.47914
50	3.40381	3.30565	3.28517	3.33436	3.42622
51	3.56116	3.62392	3.28405	3.26128	3.44262
52	3.14285	3.42453	3.37471	4.92886	3.23976
53	3.54088	3.41175	3.23457	3.5308	3.41587
54	3.21106	3.31799	3.57119	3.45568	3.20495
55	3.3836	3.47992	3.37854	3.75802	3.76741
56	3.71578	3.22682	3.42064	3.62475	3.25701
57	3.52338	3.58479	3.22004	3.85879	3.58086
58	3.84907	3.48787	3.3532	3.64785	3.55737
59	3.74527	3.67761	3.34934	4.03355	3.64271
60	3.65181	3.4878	3.15104	3.62666	3.73133
61	3.35289	3.3685	3.35172	3.64357	3.50317
62	3.46433	3.54119	3.40454	3.23126	3.51901
63	3.39861	3.4437	3.24682	3.351	3.48048
64	3.52823	3.51235	3.46546	3.44029	3.51064
65	2.8262	3.29073	3.26981	3.39679	3.41975
66	3.00232	3.47619	3.34008	2.91476	3.43411
67	3.26405	3.00534	3.27141	3.39253	3.52131
68	3.0779	3.1995	3.34673	3.56986	3.5887
69	3.35845	3.56064	3.08208	3.57286	3.33042
70	3.11629	3.73752	3.25447	3.24323	3.26655
71	3.31821	3.76875	3.1137	3.29241	3.25677
72	3.44998	3.38419	3.15502	3.27041	3.32634
73	3.47497	3.20758	3.13614	3.91149	3.15445
74	3.24487	3.23324	2.81116	3.66713	3.28182
75	3.16085	3.30345	3.21224	3.457	3.38535
76	3.45062	3.29633	3.32006	3.20346	3.428
77	3.25026	3.15467	2.94142	3.15798	3.22469
78	3.38795	3.25195	3.26585	3.30324	3.24616
79	3.36505	3.23578	3.34787	3.42896	3.09467
80	3.20867	3.20332	3.08602	3.45827	3.44756
81	3.21347	3.23287	3.35963	3.43489	3.15837
82	3.46828	3.33461	3.28329	3.81948	3.34953
83	3.44983	3.32381	3.32412	3.76157	3.67956
84	3.57443	3.07561	3.52225	3.87011	3.34881
85	3.48898	3.30542	3.21974	3.66916	3.41572
86	3.68503	3.22526	3.48656	3.65502	3.49518
87	3.24834	3.25925	3.33641	3.51519	3.51004
88	3.23829	3.21626	3.37344	3.71412	3.34473
89	3.53874	3.00407	3.47528	3.52516	3.46562
90	3.31813	3.29384	3.11969	3.61629	3.39806
91	3.34971	3.57769	3.06429	3.64373	3.35643
92	3.72525	3.52554	3.07824	3.68911	3.12564
93	3.69765	3.05567	3.02435	3.72964	3.19845
94	3.49042	3.48832	3.54371	3.67928	3.13249
95	3.6276	3.39141	3.60354	3.76102	3.17042
96	4.14798	3.71534	3.63341	3.6648	3.12931
97	3.56539	3.38888	3.43542	3.46864	3.08776
98	3.39109	3.59789	3.52223	3.52607	2.99701
99	3.1308	3.04886	3.35634	3.73298	3.06626
100	3.70669	3.20382	3.33779	3.57467	2.97163
101	3.50782	3.06349	3.25892	3.42297	3.40937
102	3.4846	3.44372	3.38118	3.35585	3.10805
103	3.64971	3.24877	3.24158	3.61444	3.60635
104	3.51948	3.46582	3.50906	3.29196	2.98544
105	3.49879	3.03052	3.3813	3.47146	3.15396
106	3.60205	3.16232	3.36394	3.28712	3.30021
107	3.53481	3.14231	3.20954	3.563	3.12677
108	3.59993	3.46493	2.9431	3.5652	3.3198
109	3.70158	3.2422	3.31831	3.49422	3.53219
110	3.55215	3.03297	3.29824	3.56214	3.69857
111	3.47196	3.5283	3.37294	3.67937	3.77844
112	3.52834	3.32704	3.15316	3.38447	4.41845
113	3.66886	3.34261	3.26101	3.39295	4.56822
114	3.64801	3.3019	3.09247	3.51182	3.93994
115	3.4779	3.22125	3.03344	3.23501	3.82778
116	3.24081	3.20642	3.01429	3.38189	3.70376
117	3.50892	3.23463	3.25882	3.37885	3.28283
118	3.48445	3.24469	3.16908	3.38694	3.33948
119	3.51688	3.71032	3.15472	3.405	3.35496
120	3.50963	3.70513	3.09929	3.58737	3.46285
121	3.96785	3.74755	3.38472	3.16776	3.49621
122	3.63531	4.02178	3.30621	3.28856	3.42655
123	3.7872	3.53022	3.39225	3.17604	3.46618
124	3.79529	3.42796	3.4074	3.3523	3.47944
125	3.84891	3.26621	3.1966	3.56559	3.50639
126	3.91276	3.28595	3.4076	3.61999	3.52778
127	3.54031	3.47068	3.18052	4.00675	3.18165
128	3.85938	3.41946	3.50233	3.70058	3.5185
129	3.46644	3.2373	3.41274	3.58566	3.60128
130	3.58358	3.49822	3.31234	3.33326	3.65699
131	3.74135	3.48548	3.39781	3.44089	3.76008
132	3.66832	3.49385	3.44436	3.5161	3.84578
133	3.56579	3.33663	3.37335	3.10201	3.79059
134	3.62242	3.55314	3.14651	3.33331	3.77908
135	3.5284	3.45086	3.05174	3.47911	3.5827
136	3.37774	3.53019	3.20808	3.42402	3.17094
137	3.38435	3.83069	3.53943	3.34905	3.67983
138	3.4318	3.54328	3.54034	3.52551	3.77331
139	3.24053	3.18781	3.47583	3.10561	3.46229
140	3.22617	3.33948	3.30193	3.42755	3.67205
141	3.36206	3.37949	3.12421	3.15227	3.4435
142	3.65876	3.55812	3.18623	2.91967	3.4357
143	3.61364	3.14788	3.3615	3.1431	3.02091
144	3.34473	3.39452	3.27632	3.00074	3.15604
145	3.39234	3.33021	3.32006	3.36181	3.20598
146	3.71019	3.68641	4.06431	3.30345	3.05134
147	3.52767	3.35293	3.42434	3.20655	3.04862
148	3.85371	3.3934	3.36435	3.29851	3.35894
149	3.61937	3.46102	3.66565	3.25162	3.13013
150	3.3421	3.54329	3.17721	3.29235	3.29012
151	3.65842	3.50825	3.29037	3.41033	3.43969
152	3.58146	3.5485	3.17057	3.11649	3.17113
153	3.3394	3.50988	3.34449	3.41369	3.24053
154	3.67632	3.56551	3.32328	3.47131	3.57733
155	3.89171	3.51745	3.39845	3.32457	3.11101
156	3.54847	3.34007	3.29867	3.05022	3.73874
157	3.41407	3.52039	3.29303	3.3145	3.61616
158	3.4264	3.38361	3.61256	3.17616	3.73528
159	3.37594	3.48143	3.43672	2.48552	3.60405
160	3.77819	3.55907	3.46404	3.17263	3.63055
161	3.41238	3.28986	3.53553	2.33236	3.73134
162	3.43766	3.45915	3.50132	3.25553	3.42691
163	3.49744	3.35245	3.53489	3.43439	3.7262
164	3.62035	3.53218	3.38571	3.13982	3.81895
165	3.61824	3.3341	3.55812	3.21444	3.78193
