VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	109.534	109.573	109.55	109.634	109.588
1	109.533	109.578	109.545	109.64	109.56
2	109.533	109.584	109.551	109.633	109.551
3	109.542	109.585	109.544	109.634	109.548
4	109.562	109.571	109.561	109.649	109.541
5	109.571	109.553	109.575	109.651	109.542
6	109.56	109.557	109.57	109.639	109.542
7	109.575	109.566	109.546	109.639	109.539
8	109.575	109.561	109.543	109.627	109.494
9	109.576	109.57	109.562	109.616	109.487
10	109.578	109.57	109.541	109.62	109.53
11	109.524	109.555	109.553	109.638	109.522
12	109.535	109.535	109.56	109.58	109.524
13	109.551	109.487	109.547	109.59	109.523
14	109.562	109.54	109.544	109.594	109.538
15	109.555	109.565	109.546	109.595	109.533
16	109.543	109.583	109.538	109.58	109.525
17	109.516	109.591	109.517	109.553	109.516
18	109.49	109.531	109.525	109.57	109.495
19	109.507	109.418	109.503	109.555	109.456
20	109.491	109.495	109.509	109.567	109.501
21	109.526	109.512	109.512	109.553	109.514
22	109.496	109.526	109.52	109.556	109.521
23	109.482	109.508	109.517	109.576	109.516
24	109.402	109.488	109.502	109.598	109.518
25	109.456	109.38	109.492	109.601	109.513
26	109.501	109.474	109.516	109.6	109.514
27	109.513	109.505	109.526	109.584	109.526
28	109.52	109.54	109.527	109.594	109.538
29	109.508	109.525	109.538	109.594	109.545
30	109.513	109.497	109.519	109.601	109.555
31	109.52	109.525	109.523	109.602	109.561
32	109.525	109.53	109.465	109.611	109.561
33	109.522	109.534	109.477	109.613	109.535
34	109.521	109.532	109.437	109.607	109.528
35	109.512	109.524	109.455	109.598	109.521
36	109.513	109.509	109.489	109.613	109.517
37	109.506	109.504	109.478	109.608	109.523
38	109.496	109.505	109.48	109.6	109.566
39	109.423	109.522	109.492	109.595	109.53
40	109.477	109.533	109.483	109.608	109.523
41	109.518	109.511	109.478	109.599	109.541
42	109.531	109.519	109.482	109.581	109.535
43	109.509	109.521	109.484	109.559	109.51
44	109.481	109.525	109.474	109.575	109.52
45	109.508	109.535	109.455	109.591	109.524
46	109.523	109.524	109.475	109.582	109.525
47	109.507	109.509	109.458	109.583	109.512
48	109.437	109.512	109.482	109.542	109.507
49	109.465	109.519	109.494	109.529	109.453
50	109.497	109.487	109.484	109.533	109.486
51	109.489	109.516	109.48	109.554	109.461
52	109.489	109.506	109.481	109.525	109.473
53	109.483	109.507	109.499	109.548	109.479
54	109.495	109.508	109.492	109.553	109.509
55	109.507	109.519	109.491	109.554	109.496
56	109.509	109.521	109.508	109.576	109.531
57	109.495	109.527	109.525	109.582	109.593
58	109.489	109.529	109.524	109.596	109.585
59	109.5	109.528	109.518	109.559	109.565
60	109.477	109.519	109.513	109.565	109.569
61	109.463	109.512	109.519	109.575	109.57
62	109.465	109.523	109.521	109.572	109.562
63	109.481	109.515	109.515	109.545	109.559
64	109.415	109.518	109.513	109.522	109.563
65	109.434	109.461	109.495	109.508	109.563
66	109.43	109.38	109.496	109.551	109.58
67	109.435	109.449	109.49	109.583	109.576
68	109.442	109.509	109.484	109.578	109.566
69	109.438	109.515	109.458	109.565	109.551
70	109.411	109.485	109.445	109.572	109.527
71	109.474	109.471	109.47	109.563	109.526
72	109.472	109.476	109.484	109.576	109.535
73	109.455	109.49	109.499	109.584	109.537
74	109.453	109.471	109.513	109.591	109.517
75	109.396	109.468	109.518	109.585	109.535
76	109.376	109.48	109.507	109.57	109.537
77	109.392	109.47	109.473	109.556	109.538
78	109.415	109.457	109.474	109.557	109.535
79	109.391	109.441	109.466	109.553	109.55
80	109.378	109.427	109.468	109.53	109.533
81	109.373	109.448	109.472	109.578	109.522
82	109.384	109.449	109.465	109.575	109.535
83	109.384	109.434	109.476	109.587	109.554
84	109.391	109.449	109.451	109.593	109.556
85	109.394	109.456	109.46	109.592	109.555
86	109.391	109.462	109.458	109.551	109.553
87	109.388	109.467	109.463	109.535	109.556
88	109.385	109.447	109.471	109.529	109.56
89	109.36	109.444	109.457	109.558	109.521
90	109.364	109.408	109.459	109.557	109.531
91	109.324	109.44	109.452	109.473	109.521
92	109.36	109.433	109.428	109.446	109.543
93	109.369	109.447	109.479	109.453	109.543
94	109.387	109.446	109.454	109.465	109.533
95	109.375	109.399	109.451	109.506	109.514
96	109.314	109.437	109.481	109.542	109.526
97	109.24	109.412	109.491	109.523	109.544
98	109.234	109.404	109.515	109.498	109.509
99	109.329	109.404	109.495	109.478	109.521
100	109.371	109.413	109.486	109.535	109.511
101	109.336	109.403	109.461	109.496	109.514
102	109.312	109.39	109.452	109.553	109.522
103	109.331	109.398	109.459	109.559	109.507
104	109.336	109.429	109.475	109.585	109.506
105	109.334	109.424	109.445	109.59	109.492
106	109.345	109.426	109.444	109.598	109.489
107	109.334	109.426	109.432	109.615	109.496
108	109.33	109.434	109.442	109.599	109.506
109	109.342	109.417	109.432	109.611	109.504
110	109.354	109.449	109.421	109.624	109.515
111	109.35	109.444	109.444	109.619	109.523
112	109.339	109.43	109.46	109.621	109.502
113	109.345	109.424	109.463	109.611	109.501
114	109.366	109.423	109.464	109.616	109.507
115	109.353	109.431	109.465	109.596	109.497
116	109.318	109.405	109.467	109.593	109.51
117	109.322	109.357	109.473	109.61	109.52
118	109.303	109.322	109.463	109.617	109.509
119	109.331	109.358	109.474	109.616	109.512
120	109.307	109.34	109.462	109.6	109.513
121	109.269	109.351	109.455	109.624	109.513
122	109.294	109.336	109.44	109.574	109.51
123	109.318	109.381	109.466	109.603	109.482
124	109.312	109.363	109.456	109.59	109.498
125	109.295	109.375	109.445	109.583	109.485
126	109.27	109.373	109.421	109.567	109.482
127	109.28	109.366	109.423	109.55	109.502
128	109.308	109.372	109.429	109.568	109.497
129	109.325	109.372	109.423	109.593	109.553
130	109.344	109.372	109.427	109.604	109.512
131	109.347	109.365	109.429	109.596	109.459
132	109.345	109.374	109.442	109.592	109.496
133	109.341	109.371	109.441	109.595	109.496
134	109.333	109.382	109.445	109.6	109.498
135	109.339	109.391	109.457	109.598	109.498
136	109.353	109.389	109.475	109.6	109.505
137	109.352	109.387	109.475	109.589	109.512
138	109.338	109.374	109.469	109.584	109.523
139	109.336	109.379	109.477	109.592	109.533
140	109.337	109.385	109.455	109.59	109.535
141	109.33	109.377	109.429	109.58	109.534
142	109.315	109.348	109.426	109.578	109.5
143	109.274	109.341	109.452	109.576	109.514
144	109.368	109.344	109.448	109.577	109.51
145	109.393	109.369	109.451	109.568	109.518
146	109.394	109.356	109.445	109.573	109.519
147	109.398	109.352	109.463	109.557	109.499
148	109.38	109.342	109.457	109.557	109.512
149	109.324	109.37	109.463	109.565	109.526
150	109.302	109.376	109.459	109.573	109.517
151	109.362	109.386	109.465	109.577	109.501
152	109.375	109.397	109.475	109.592	109.49
153	109.381	109.391	109.488	109.577	109.496
154	109.364	109.371	109.466	109.592	109.486
155	109.261	109.375	109.474	109.581	109.495
156	109.354	109.395	109.458	109.58	109.506
157	109.365	109.404	109.47	109.562	109.489
158	109.373	109.422	109.456	109.574	109.468
159	109.386	109.428	109.472	109.584	109.502
160	109.395	109.418	109.469	109.577	109.484
161	109.377	109.414	109.445	109.579	109.478
162	109.387	109.412	109.472	109.571	109.467
163	109.399	109.419	109.48	109.581	109.471
164	109.389	109.425	109.503	109.566	109.461
165	109.404	109.434	109.494	109.575	109.455
