VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	116.065	116.343	116.357	116.347	116.535
1	116.046	116.23	116.434	116.467	116.471
2	115.988	116.299	116.427	116.457	116.398
3	116.083	116.234	116.368	116.44	116.423
4	116.045	116.282	116.414	116.491	116.312
5	116.03	116.295	116.284	116.396	116.373
6	116.093	116.181	116.346	116.477	116.302
7	115.956	116.251	116.347	116.511	116.35
8	116.073	116.178	116.346	116.396	116.4
9	116.086	116.235	116.414	116.494	116.27
10	116.001	116.196	116.348	116.391	116.342
11	116.119	116.213	116.433	116.478	116.364
12	116.158	116.319	116.362	116.456	116.378
13	116.168	116.45	116.364	116.49	116.482
14	116.162	116.481	116.513	116.577	116.407
15	116.089	116.339	116.418	116.478	116.42
16	116.137	116.361	116.508	116.551	116.384
17	116.094	116.358	116.456	116.535	116.382
18	116.26	116.395	116.54	116.571	116.43
19	116.195	116.633	116.426	116.449	116.526
20	116.169	116.568	116.49	116.512	116.502
21	116.253	116.409	116.424	116.436	116.429
22	116.129	116.378	116.473	116.444	116.47
23	116.168	116.401	116.485	116.468	116.469
24	116.355	116.377	116.43	116.524	116.466
25	116.358	116.704	116.456	116.451	116.446
26	116.353	116.511	116.424	116.501	116.549
27	116.281	116.435	116.443	116.413	116.45
28	116.328	116.32	116.385	116.473	116.498
29	116.166	116.331	116.406	116.439	116.376
30	116.212	116.157	116.354	116.42	116.419
31	116.189	116.234	116.312	116.475	116.358
32	116.143	116.261	116.316	116.351	116.368
33	116.221	116.21	116.375	116.41	116.374
34	116.143	116.292	116.383	116.422	116.355
35	116.248	116.26	116.4	116.368	116.412
36	116.251	116.187	116.379	116.478	116.354
37	116.171	116.255	116.398	116.388	116.4
38	116.298	116.219	116.456	116.525	116.471
39	116.308	116.292	116.37	116.444	116.417
