VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	109.373	109.41	109.459	109.547	109.506
1	109.36	109.416	109.461	109.557	109.494
2	109.362	109.424	109.453	109.548	109.48
3	109.37	109.42	109.449	109.545	109.491
4	109.386	109.414	109.464	109.558	109.493
5	109.393	109.397	109.475	109.561	109.509
6	109.376	109.401	109.471	109.562	109.512
7	109.387	109.415	109.449	109.561	109.511
8	109.383	109.415	109.456	109.559	109.493
9	109.38	109.426	109.459	109.554	109.488
10	109.379	109.421	109.453	109.549	109.515
11	109.351	109.417	109.465	109.56	109.512
12	109.366	109.406	109.476	109.536	109.513
13	109.382	109.376	109.464	109.536	109.51
14	109.384	109.41	109.46	109.545	109.529
15	109.39	109.433	109.471	109.554	109.523
16	109.384	109.459	109.47	109.546	109.52
17	109.367	109.463	109.454	109.525	109.506
18	109.35	109.43	109.453	109.535	109.497
19	109.363	109.36	109.442	109.525	109.467
20	109.366	109.405	109.442	109.545	109.499
21	109.381	109.41	109.438	109.528	109.508
22	109.369	109.424	109.455	109.531	109.514
23	109.361	109.408	109.457	109.553	109.51
24	109.305	109.404	109.447	109.558	109.505
25	109.344	109.326	109.438	109.56	109.497
26	109.374	109.401	109.462	109.556	109.489
27	109.392	109.415	109.467	109.551	109.498
28	109.4	109.437	109.476	109.55	109.51
29	109.392	109.428	109.494	109.544	109.511
30	109.389	109.42	109.472	109.549	109.519
31	109.389	109.432	109.472	109.545	109.521
32	109.389	109.439	109.462	109.551	109.526
33	109.39	109.427	109.459	109.553	109.507
34	109.378	109.426	109.449	109.547	109.497
35	109.379	109.412	109.442	109.544	109.49
36	109.37	109.408	109.458	109.55	109.491
37	109.368	109.403	109.464	109.544	109.502
38	109.365	109.4	109.458	109.547	109.537
39	109.317	109.41	109.467	109.546	109.507
40	109.353	109.418	109.459	109.563	109.503
41	109.385	109.407	109.466	109.556	109.524
42	109.399	109.409	109.471	109.546	109.522
43	109.38	109.413	109.468	109.528	109.517
44	109.369	109.419	109.446	109.54	109.515
45	109.376	109.42	109.44	109.56	109.515
46	109.39	109.416	109.452	109.549	109.514
47	109.381	109.405	109.438	109.552	109.498
48	109.334	109.402	109.456	109.524	109.498
49	109.355	109.411	109.454	109.521	109.467
50	109.373	109.395	109.456	109.534	109.493
51	109.375	109.412	109.452	109.547	109.468
52	109.368	109.412	109.453	109.537	109.477
53	109.366	109.414	109.464	109.539	109.48
54	109.377	109.413	109.475	109.543	109.495
55	109.384	109.42	109.457	109.547	109.488
56	109.397	109.421	109.467	109.566	109.514
57	109.381	109.423	109.477	109.571	109.556
58	109.385	109.427	109.469	109.582	109.544
59	109.386	109.422	109.466	109.553	109.523
60	109.379	109.425	109.461	109.561	109.533
61	109.367	109.416	109.462	109.558	109.518
62	109.372	109.421	109.47	109.562	109.513
