VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	117.148	117.201	117.23	117.37	117.267
1	117.141	117.158	117.278	117.415	117.262
2	117.111	117.184	117.269	117.409	117.211
3	117.158	117.179	117.225	117.39	117.21
4	117.128	117.196	117.22	117.406	117.17
5	117.119	117.173	117.177	117.357	117.212
6	117.141	117.121	117.186	117.392	117.158
7	117.087	117.142	117.196	117.386	117.251
8	117.141	117.101	117.178	117.331	117.239
9	117.136	117.115	117.209	117.365	117.161
10	117.091	117.102	117.195	117.321	117.22
11	117.162	117.123	117.222	117.343	117.244
12	117.205	117.181	117.187	117.337	117.294
13	117.19	117.269	117.215	117.377	117.338
14	117.168	117.279	117.298	117.405	117.298
15	117.127	117.189	117.251	117.374	117.291
16	117.135	117.18	117.28	117.404	117.248
17	117.113	117.144	117.269	117.403	117.247
18	117.201	117.2	117.292	117.418	117.262
19	117.167	117.37	117.237	117.364	117.351
20	117.15	117.292	117.258	117.382	117.317
21	117.172	117.2	117.228	117.361	117.272
22	117.093	117.164	117.265	117.358	117.28
23	117.113	117.182	117.27	117.39	117.301
24	117.234	117.181	117.248	117.415	117.281
25	117.26	117.411	117.253	117.379	117.276
26	117.246	117.274	117.222	117.408	117.34
27	117.189	117.248	117.234	117.359	117.279
28	117.198	117.144	117.213	117.388	117.291
29	117.081	117.144	117.227	117.36	117.217
30	117.111	117.041	117.198	117.354	117.221
31	117.077	117.112	117.176	117.366	117.19
32	117.052	117.129	117.147	117.305	117.202
33	117.086	117.109	117.203	117.327	117.186
34	117.068	117.188	117.175	117.334	117.194
35	117.134	117.168	117.195	117.316	117.226
36	117.128	117.123	117.208	117.37	117.205
37	117.09	117.162	117.213	117.314	117.224
38	117.171	117.156	117.239	117.387	117.332
39	117.202	117.215	117.223	117.38	117.323
40	117.2	117.229	117.267	117.425	117.275
41	117.135	117.211	117.252	117.402	117.259
42	117.159	117.263	117.292	117.387	117.274
43	117.163	117.215	117.256	117.378	117.283
44	117.22	117.309	117.302	117.397	117.323
45	117.201	117.242	117.281	117.434	117.223
46	117.182	117.199	117.301	117.405	117.279
47	117.163	117.185	117.215	117.404	117.277
48	117.202	117.137	117.249	117.387	117.318
49	117.186	117.186	117.218	117.411	117.292
50	117.141	117.231	117.269	117.441	117.336
51	117.143	117.29	117.233	117.415	117.268
52	117.174	117.193	117.222	117.349	117.271
53	117.124	117.196	117.21	117.309	117.271
54	117.174	117.211	117.173	117.354	117.246
55	117.155	117.13	117.189	117.301	117.224
56	117.106	117.182	117.201	117.318	117.263
57	117.106	117.141	117.258	117.298	117.172
58	117.086	117.165	117.209	117.314	117.193
59	117.1	117.124	117.22	117.412	117.263
60	117.098	117.12	117.211	117.232	117.196
61	117.119	117.155	117.149	117.347	117.269
62	117.103	117.129	117.161	117.421	117.237
63	117.14	117.179	117.175	117.399	117.247
64	117.1	117.172	117.187	117.395	117.235
65	117.173	117.308	117.297	117.467	117.281
66	117.175	117.259	117.278	117.437	117.275
67	117.15	117.191	117.308	117.375	117.313
68	117.191	117.255	117.263	117.377	117.28
69	117.145	117.24	117.28	117.357	117.272
70	117.207	117.184	117.312	117.413	117.245
71	117.213	117.271	117.289	117.4	117.342
72	117.191	117.176	117.267	117.372	117.311
73	117.136	117.181	117.165	117.325	117.301
74	117.176	117.161	117.205	117.317	117.251
75	117.143	117.172	117.175	117.393	117.279
76	117.318	117.24	117.228	117.409	117.235
77	117.235	117.167	117.244	117.433	117.282
78	117.187	117.215	117.294	117.407	117.292
79	117.126	117.236	117.263	117.358	117.278
80	117.149	117.181	117.268	117.377	117.28
81	117.121	117.187	117.246	117.373	117.219
82	117.062	117.153	117.176	117.348	117.243
83	117.097	117.166	117.217	117.356	117.171
84	117.08	117.154	117.14	117.332	117.212
85	117.119	117.123	117.2	117.325	117.221
86	117.042	117.151	117.224	117.327	117.258
87	117.07	117.142	117.168	117.336	117.235
88	117.079	117.147	117.212	117.31	117.237
89	117.036	117.215	117.161	117.309	117.298
90	117.13	117.24	117.221	117.361	117.238
91	117.177	117.266	117.238	117.509	117.328
92	117.231	117.177	117.307	117.379	117.249
93	117.124	117.221	117.277	117.42	117.275
94	117.154	117.207	117.28	117.404	117.234
95	117.125	117.199	117.214	117.393	117.276
96	117.189	117.241	117.216	117.397	117.258
97	117.473	117.173	117.233	117.365	117.265
98	117.188	117.18	117.288	117.33	117.281
99	117.284	117.162	117.225	117.379	117.306
100	117.22	117.229	117.247	117.403	117.272
101	117.224	117.209	117.215	117.418	117.316
102	117.155	117.273	117.273	117.403	117.28
103	117.173	117.251	117.22	117.457	117.317
104	117.091	117.224	117.287	117.342	117.268
105	117.102	117.196	117.259	117.418	117.287
106	117.107	117.194	117.298	117.351	117.239
107	117.071	117.144	117.227	117.361	117.291
108	117.072	117.17	117.214	117.322	117.279
109	117.074	117.137	117.182	117.291	117.251
110	117.088	117.179	117.151	117.331	117.243
111	117.041	117.143	117.2	117.291	117.245
112	117.085	117.113	117.175	117.355	117.155
113	117.086	117.167	117.235	117.364	117.157
114	117.081	117.152	117.218	117.334	117.21
115	117.123	117.167	117.252	117.364	117.213
116	117.21	117.15	117.236	117.394	117.255
117	117.206	117.156	117.235	117.434	117.268
118	117.153	117.269	117.198	117.382	117.285
119	117.195	117.242	117.206	117.408	117.288
120	117.175	117.19	117.186	117.35	117.257
121	117.262	117.253	117.251	117.352	117.302
122	117.238	117.225	117.235	117.429	117.259
123	117.247	117.199	117.27	117.446	117.273
124	117.178	117.292	117.221	117.387	117.306
125	117.157	117.206	117.248	117.37	117.29
126	117.177	117.181	117.263	117.373	117.337
127	117.189	117.203	117.217	117.363	117.301
128	117.196	117.186	117.294	117.401	117.291
129	117.144	117.292	117.263	117.383	117.231
130	117.161	117.21	117.3	117.37	117.242
131	117.116	117.207	117.268	117.432	117.244
132	117.077	117.162	117.223	117.356	117.264
133	117.111	117.155	117.185	117.384	117.275
134	117.064	117.154	117.393	117.385	117.304
135	117.082	117.113	117.179	117.309	117.285
136	117.114	117.151	117.214	117.343	117.302
137	117.103	117.095	117.173	117.307	117.266
138	117.1	117.158	117.131	117.316	117.157
139	117.146	117.198	117.163	117.377	117.226
140	117.117	117.188	117.153	117.316	117.179
141	117.117	117.206	117.189	117.355	117.197
142	117.144	117.177	117.234	117.353	117.213
143	117.286	117.223	117.261	117.415	117.283
144	117.234	117.231	117.22	117.415	117.278
145	117.15	117.228	117.273	117.42	117.29
146	117.141	117.178	117.19	117.397	117.292
147	117.091	117.202	117.221	117.351	117.272
148	117.148	117.212	117.249	117.387	117.314
149	117.153	117.257	117.3	117.399	117.281
150	117.232	117.194	117.27	117.396	117.261
151	117.192	117.2	117.307	117.363	117.23
152	117.166	117.158	117.243	117.387	117.245
153	117.132	117.193	117.279	117.357	117.199
154	117.16	117.206	117.209	117.403	117.289
155	117.251	117.225	117.243	117.326	117.266
156	117.188	117.242	117.216	117.35	117.363
157	117.137	117.201	117.251	117.343	117.354
158	117.109	117.224	117.202	117.34	117.315
159	117.095	117.148	117.203	117.352	117.231
160	117.087	117.141	117.221	117.378	117.215
161	117.116	117.152	117.234	117.461	117.191
162	117.149	117.121	117.226	117.482	117.233
163	117.143	117.186	117.205	117.433	117.201
164	117.189	117.151	117.215	117.411	117.265
165	117.134	117.186	117.218	117.365	117.256
