# Overall Threshold 1: [ -2.25866985336144 2.25866995386747 ]
# Overall Threshold 2: [ -4.5173397569759 4.51733985748193 ]
VOLNUM	fmriSeriesEncode#2Run1_2.bxh	fmriSeriesEncode#2Run2_4.bxh	fmriSeriesEncode#2Run3_6.bxh	fmriSeriesEncode#2Run4_8.bxh	fmriSeriesEncode#2Run5_10.bxh
0	1.93125	2.78742	1.62846	2.92929	1.74892
1	1.38204	2.02292	1.44991	2.2477	1.21871
2	1.01323	1.79784	1.12027	2.16557	0.0607107
3	1.15859	1.68731	0.851444	1.99511	-0.598605
4	1.14213	1.26351	0.785661	2.05611	-0.876763
5	1.09332	1.31023	0.642468	1.64227	-0.426982
6	0.931752	1.02891	0.418718	1.76652	0.34888
7	0.559496	1.16825	0.715325	1.89133	0.491966
8	0.444629	0.837256	0.595933	1.77784	0.650569
9	0.138979	0.810281	0.905195	1.83095	0.0814034
10	-0.0877379	0.405744	0.588148	1.50587	-0.0965878
11	-0.30161	-0.0239286	0.529475	1.38727	0.02043
12	-0.23222	0.386177	0.32598	1.17658	0.260233
13	-0.0266134	-0.371931	0.421907	1.25541	0.259066
14	0.264718	-0.0128751	0.542851	1.51679	0.571684
15	0.0815025	0.517634	0.798814	1.45511	0.402221
16	0.111301	0.644016	0.811301	1.2587	0.0918082
17	-0.126747	0.506845	-0.216557	0.259946	-0.0266887
18	-0.257582	0.658705	-0.45933	0.429697	-0.224542
19	0.347015	0.188628	-0.608891	0.391241	-0.153287
20	0.552198	-0.338706	-0.717836	0.127808	0.310876
21	0.417256	0.0892476	-1.00704	-0.564834	0.347925
22	-0.22871	-0.0680891	-0.96614	-0.552628	0.327121
23	-0.448759	-0.0637102	-0.861028	-0.260119	0.114871
24	-0.576648	-0.56276	-0.810299	-0.176392	0.43819
25	-0.819535	-0.331426	-1.04204	-0.103956	0.383667
26	0.476625	-0.575226	-0.912558	-0.189339	0.244388
27	0.27299	0.29955	-0.700378	-0.382618	0.800161
28	0.394558	0.0663433	-0.802123	-0.45623	0.804363
29	-0.182436	-0.76587	-0.699127	-0.510078	0.424467
30	-0.440057	-0.962906	-0.841179	-0.435322	0.421598
31	-0.601765	-0.734011	-0.720586	-0.293772	0.416003
32	-0.887221	-0.611838	-0.151601	-0.398337	0.331626
33	-0.712919	-0.770204	0.179425	-0.332924	-0.1029
34	-0.859626	-0.322312	0.654068	-0.14881	-0.742099
35	-0.598903	-0.262662	0.25541	-0.259655	-0.724609
36	-0.559306	-0.730957	0.135869	0.0525299	-0.81306
37	-0.522916	-0.775577	-0.107992	-0.410383	-0.4974
38	-0.105514	-0.884809	0.378817	-0.023243	-0.892139
39	-0.272204	-0.575813	0.552609	0.442518	-0.219893
40	0.0579152	-0.126573	0.791467	0.689369	0.17568
41	-0.0258314	-0.633632	0.475986	0.392136	0.233652
42	-0.0164798	0.223013	0.957307	0.171545	0.311503
43	-0.184709	0.580754	0.688426	-0.0232795	-0.454704
44	-0.443571	-0.148643	0.104353	-0.0348132	-0.819416
45	-0.638175	-0.438464	-0.150983	0.491275	-0.514917
46	-0.0711365	-0.637507	0.00372939	0.418732	-0.129213
47	-0.215657	-0.818387	-0.46613	-0.0120708	-0.275566
48	-0.590874	-1.1166	-0.684452	0.00316897	-0.245796
49	-1.17022	-0.614825	-1.14455	-0.666242	-0.654466
50	-0.616828	-0.805122	-1.44393	-0.701448	-0.639044
51	-0.518365	-0.539768	-0.953203	-0.208618	-0.670762
52	-0.358304	-0.225373	-1.10475	-0.344423	-0.714614
53	-0.437139	-0.283257	-1.23954	-0.807834	-0.610365
54	-0.375992	-0.2415	-1.29419	-0.757629	-0.823945
55	-0.428184	-0.448776	-1.29295	-0.989273	-0.43472
56	-0.7228	-0.00448098	-1.01678	-0.965326	-1.07875
57	-0.63054	-0.216606	-0.334974	-0.799126	-0.101297
58	-0.731721	-0.337899	-0.210796	-0.725448	-0.0520931
59	-0.553701	-0.49133	-0.539783	-0.190634	0.397298
60	-0.563882	-0.513181	-0.888441	0.175186	0.33414
61	-0.460774	-0.335465	-1.16596	0.483009	0.418242
62	-0.619418	-0.348057	-0.771241	0.315016	0.0785436
63	-0.418334	-0.0342066	-0.435153	-0.126007	-0.023241
64	-0.42622	-0.0697368	-0.294469	-0.852292	-0.11833
65	-0.558698	0.489409	-0.108689	-0.577349	0.0433041
66	-0.180099	0.303367	0.0612416	-1.02287	0.375979
67	-0.14771	0.704995	-0.0170622	-1.17461	0.596755
68	-0.161722	0.825945	-0.509655	-0.927032	0.328543
69	-0.449605	1.6134	-0.47028	-1.12634	0.0455894
70	-0.181052	0.781362	-0.913581	-1.47654	0.0367639
71	-0.632516	0.192283	-0.222338	-1.31473	-0.279192
72	-0.187881	-0.52939	-0.0987901	-0.812004	0.205367
73	-0.287111	-1.04284	-0.252819	-0.618787	0.0517597
