VOLNUM	fmriSeriesEncode#2Run1_2.bxh	fmriSeriesEncode#2Run2_4.bxh	fmriSeriesEncode#2Run3_6.bxh	fmriSeriesEncode#2Run4_8.bxh	fmriSeriesEncode#2Run5_10.bxh
0	3333.67	2858.24	3382.18	2568.65	4018.13
1	5119.93	4859.68	7190.17	5814.11	5190.26
2	4476.34	4167.65	1949.41	3370.57	4396.28
3	3436.61	2848.89	3230.1	4601.58	3140.27
4	3469	3502.63	2728.96	3569.63	6037.13
5	5867.21	4373.66	5046.49	3532.05	6724.36
6	5030.99	5029.12	1983.2	2983.5	3830.48
7	1866.16	2217.73	3774.93	4138.41	2987.85
8	2658	2412.93	2613.37	2686	3036.41
9	3955.54	2144.08	2444.07	2280.5	2451.79
10	1845.27	2099.5	1997.96	2581.47	3355.37
11	2380.17	2729.04	2709.75	1692.41	1753.99
12	4798	3955.97	2576.7	2381.95	2326.95
13	5071.88	1135.04	1576.97	2029.24	1906.76
14	2875.15	1804.61	3397.36	2298.86	1897.62
15	1707.75	1677.3	2025.75	1637.52	3633.62
16	1972.79	1502.06	4161.12	2314.47	2497.63
17	3730.91	3262.98	2612.84	2412.89	2009.33
18	1372.5	6570.68	2347.42	4057.89	3725.67
19	1389.75	6977.49	5067.46	2176.11	2329.92
20	2885.29	6081.09	2504.87	2288.71	2675.39
21	1298.08	2895.6	5986.11	1976.2	3651.91
22	6561.14	5280.4	2908.46	2347.05	3068.6
23	1631.81	3203.42	1786.44	5061.69	2669.86
24	4638.4	3438.5	1766.97	2629.5	3533
25	3202.84	3926.48	5779.21	4503.68	1250.78
26	1806.32	4634.65	2457.25	3662.47	1882.98
27	3152.24	3547.08	5056.89	3322.92	3939.5
28	4171.25	1820.73	1054.68	5193.73	2066.1
29	4070.99	5478.7	2135.76	3330.07	5687.21
30	2754.05	4266.95	2889	4115.73	3494.14
31	1586.98	2112.93	2334.7	2808.95	5843.03
32	2103.64	1864.74	1284.13	1314.76	2162.11
33	2596.25	2315.57	2262.94	1930.73	1927.12
34	2970.31	2372.31	2967.99	2908.93	2128.94
35	1437.15	1598.64	2262.77	1578.98	3538.68
36	2154.94	1533.66	1489.03	3248.51	1244.11
37	2137.11	1290.15	1662.78	2378.24	2430.32
38	1720.1	2810.56	1452.77	2524.74	2739.93
39	1928.92	1576.45	3700.53	2199.53	2036.66
40	1537.08	2340.87	3231.79	1875.38	2551.28
41	1850.2	2168.24	1674.76	2146.08	1697.91
42	2136.48	3586.01	1250.77	1777.57	1410.47
43	1163.78	1596.32	1762.49	1597.81	1619.21
44	1182.59	1357.17	2245.81	5020.36	1742.92
45	2079.88	988.128	956.914	2847.37	2559.45
46	2504.51	2732.54	1193.35	2143.43	3386.92
47	1623.11	1025.68	2593.23	2370.75	2108.78
48	1601.13	2371.44	1654.3	2892.87	3193.52
49	1153.71	1477.31	1477.38	2866.49	1130.12
50	2489.57	2262.41	2363.39	1877.57	2376.01
51	1123.45	986.966	1162.48	1811.22	2275.22
52	2290.26	2518.01	2647.88	1131.85	1380.68
53	2366.49	1188.07	2332.4	2519.48	2043.69
54	1604.78	1926.46	1830.73	1953.8	1675.6
55	2487.52	1981.33	1406.44	3159.51	1246.69
56	2351.03	1842.16	1120.19	1392.76	3768.4
57	1912.64	1667.33	2317.1	2079.04	3177.66
58	2059.12	1689.64	2226.11	1864.95	2096.02
59	2396.03	2036.95	1301.61	1568.07	1350.67
60	1839.97	1199.4	1118.84	2341.09	1209.71
61	959.038	997.381	2032.99	1590.35	2921.22
62	1032.04	2747.25	983.15	4361.26	1586.73
63	1369.93	1788.54	1071.07	1464.78	2870.7
64	3819.41	1478.93	1344.25	2459.64	2325.89
65	2206.6	1215.45	3058.69	2132.58	1826.34
66	3900.58	3306.5	2845.27	1532.69	2640.48
67	3599.72	3188.58	2113.11	1798.89	956.866
68	3970.86	2212.83	1658.29	2494.55	1576.01
69	2964.21	2168.29	1699.27	1995.28	1461.26
70	1792.39	4835.1	3219.91	1835.99	1435.34
71	1906.93	3504.85	1579.57	3109.65	1603.42
72	1048.33	1654.19	1067.97	1873.95	3705.47
73	2223.36	1467.59	1399.33	3195.59	2070.18
74	1207.27	2407.42	2884.72	1711.92	1584.73
75	2667.15	2091.29	1634.04	2522.34	1460.91
76	2726.77	1800.71	2397.86	1708.69	4648.09
77	4549.03	1305.63	2656.48	2154.48	3874.54
78	3752.11	1998.83	3315.97	3914.27	2630.35
79	1557.52	2553.11	3409.65	3031.46	1550.93
80	1933.94	2228.97	2000.06	1006.89	5346.82
81	4546.12	2815.26	2725.93	2970.57	4111.64
82	4104.48	4218.89	1369.35	2388.72	1298.76
