VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	109.524	109.54	109.523	109.634	109.557
1	109.513	109.55	109.518	109.638	109.554
2	109.522	109.542	109.511	109.634	109.536
3	109.529	109.544	109.506	109.63	109.537
4	109.54	109.538	109.512	109.631	109.544
5	109.541	109.526	109.527	109.638	109.554
6	109.522	109.529	109.523	109.634	109.558
7	109.532	109.537	109.513	109.636	109.562
8	109.52	109.54	109.518	109.639	109.562
9	109.514	109.54	109.519	109.627	109.56
10	109.517	109.54	109.519	109.628	109.551
11	109.506	109.535	109.525	109.624	109.55
12	109.518	109.534	109.537	109.628	109.556
13	109.523	109.532	109.535	109.633	109.546
14	109.524	109.53	109.526	109.633	109.562
15	109.528	109.548	109.546	109.646	109.559
16	109.523	109.563	109.534	109.645	109.563
17	109.523	109.562	109.54	109.638	109.554
18	109.506	109.563	109.524	109.629	109.56
19	109.518	109.539	109.522	109.633	109.549
20	109.528	109.531	109.507	109.635	109.56
21	109.522	109.534	109.51	109.63	109.565
22	109.524	109.533	109.52	109.626	109.566
23	109.52	109.522	109.515	109.639	109.566
24	109.517	109.549	109.517	109.636	109.563
25	109.528	109.531	109.509	109.64	109.562
26	109.529	109.542	109.516	109.644	109.543
27	109.545	109.548	109.518	109.642	109.556
28	109.539	109.554	109.524	109.634	109.556
29	109.535	109.544	109.53	109.63	109.557
30	109.522	109.55	109.52	109.627	109.557
31	109.521	109.552	109.518	109.624	109.557
32	109.522	109.551	109.544	109.636	109.562
33	109.515	109.541	109.535	109.631	109.551
34	109.512	109.536	109.56	109.628	109.54
35	109.507	109.529	109.526	109.623	109.529
36	109.501	109.53	109.52	109.621	109.535
37	109.508	109.525	109.52	109.628	109.544
38	109.512	109.524	109.509	109.631	109.595
39	109.509	109.526	109.52	109.643	109.565
40	109.514	109.541	109.517	109.65	109.556
41	109.537	109.542	109.532	109.648	109.571
42	109.541	109.538	109.531	109.637	109.571
43	109.538	109.553	109.533	109.633	109.583
44	109.542	109.551	109.509	109.643	109.549
45	109.528	109.55	109.513	109.641	109.555
46	109.532	109.549	109.514	109.631	109.554
47	109.528	109.536	109.516	109.627	109.546
48	109.522	109.532	109.52	109.63	109.544
49	109.515	109.541	109.513	109.631	109.549
50	109.524	109.544	109.523	109.632	109.561
51	109.524	109.549	109.529	109.64	109.55
52	109.515	109.554	109.526	109.632	109.548
53	109.522	109.551	109.523	109.626	109.556
54	109.521	109.542	109.541	109.623	109.554
55	109.525	109.548	109.525	109.627	109.562
56	109.531	109.538	109.533	109.629	109.554
57	109.526	109.537	109.527	109.64	109.569
58	109.524	109.536	109.525	109.645	109.566
59	109.519	109.538	109.524	109.633	109.553
60	109.519	109.534	109.517	109.656	109.562
61	109.509	109.525	109.521	109.648	109.557
62	109.517	109.528	109.526	109.64	109.556
63	109.511	109.534	109.523	109.618	109.553
64	109.518	109.536	109.543	109.619	109.55
65	109.519	109.524	109.513	109.614	109.554
66	109.522	109.529	109.522	109.633	109.565
67	109.528	109.532	109.516	109.643	109.557
68	109.518	109.568	109.514	109.638	109.559
69	109.525	109.572	109.517	109.633	109.556
70	109.529	109.564	109.502	109.624	109.558
71	109.523	109.537	109.518	109.625	109.552
72	109.522	109.543	109.53	109.634	109.562
73	109.526	109.541	109.514	109.64	109.549
74	109.528	109.537	109.537	109.645	109.549
75	109.527	109.554	109.544	109.638	109.549
76	109.54	109.55	109.539	109.637	109.55
77	109.531	109.554	109.532	109.627	109.554
78	109.531	109.542	109.527	109.626	109.567
79	109.534	109.529	109.528	109.635	109.568
80	109.521	109.516	109.534	109.637	109.563
81	109.512	109.529	109.524	109.642	109.556
82	109.516	109.536	109.525	109.636	109.551
83	109.513	109.534	109.52	109.635	109.562
84	109.523	109.531	109.515	109.63	109.559
85	109.519	109.537	109.51	109.635	109.558
86	109.525	109.538	109.503	109.649	109.544
