VOLNUM	fmriSeriesEncode#1Run1_2.bxh	fmriSeriesEncode#1Run2_4.bxh	fmriSeriesEncode#1Run3_6.bxh	fmriSeriesEncode#1Run4_8.bxh	fmriSeriesEncode#1Run5_10.bxh
0	109.012	109.073	109.099	109.02	109.094
1	109.013	109.076	109.123	109.032	109.109
2	109.006	109.076	109.111	109.028	109.098
3	109.021	109.074	109.132	109.04	109.098
4	109.029	109.072	109.099	109.027	109.095
5	109.023	109.062	109.109	109.037	109.095
6	109.043	109.057	109.108	109.046	109.095
7	109.031	109.072	109.114	109.03	109.1
8	109.037	109.069	109.117	109.046	109.093
9	109.023	109.077	109.112	109.033	109.102
10	109.031	109.087	109.122	109.033	109.111
11	109.002	109.015	109.053	109.005	109.057
12	108.982	109.048	109.08	109.037	109.082
13	109.019	109.07	109.099	109.043	109.089
14	109.027	109.083	109.125	109.047	109.11
15	109.026	109.076	109.098	109.034	109.102
16	109.034	109.075	109.105	109.038	109.095
17	108.969	109.037	109.029	108.965	109.095
18	108.983	109.036	109.108	109.014	109.122
19	108.994	109.067	109.099	108.996	109.108
20	109.002	109.089	109.102	108.984	109.115
21	109.016	109.083	109.112	108.997	109.107
22	108.998	109.053	109.098	108.95	109.053
23	108.978	109.037	109.086	108.986	109.063
24	109.009	109.089	109.105	109.032	109.105
25	108.992	109.098	109.105	109.067	109.098
26	109.002	109.08	109.112	109.038	109.107
27	109.016	109.086	109.089	109.038	109.097
28	109.008	109.08	109.108	109.026	109.094
29	109.048	109.086	109.096	109.042	109.091
30	109.031	109.08	109.105	109.04	109.086
31	109.038	109.075	109.097	109.039	109.087
32	109.019	109.083	109.094	109.026	109.082
33	109.024	109.084	109.083	109.03	109.091
34	109.031	109.073	109.103	109.026	109.108
35	109.036	109.056	109.097	109.011	109.098
36	109.013	109.066	109.103	109.002	109.098
37	108.977	109.025	109.101	108.992	109.046
38	108.972	109.066	109.111	109.004	109.089
39	109.039	109.065	109.128	109.048	109.103
40	109.015	109.06	109.119	109.042	109.101
41	109.021	109.064	109.126	109.038	109.106
42	109.018	109.05	109.121	109.004	109.113
43	108.972	109.004	109.064	108.994	109.068
44	109.028	109.057	109.104	109.045	109.193
45	109.023	109.062	109.07	109.054	109.116
46	109.03	109.077	109.132	109.043	109.117
47	109.03	109.097	109.116	109.031	109.116
48	108.987	109.061	109.059	108.972	109.082
49	108.96	109.024	109.067	109.022	109.045
50	109.002	109.073	109.105	109.039	109.099
51	109.014	109.088	109.093	109.019	109.088
52	109.003	109.085	109.094	108.995	109.076
53	109.016	109.084	109.078	108.999	109.086
54	109.005	109.1	109.096	109.002	109.082
55	109.026	109.108	109.072	109.004	109.076
56	109.024	109.132	109.073	108.996	109.076
57	109.022	109.111	109.074	109.019	109.078
58	109.025	109.096	109.092	109.047	109.065
59	109.017	109.073	109.123	109.048	109.075
60	109.03	109.06	109.124	109.036	109.087
61	109.027	109.057	109.126	109.033	109.11
62	109.021	109.047	109.136	109.042	109.118
63	108.962	109.009	109.12	108.965	109.08
64	108.997	109.006	109.122	109.056	109.12
65	109.012	109.051	109.139	109.057	109.137
66	109.013	109.07	109.122	109.041	109.12
67	109.031	109.056	109.116	109.036	109.121
68	109.015	109.048	109.088	108.983	109.105
69	109.016	108.965	109.079	108.95	109.052
70	109.02	109.048	109.089	109.024	109.108
71	109.026	109.116	109.095	109.046	109.117
72	109.04	109.121	109.096	109.044	109.129
73	109.024	109.13	109.09	109.051	109.132
74	108.933	109.064	109.053	108.967	109.085
75	108.971	109.077	109.08	109.029	109.077
76	108.998	109.08	109.074	109.047	109.102
77	108.999	109.089	109.09	109.058	109.091
78	109.017	109.093	109.075	109.027	109.082
79	109.028	109.078	109.103	109.017	109.069
80	109.036	109.071	109.098	109.01	109.067
81	109.025	109.068	109.105	109.001	109.063
82	109.04	109.052	109.109	109.011	109.077
83	109.034	109.054	109.092	109.01	109.101
84	109.02	109.049	109.114	109.008	109.077
85	109.012	109.067	109.12	109.02	109.076
86	109.013	109.077	109.12	109.013	109.067
87	109.028	109.087	109.132	109.02	109.071
88	109.019	109.075	109.127	109.038	109.086
89	108.959	109.035	109.077	108.979	109.101
90	108.996	109.04	109.123	109.004	109.226
91	109.017	109.076	109.117	109.028	109.08
92	109.007	109.061	109.098	109.028	109.126
93	109.011	109.083	109.086	109.034	109.116
94	109.006	109.062	109.067	109.028	109.095
95	108.957	109.076	109.067	108.97	109.09
96	109.03	109.101	109.105	109.031	109.111
97	109.021	109.1	109.124	109.07	109.107
98	109.029	109.076	109.105	109.07	109.108
99	109.022	109.059	109.111	109.087	109.083
100	108.988	108.992	109.046	109.006	109.027
101	109.035	109.068	109.102	109.046	109.094
102	109.033	109.076	109.115	109.072	109.105
103	109.021	109.063	109.105	109.053	109.098
104	109.028	109.062	109.11	109.033	109.098
105	109.015	109.072	109.105	109.019	109.107
106	109.01	109.068	109.104	108.981	109.115
107	109.005	109.081	109.092	108.97	109.102
