VOLNUM	fmriSeriesEncode_1Run1_2.bxh	fmriSeriesEncode_1Run2_4.bxh	fmriSeriesEncode_1Run3_6.bxh	fmriSeriesEncode_1Run4_8.bxh	fmriSeriesEncode_1Run5_10.bxh
0	201.263	201.738	202.272	200.86	203.194
1	200.018	200.915	201.473	200.357	201.932
2	199.631	200.592	201.213	200.229	201.42
3	199.385	200.322	201.096	200.056	201.034
4	199.461	200.149	200.764	200.225	200.851
5	199.305	199.882	200.687	200.093	200.562
6	199.564	199.739	200.547	199.835	200.719
7	199.473	199.625	200.126	199.618	200.753
8	199.589	199.75	200.311	199.536	200.973
9	199.63	199.812	200.043	199.807	200.557
10	199.727	199.779	200.108	199.644	201.129
11	199.551	199.108	200.045	199.848	201.801
12	198.875	199.476	198.712	199.033	199.899
13	199.579	198.798	199.291	199.667	200.187
14	199.719	199.272	199.496	199.617	200.242
15	199.626	199.424	199.405	199.814	200.14
16	199.831	199.35	199.649	199.845	200.28
17	198.903	199.656	199.735	199.95	199.756
18	198.492	198.298	198.935	199.44	199.751
19	198.68	199.175	199.544	200.059	200.305
20	198.487	199.32	199.626	199.902	200.377
21	198.703	199.161	199.563	199.418	200.634
22	198.584	199.087	199.354	199.459	200.705
23	198.088	198.016	199.2	198.365	199.344
24	198.283	198.349	198.895	199.289	199.836
25	198.193	198.589	199.52	199.345	199.887
26	198.189	198.481	199.491	200.077	199.825
27	198.111	198.531	199.545	200.088	199.859
28	198.079	198.663	199.295	200.567	200.201
29	198.151	198.528	199.035	199.876	199.907
30	198.253	198.648	198.83	199.979	199.728
31	198.179	198.481	198.779	199.303	199.883
32	198.248	198.551	198.661	199.299	199.494
33	198.31	198.466	198.881	198.689	199.682
34	198.472	198.523	198.885	199.071	199.64
35	198.385	198.506	199.156	199.004	199.522
36	198.025	198.447	199.035	199.186	199.499
37	197.987	198.621	199.107	199.722	199.693
38	197.861	197.291	198.283	199.032	198.724
39	198.835	198.179	198.786	199.584	199.367
40	199.529	198.557	199.051	199.383	199.352
41	199.539	198.768	199.108	199.739	199.391
42	199.24	199.157	199.015	199.63	199.419
43	198.689	198.513	199.217	199.607	199.311
44	198.527	198.205	198.841	199.236	199.026
45	199.229	198.638	198.743	199.441	199.567
46	199.481	198.563	200.108	199.473	199.546
47	199.24	198.625	198.806	199.386	199.069
48	199.221	198.542	198.824	199.407	198.755
49	198.174	197.904	198.005	198.471	198.319
50	198.198	197.659	198.496	198.641	199.506
51	198.488	198.192	198.307	198.382	199.948
52	198.481	198.465	198.423	198.46	200.344
53	198.587	198.43	198.208	198.208	200.255
54	198.536	198.341	198.35	198.994	199.943
55	198.273	198.368	198.233	199.155	199.528
56	198.154	198.306	198.307	199.194	199.326
57	198.122	198.226	198.729	199.071	199.298
58	198.026	197.908	198.674	198.988	199.057
59	198.258	198.146	199.39	198.865	199.196
60	198.115	197.977	199.31	198.349	199.363
61	198.31	198.031	198.98	198.53	198.981
62	198.175	198.144	199.208	198.666	198.979
63	198.29	198.286	198.93	199.027	199.125
64	197.587	197.569	198.734	198.677	199.3
65	198.275	197.935	198.95	199.091	199.204
66	198.455	198.432	199.024	199.342	199.095
67	198.625	198.452	198.944	199.432	198.987
68	198.976	198.935	198.713	199.489	198.991
69	198.4	198.531	198.713	199.216	199.092
