VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	2.88087	2.06436	3.4148	2.7517	3.69919
1	2.11733	2.66846	2.69837	2.50184	2.86552
2	2.82713	2.26438	2.86899	2.67695	3.33171
3	-1	2.33472	2.27384	2.28596	2.51595
4	2.5863	-1	2.83582	2.77984	3.1957
5	-1	2.31889	2.18276	2.71498	2.58948
6	2.86775	-1	3.00711	-1	2.88032
7	-1	2.27086	2.96316	2.82145	2.69426
8	2.63439	-1	2.95093	2.63768	2.73057
9	-1	2.30179	2.87101	2.78	2.66093
10	2.59943	-1	2.91577	3.00265	2.6558
11	1.75908	-1	3.00978	2.79819	2.51216
12	2.99176	-1	2.77684	2.79012	-1
13	-1	2.46396	2.77002	2.71072	2.81805
14	2.79655	2.61574	2.28726	2.47251	-1
15	2.15433	2.01187	2.8223	2.75666	2.81949
16	3.01123	2.98116	1.93621	2.376	2.07255
17	2.42224	-1	3.07995	2.60171	2.61389
18	2.99782	2.8066	2.66714	2.67495	1.75593
19	2.95477	2.9146	2.88952	-1	2.93882
20	3.26479	3.56693	2.31175	-1	2.17001
21	3.13541	3.35229	2.81312	2.41165	3.10468
22	3.19558	3.46798	2.6517	1.78882	2.90858
23	-1	3.05249	2.21457	2.46269	2.6468
24	2.5981	3.47018	2.43649	2.86784	-1
25	2.2845	3.58253	2.66166	2.82047	2.89078
26	2.48338	3.72909	2.59513	2.61262	2.28508
27	2.56469	3.52768	2.65287	2.665	2.48779
28	2.6972	3.54523	2.51107	2.4099	-1
29	2.42492	3.36672	2.7476	2.98177	2.65127
30	2.14819	3.43813	2.37169	2.34713	-1
31	2.60157	3.31306	2.89764	3.01484	2.86035
32	2.66216	3.41012	2.29457	2.60961	-1
33	2.74249	3.15268	2.49424	3.33408	1.95148
34	2.36691	3.01866	2.38335	3.03132	2.25564
35	2.69551	3.28307	2.47987	2.55251	2.17989
36	2.96641	2.58215	2.24286	2.87857	3.2104
37	2.93047	3.15913	2.47461	2.4917	3.10333
38	2.80681	3.13898	2.18865	1.91667	2.52036
39	2.85034	2.9999	1.82245	-1	2.70709
40	2.66045	2.39642	2.2967	2.62403	3.04335
41	2.65386	2.98634	2.62416	2.6245	2.709
42	2.88019	2.41953	3.23441	2.72748	2.74327
43	3.12508	3.09577	2.97739	2.3317	3.42013
44	2.9841	2.70968	2.82451	2.24969	-1
45	3.05132	3.27075	2.95636	2.7408	2.26169
46	2.97703	-1	-1	2.79928	3.04619
47	3.15298	3.01701	2.3148	2.82905	2.87819
48	2.79737	-1	2.96803	2.6893	2.89791
49	2.39603	2.75414	3.37813	2.62866	3.65405
50	2.51783	2.53176	2.96829	-1	3.39735
51	3.01748	3.13681	3.05093	2.46197	3.73714
52	2.49812	1.8279	3.16348	2.634	3.67137
53	2.91174	3.15065	2.75254	3.49413	3.90329
54	2.69136	-1	2.99603	2.91957	3.33033
55	2.78646	2.75516	2.93171	2.97905	3.30329
56	3.10907	-1	3.24172	1.72094	3.00518
57	2.70407	2.745	3.07319	2.88334	2.97417
58	3.21954	-1	3.06743	-1	2.99978
59	3.28063	2.24286	3.09582	3.00324	3.33627
60	3.52307	2.30208	2.89606	2.63081	2.26574
61	3.19834	2.08082	2.86519	2.4751	3.06876
62	3.74114	2.95839	2.7648	2.99832	2.7795
63	2.86279	-1	3.03572	3.0774	2.58836
64	2.92382	2.64681	-1	2.71255	3.07139
65	2.2831	2.04775	2.70655	2.31053	-1
66	2.68748	2.88759	2.61694	3.18195	3.1639
67	2.71054	-1	2.57408	2.08909	-1
68	2.65205	2.74519	2.85561	3.21081	2.71206
69	1.90069	2.45861	2.15712	3.08761	2.93599
70	3.11676	2.39812	2.67756	2.85677	2.48089
71	3.09549	2.75155	2.64122	3.37919	3.05282
72	2.75972	-1	2.5703	2.7048	-1
73	3.32228	2.70876	3.19114	2.63144	2.4505
74	3.07581	-1	-1	2.75231	-1
75	3.24786	3.00281	2.9597	-1	2.56651
76	2.66015	-1	-1	2.425	2.61347
77	3.13312	2.98706	2.62335	2.24803	2.78816
78	3.17252	3.01826	2.0737	2.71577	2.44927
79	3.0645	3.24451	2.13568	2.70288	2.79307
80	2.99703	3.06821	2.80367	2.64975	2.74242
81	3.51664	3.11722	-1	3.09044	-1
82	3.18035	3.30512	2.50902	2.85222	2.98446
83	3.62402	3.23464	3.04736	2.64548	2.5344
84	3.0676	3.21895	3.16092	2.79018	3.04922
85	3.2782	3.08615	3.3043	2.87556	2.87142
86	3.22043	2.94996	2.49679	3.1149	3.15645
