VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	1456.96	2482.18	1892.65	2846.28	2567.93
1	4634.12	3300.59	6380.42	6470.72	4541.41
2	2453.54	4111.02	4087.53	5933.82	5487.88
3	4539.7	5308.23	3019.32	4826.99	7436.59
4	4960.66	4047.6	4211.66	5055.09	5754.78
5	5112.94	4902.14	8613.7	5680.91	4193.49
6	3496.89	5892.13	4771.86	3675.34	5568.52
7	8378.98	3737.7	8237.13	4170.93	2587.45
8	3007.6	3186.1	6221.57	2688.68	3700.6
9	3087.31	3292.31	2673.95	3557.6	5305.24
10	4631.03	2901.56	2670.19	2077.73	4536.44
11	2671.45	5112.08	3119.35	3594.57	6546.58
12	2956.77	3904.78	3274.81	4136.21	3849.71
13	6969.26	2075.33	4908.27	6791.49	2039.53
14	1922.07	2408.35	2145.64	2688.53	6363.39
15	2928.45	6320.17	2725.48	3111.31	2341.51
16	3498.97	4500.99	2390.81	3585.82	1980.01
17	2497.57	2178.59	1574.94	2175.64	2553.44
18	2830.6	2411.11	2245.14	2294.68	2275.66
19	2203.13	2448.67	2657.88	1917.93	2612.87
20	1987.04	1635.26	2458.08	1910.06	2133.46
21	2307.47	1702.73	2472.15	1293.96	2700.27
22	2463.44	1927.06	2542.47	1709.9	2195.72
23	1517.61	1456.45	2275.22	1186.17	2305.97
24	2190.33	1905.31	2219.87	1773.23	3009.36
25	1980.6	3822.31	1911.75	2298.57	1916.28
26	3104.52	1624.28	1728.36	1526.3	2051
27	1498.79	2850.07	1160.67	1613.89	2213.23
28	1683.52	3009.31	1265.56	1880.3	3716
29	2076.09	1679.21	2627.78	2384.17	1485.15
30	1026.57	2187.1	1522.14	2721.9	2106.4
31	2060.68	2206.69	3432.55	2947.37	2083.72
32	1962.41	1587.93	1399.74	2625.75	1917.7
33	2781.81	1777.05	1225.41	2754.47	2222.44
34	1447.48	1831.59	1607.66	1898.65	1892.26
35	1588.07	1435.38	1893.92	2006.1	1826.27
36	1437.29	1025.47	1425.84	1497.34	1391.13
37	981.701	1529.47	1503.25	1540.81	1615.92
38	1530.81	1356.65	1451.76	1383.7	1519.16
39	1136.44	1129.16	970.385	1315.71	1305.89
40	1397.2	2003.22	1024.8	1664.96	2366.48
41	1013.11	2260.77	1623.71	2561.66	2064.42
42	1392.09	1357.81	1183.19	2125.5	1359.31
43	956.33	2217.91	2179.78	1513.28	1401.21
44	1110	2682.14	1505.79	1342.98	2603.55
45	1078.25	860.905	2086.77	1650.81	1711.56
46	986.667	835.254	1444.5	2110.54	1623.87
47	1781.5	1374.21	1744.39	1672.51	1311.35
48	1106.44	1110.59	1857.62	2321.62	1614.89
49	1530.49	1661.56	1363.41	1876.79	1233.47
50	1361.92	1419.48	1529.45	2304.12	1332.45
51	746.163	1273.82	1563.93	1783.3	978.813
52	2067.17	918.576	2206.24	1518.14	1946.66
53	1808.16	1423.39	1449.58	1578.71	1589.03
54	1511.81	1239.44	1688.5	2061.17	2440.53
55	1712.09	896.712	1946.14	1623.87	2262.05
56	1025.28	1450.07	1410.28	1498.93	1912.71
57	1304.94	1874.14	1286.54	1557.4	1781.23
58	1295.66	1485.22	1864.47	1550.69	1881.44
59	1006.98	1593.38	2128.27	2037.76	1420.86
60	2002.15	1446.23	1413.1	1354.13	2138.79
61	1006.25	1499.31	1040.49	1812.91	1751.08
62	1094.26	1038.19	911.375	1431.7	1771.66
63	1288.07	2337.83	2466.24	1468.57	1852.33
64	1744.41	1565.82	1309.58	1514.25	1428.48
65	1153.8	1133.11	1166.87	994.517	1448.35
66	1798.17	1242.8	1494.51	1144.35	1363
67	1481.5	1181.76	1315.44	1271.09	1857.9
68	1182.7	1284.95	1873.62	1292.35	2260.57
69	1104.11	1855.96	1946.32	1643.5	1547.71
70	2205.37	1172.65	1928.08	1221.2	1347.35
71	1351.23	1855.41	1952.43	2274.15	1830.55
72	2035.36	3851.23	1716.75	2281.75	1753.05
73	2158.79	3413.89	3663.23	2189.1	2208.15
74	1625.45	2024.67	2399.97	3950.03	3733.2
75	2391.38	3552.86	2275.15	2120.72	2153.39
76	3960.39	7055.25	3303.65	5651.26	3985.19
77	2645.82	2026.57	5728.21	4544.25	3720.49
78	2494.8	2258.99	1899.54	1943.15	5340.26
79	8592.13	6600.68	2339.21	3610.57	3969.17
80	6201.03	2566.12	3329.42	2395.17	4514.38
81	4678.24	3569.62	5527.08	2026.67	2296.98
82	8583.15	2180.26	3907.26	1787.53	1305.42
