VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	4.68082	4.70165	5.27782	5.09402	4.63154
1	4.70325	4.95493	5.10514	5.05509	4.87835
2	4.62556	4.50358	5.17097	4.93239	4.73428
3	4.60442	4.70342	5.12946	5.29073	4.73331
4	4.45535	4.63098	5.00159	4.78869	4.78968
5	4.63482	4.56066	5.17125	4.77261	4.73954
6	4.54115	4.71985	4.99712	4.91956	5.26885
7	4.57578	4.42928	5.17545	4.8201	4.97425
8	4.42233	4.79258	5.05554	4.79712	5.25072
9	4.49475	4.46688	5.0271	5.16516	5.07303
10	4.53394	4.83836	5.17272	4.63777	5.38107
11	4.89205	4.84882	5.37989	4.91227	5.49456
12	4.80052	5.19768	4.79207	4.73016	5.52105
13	4.85299	4.62904	4.76201	4.42638	5.28783
14	4.82936	5.22456	4.92088	4.5403	5.40835
15	4.66892	4.6929	4.90749	4.48951	5.33453
16	4.9441	5.07072	5.07984	4.68365	5.32556
17	5.48049	5.46984	5.13019	4.55514	5.39142
18	4.86695	4.85424	4.93195	4.67686	5.41992
19	4.65404	4.63383	4.90246	4.63572	5.21245
20	4.73763	4.81385	4.92449	4.65583	5.2356
21	4.56008	4.41271	4.91953	4.73058	5.09273
22	5.21452	5.00982	5.07777	4.82921	5.47443
23	4.94883	4.54654	4.55126	4.57065	5.24086
24	4.85125	4.48424	4.95778	4.78211	5.24052
25	4.29916	4.36471	4.77388	4.60334	5.27323
26	4.521	4.17725	4.85084	4.73614	5.23509
27	4.2411	4.17441	4.77276	4.46612	5.14457
28	4.36042	4.34014	4.95613	4.49674	5.22016
29	4.35812	4.30769	4.68699	4.79372	4.91621
30	4.23326	4.44947	4.87827	4.59204	5.13097
31	4.55932	4.83892	4.71374	4.50462	4.83144
32	4.17196	4.53014	4.79311	4.43036	5.07575
33	4.35859	4.27325	4.74424	4.466	4.94718
34	4.21988	4.28524	4.79579	4.37075	4.90549
35	4.45037	4.15805	4.90165	4.51276	4.93226
36	4.26416	4.45596	4.87063	4.508	4.81589
37	5.12489	4.70923	4.83998	4.62218	5.08591
38	4.55541	4.87259	4.71115	5.32154	4.92074
39	4.71103	4.26922	5.13563	4.62866	4.93806
40	4.32648	4.50697	5.25648	4.63073	5.06426
41	4.68139	4.06235	5.75195	4.47193	5.06155
42	4.35565	4.27841	4.98888	4.69135	5.10562
43	5.29335	4.45816	5.1385	4.94834	5.05441
44	4.31706	4.2979	4.99849	5.08977	5.09335
45	4.77254	4.08116	4.81411	4.66072	4.95706
46	4.12567	4.09653	4.81168	4.63044	4.70861
47	4.68466	3.84868	4.57831	4.04601	4.49355
48	4.81023	4.43134	5.21638	4.17712	4.47115
49	4.88629	4.49065	4.57209	4.43031	4.5063
50	4.3923	4.23605	4.80064	4.28771	4.34713
51	4.06138	4.17631	4.23417	4.23671	4.08445
52	4.55149	4.16877	4.46574	4.19755	4.50611
53	4.06464	3.95523	4.11924	4.54005	4.25687
54	4.11715	4.35197	4.32564	4.35006	4.87105
55	4.21036	4.25274	4.39788	4.54605	4.73413
56	4.04623	4.30046	4.38677	4.12366	5.07563
57	4.29914	4.39112	4.34869	4.4454	4.58987
58	4.15126	4.08987	4.39054	4.35125	4.91314
59	4.83078	4.56536	4.38027	4.37051	4.42535
60	4.3451	4.17959	4.45564	4.18184	4.59337
61	4.27747	4.63009	4.48994	4.23523	4.45106
62	4.50275	4.32531	4.42644	4.28241	4.36439
63	4.49752	4.52856	4.46132	5.0432	4.41418
64	4.4422	4.65444	4.5806	4.73501	4.58913
65	4.04986	4.45229	5.02268	4.45661	4.15311
66	3.91638	4.40076	4.69912	4.03656	3.89581
67	4.148	4.46829	4.65377	4.04263	4.14816
68	4.02922	4.59154	3.95982	5.03699	4.11328
69	4.76721	4.45754	4.47545	5.79036	4.72529
70	4.1296	4.7274	4.40627	4.70478	4.02984
71	3.91329	4.52856	3.90421	4.4345	4.40427
72	4.29265	4.68292	4.33719	4.39669	3.88781
73	4.24508	4.56387	3.81142	4.58648	4.90934
74	4.56129	4.64151	4.35839	4.90862	4.54289
75	4.06648	5.02714	4.26751	5.34644	4.55838
76	4.15664	5.14368	4.20264	4.71435	4.59789
77	4.08021	4.85711	4.13894	4.70099	4.70435
78	4.00453	5.16105	4.63454	4.59737	4.73437
79	4.74274	4.87103	4.01411	4.38421	4.83882
80	3.89731	4.94733	4.5952	4.97567	4.4431
81	4.54405	4.95249	3.926	4.56326	4.99259
82	4.04042	5.06251	4.54527	4.6359	4.42905
83	4.7087	4.9049	4.09227	4.57448	4.79604
84	4.45823	4.64745	4.66521	4.51769	4.57477
85	4.04787	4.70929	4.31632	4.22879	4.22721
86	4.41136	4.63884	4.40439	4.65172	5.00503
87	4.25687	4.5474	4.37868	4.09161	4.53271
88	4.62612	4.84562	4.28604	4.25417	4.59349
89	3.95149	4.65325	4.7067	4.6929	4.73642
90	4.68316	4.59466	4.47959	4.61665	4.74856
91	3.90929	4.82485	4.36469	4.44768	4.865
92	4.84588	4.15021	4.54754	4.73164	4.32509
93	4.31336	4.77952	4.46692	4.61381	4.05784
94	4.72809	4.42395	4.87226	5.2853	4.36705
95	4.47061	4.84329	5.20631	5.08624	5.07818
96	5.00383	4.45694	5.05466	5.0008	4.86834
97	4.33739	4.24312	4.77109	4.38677	4.5581
98	4.25405	4.44829	4.65494	4.49692	4.97379
99	4.70219	4.38806	4.85076	4.57004	4.73887
100	4.03015	4.72494	4.93139	5.68888	4.80035
101	4.50978	4.89981	5.52771	5.16368	4.8745
102	4.03027	4.74888	4.86085	4.83892	5.03177
103	4.31479	4.50165	4.66847	4.27813	4.75175
104	3.95009	4.71531	4.66966	4.25041	5.12073
105	4.29721	5.00224	4.80771	4.27362	4.67132
106	3.84176	4.68413	4.60433	4.43497	5.06713
107	4.56551	4.93626	4.65546	4.39498	4.85498
108	4.03978	4.76371	4.64764	4.16653	5.11168
109	4.7031	4.90715	4.44508	4.21555	4.932
110	4.32786	4.48641	4.49456	4.47956	5.02263
111	4.75904	5.14298	4.47881	4.41603	5.0911
112	4.25516	4.95857	4.74712	4.69907	4.73868
113	5.00736	4.95221	4.39063	4.40334	4.74783
114	4.22059	5.05847	4.53491	4.72329	5.08409
115	4.12767	4.8779	4.40505	4.7884	4.8594
116	4.56697	4.49135	4.68513	4.91828	4.46018
117	4.4527	4.37422	4.45184	4.49899	4.38876
118	5.23286	4.74946	4.47758	4.15291	4.47497
119	5.09222	4.54106	4.65674	4.12877	4.69099
120	3.51211	4.86275	4.65455	4.27452	5.03337
121	4.14307	4.68664	4.73267	4.29683	4.72365
122	3.99419	4.72226	4.80233	4.61022	4.80848
123	3.83862	4.48315	4.55624	4.03425	4.38184
124	3.99534	4.94324	4.80518	4.25279	4.70985
125	3.90959	4.76538	4.49883	4.288	4.94874
126	3.9759	4.88034	4.80112	4.48084	4.70372
127	4.14353	4.52446	4.42645	4.77068	5.01588
128	3.95614	4.55701	5.01467	4.58895	5.05122
129	4.29479	4.82775	4.86078	4.24218	5.40088
130	3.98325	4.85165	4.90478	4.16697	4.77385
131	4.45626	5.11498	5.15163	4.37927	5.25619
132	4.00577	4.82328	4.89776	4.5611	4.75132
133	4.35863	5.17996	5.15392	4.3013	4.90097
134	3.96283	4.65938	4.78639	4.49729	4.30785
135	4.3903	5.09172	5.11806	4.12628	4.98668
136	4.01387	4.88607	4.69294	4.25571	4.27731
137	4.3812	4.78824	5.24926	4.38984	4.78527
138	4.16305	4.8894	4.62731	4.39143	4.40829
139	4.42696	4.78256	4.88755	4.44246	5.10231
140	4.11231	5.23292	4.51802	4.2556	4.65029
141	4.37398	4.74727	4.78107	4.5666	5.19408
142	4.14259	5.13804	4.35838	4.94548	4.53611
143	4.34231	5.47041	4.34113	4.6212	5.09764
144	4.14408	5.74477	4.24932	5.08054	5.38489
