VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	814.889	811.412	815.123	812.169	809.348
1	814.513	809.242	812.848	810.817	807.549
2	812.632	808.424	811.877	810.687	806.85
3	812.64	808.355	811.894	809.574	806.933
4	812.679	808.016	811.172	808.923	806.859
5	812.896	808.609	812.695	809.756	807.721
6	813.63	809.247	812.932	810.82	808.464
7	812.212	809.432	813.372	811.07	807.989
8	812.627	809.622	813.447	810.157	808.266
9	812.875	809.845	813.904	810.575	809.034
10	814.229	810.404	814.379	811.24	810.198
11	811.964	810.646	815.771	813.458	810.811
12	814.924	806.497	811.173	810.986	807.49
13	814.679	812.055	813.918	810.434	809.189
14	817.185	815.13	816.249	813.287	809.166
15	817.447	816.893	816.309	816.079	809.281
16	818.484	816.643	817.066	812.829	809.37
17	818.216	818.153	817.767	814.006	809.177
18	817.205	813.144	814.525	812.054	807.191
19	817.925	813.557	817.161	816.132	810.858
20	818.305	812.557	817.412	816.016	810.873
21	817.525	812.544	816.906	814.488	811.262
22	816.372	811.372	817.23	812.539	809.721
23	813.044	808.592	811.706	810.386	808.723
24	813.715	809.346	814.673	808.234	809.419
25	814.278	811.105	815.307	810.422	808.991
26	813.138	811.389	815.027	811.305	808.848
27	813.819	810.24	815.383	811.555	809.037
28	812.009	810.898	815.253	811.946	809.151
29	812.745	810.105	815.751	811.777	808.544
30	812.262	810.131	814.699	811.468	807.699
31	813.433	809.635	815.444	811.354	808.78
32	813.803	810.272	813.464	811.712	808.594
33	815.003	810.197	814.064	811.365	809.119
34	814.939	811.346	814.205	811.938	809.415
35	816.032	812.269	814.106	812.372	809.271
36	815.636	811.554	814.168	813.605	807.842
37	816.587	812.913	814.889	814.682	809.647
38	813.056	809.158	810.474	811.667	808.59
39	815.988	813.393	815.048	809.634	808.584
40	816.345	813.323	804.528	812.45	814.917
41	817.352	812.597	820.323	811.925	810.557
42	818.074	812.832	817.466	811.486	810.31
43	816.068	812.572	815.472	812.657	809.929
44	813.033	809.437	810.823	811.123	807.62
45	814.073	812.237	815.466	811.511	808.184
46	816.026	812.407	817.968	811.581	807.594
47	815.522	811.864	820.016	812.745	806.35
48	815.67	812.807	820.153	813.093	807.099
49	812.643	811.344	816.021	813.819	804.448
50	815.401	810.069	815.862	810.533	805.661
51	814.494	811.152	815.695	812.783	807.992
52	815.49	812.216	814.489	813.415	809.332
53	815.737	812.12	814.319	812.61	811.249
54	814.438	812.808	814.071	813.936	812.38
55	814.772	812.541	813.137	812.057	812.905
56	814.553	812.297	813.892	812.755	813.948
57	815.164	810.413	814.084	812.089	813.045
58	815.17	811.91	813.841	813.18	811.68
59	814.057	811.153	814.291	812.846	811.517
60	813.111	811.677	814.855	812.842	808.773
61	813.803	811.813	812.941	811.863	807.577
62	814.638	810.757	813.614	811.603	805.626
63	814.968	811.138	815.533	810.521	805.34
64	812.653	808.81	815.087	809.342	804.859
65	814.556	809.437	813.421	810.293	806.942
66	815.552	810.045	813.678	812.354	808.252
67	816.549	810.161	815.579	813.462	808.322
68	817.269	810.784	815.504	807.178	809.684
69	816.168	811.638	815.759	799.476	810.737
70	815.45	809.293	812.925	814.354	809.532
