# Overall Threshold 1: [ -2.09656379231325 2.0965654606988 ]
# Overall Threshold 2: [ -4.19312841881928 4.19313008720482 ]
VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	1.69302	2.22323	2.86723	3.38533	2.57217
1	1.507	1.81327	1.74947	2.81852	2.18467
2	0.857069	1.21368	1.49262	2.34	1.64863
3	0.712148	1.07878	1.10019	1.99093	1.61469
4	0.496519	0.722832	0.717686	1.46296	1.27096
5	0.579095	0.591541	0.891854	1.55964	1.23607
6	0.285088	0.677976	0.759123	1.6933	1.21699
7	0.101652	0.415917	0.722183	1.38563	0.899103
8	-0.0261627	0.64085	0.426849	1.20038	1.01937
9	0.141546	0.342727	0.572167	0.967542	0.964829
10	0.235489	0.55896	0.35023	1.22408	1.34321
11	-0.209989	0.546691	1.04277	1.74396	1.43712
12	0.264068	-0.558643	-0.745462	0.978674	0.684488
13	0.383453	0.47808	0.168289	0.581765	0.479618
14	0.923712	1.55625	0.450271	1.14844	0.677789
15	0.969786	1.58736	0.686026	1.77919	0.444847
16	1.24281	1.74978	0.681004	1.03154	0.754972
17	1.35597	2.21045	1.15997	1.35028	0.998519
18	0.773312	0.80918	0.0376067	0.722823	0.27023
19	1.00323	0.606318	0.858834	1.68538	1.08983
20	1.19913	0.486383	0.851128	1.61875	1.08912
21	0.966421	0.174805	0.683986	1.13756	1.19846
22	0.930783	0.0662243	1.05744	0.974365	1.19037
23	-0.19805	-0.87084	-0.420063	0.132389	0.682304
24	-0.0131678	-0.736245	0.350622	-0.614754	0.608856
25	0.0309243	-0.312152	0.359408	-0.0202591	0.617292
26	-0.177297	-0.356657	0.347823	0.0214453	0.431052
27	-0.197895	-0.499444	0.226707	0.251105	0.519467
28	-0.464601	-0.501177	0.500042	0.194732	0.61503
29	-0.479403	-0.479762	0.355141	0.164407	0.320043
30	-0.416963	-0.676631	0.275977	0.0926606	0.233324
31	-0.369062	-0.751166	0.26452	0.144237	0.206987
32	-0.0361998	-0.615152	-0.00962824	0.181669	0.464944
33	0.0577789	-0.587924	-0.106153	0.099539	0.388026
34	0.132448	-0.185824	0.162527	0.236619	0.488639
35	0.319793	-0.181923	-0.142405	0.287942	0.440448
36	0.353471	-0.0979394	0.029468	0.570949	-0.119881
37	0.806379	0.165241	0.122049	0.9372	0.479537
38	-0.315504	-0.805156	-1.10506	0.404406	0.143518
39	0.334804	0.0953321	1.11281	-0.406936	0.3048
40	0.42257	0.394339	-1.34741	0.350673	1.98291
41	0.683901	-0.143976	1.99156	0.044024	0.707915
42	0.687138	0.188905	0.78704	0.165444	0.628527
43	0.462674	0.210782	0.690649	0.511242	0.359208
44	-0.682818	-0.842611	-0.765711	0.11397	-0.0655286
45	-0.25137	-0.0313547	0.397438	-0.22827	-0.17694
46	-0.00546784	-0.0834386	0.937069	0.0685341	-0.25774
47	0.145884	-0.164517	1.46149	0.181446	-0.605698
48	0.25608	0.0702226	1.80607	0.46302	-0.133787
49	-0.534556	-0.223069	0.405432	0.731252	-0.847047
50	-0.222452	-0.744446	0.487028	-0.15311	-0.446312
51	-0.284638	-0.441499	0.239572	0.36285	0.0953308
52	-0.11826	-0.37477	-0.0714285	0.326489	0.753883
53	-0.0995654	-0.252567	-0.152495	0.207393	0.87536
54	-0.347331	-0.202319	-0.428964	0.193637	1.57893
55	-0.38601	-0.0672067	-0.488826	-0.0520292	1.46179
56	-0.179895	-0.347435	-0.410574	-0.103208	2.02573
57	-0.260166	-0.679465	-0.115115	0.0423069	1.61468
58	-0.00177676	-0.20575	-0.392996	0.0487298	1.53399
59	-0.488591	-0.325482	-0.289236	0.16966	1.26706
60	-0.607746	-0.128299	-0.135517	-0.124536	0.748844
61	-0.426596	-0.121532	-0.638273	-0.129804	0.350932
62	-0.238381	-0.225615	-0.471422	-0.44411	-0.226731
63	-0.0562494	-0.0506945	-0.292981	-0.344517	0.232561
64	-0.884284	-0.412597	-0.0707721	-1.19278	-0.429545
65	-0.15074	-0.541051	-0.874219	-0.79873	0.0923425
