VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	2001	7157.95	5994.14	2766.57	8170.21
1	3305.75	9759.36	4915.65	9007.21	8413.76
2	3437.59	3875.92	6981.1	5368.25	3971.81
3	2999.24	2716.39	4837.78	3980.67	3528.2
4	3404.59	3273.1	3679.95	4123.8	7176.23
5	6193.38	6159.24	9219.76	5024.35	5935.16
6	2841.19	4394.99	7008.74	3286.26	6100.99
7	3548.65	2416.83	3348.8	3367.64	4080.43
8	3016.43	4717.4	2582.91	3498.06	3854.34
9	2160.13	3292.75	5635.91	3005.07	3184.16
10	3979.29	2259.63	2627.31	2752.16	3637.3
11	2072.13	5094.06	2969.54	3326.98	6283.62
12	4773.93	4270.44	4515.77	4869.57	4864.34
13	2987.64	2295.15	1977.19	2702.04	2700.02
14	2805.99	3398.72	4371.48	2748.47	3903.01
15	3346.73	2261.23	2229.53	1990.88	3849.94
16	6685.02	3459.63	3879.92	3958.78	3410.23
17	2010.18	3549.01	2216.47	5239.66	3001.34
18	1861.99	6528.05	3397.05	4716.36	2333.93
19	1695.31	2949.13	3888.62	2691.25	2535.75
20	4060.66	1914.67	1763.66	3846.33	3325.2
21	3033.38	3036.26	1825.67	1814.02	2521.63
22	1919.12	2198.51	2113.06	1991.94	2340.73
23	2071.36	1746.94	1753.46	5743.12	1307.41
24	3179.73	2003.59	1075.41	2858.8	3018.37
25	2190.52	2068.9	2669.99	4375.86	2314.28
26	2182.39	1162.83	1655.55	1956.46	2843.93
27	5292.61	1596.59	1306.42	2970.32	2653.78
28	2528.15	1971.73	1669.23	2209.71	1706.86
29	2660.31	1559.92	3120.61	2659.76	3435.48
30	3399.82	2524.1	1402.07	3017.76	1611.72
31	4286.7	2386.31	3186.71	2544.63	2180.8
32	1534.33	1643.53	1629.85	2462.37	1177.74
33	1582.58	1089.27	2778.96	2127.54	1759.4
34	3998.59	2102.4	1630.1	1697.85	2095.7
35	1379.48	2656.82	1835.47	2235.37	1898.68
36	2706.41	1507.95	1145.69	2462.77	2618.69
37	1417.17	1557.68	1700.43	2290.96	1912.93
38	1302.73	1676.81	1217.5	1753.58	1849.21
39	1803.7	978.606	2060.22	2272.33	1527.22
40	2760.9	1004.9	1143.05	2331.22	1256.35
41	1494.34	3014.85	1627.43	2020.77	1833.8
42	1348.2	1132.69	1454.82	3067.99	2000.7
43	1746.44	1344.17	2059.01	1355.09	2387.1
44	2622.39	1673.14	2158.27	2512.67	1518.72
45	1530.58	1114.07	1333.93	1819.08	2546.08
46	1626.65	1182.01	1363.3	2438.36	1932.03
47	1747.64	1628.54	1309.74	1911.49	1772.04
48	2634.43	1839.56	1195.94	1931.44	1573.68
49	1186.18	1692.04	1642.75	1735.33	1765.73
50	1879.23	1173.21	1335.59	2528.28	1668.77
51	1545.72	1581.33	1430.75	2345.37	1644.66
52	2603.45	1656.65	2405.26	1902.22	1519.94
53	1769.05	1444.39	1219.83	2108.47	2261.58
54	1356.11	1546.38	1164.41	1997.81	1354.02
55	1700.05	1283.03	1395.52	2438.64	1817.92
56	2378.03	2564.6	1352.7	1973.55	2094.19
57	1833.34	1341.54	2343.29	3334.76	2263.17
58	1425.44	1184.75	1229.03	3443.94	2845.71
59	3156.01	1005.5	1079.17	2338.1	2195.61
60	2122.77	1916.89	1140.38	1315.44	1694.27
61	1301.79	1160.19	1350.4	2124.42	1514.06
62	1631.28	1359.05	1485.97	2199.26	2228.5
63	1903.41	1673.12	1454.2	2569.06	3248.38
64	2891.18	1532.42	1859.58	2528.04	1376.35
65	2387.61	1116.89	1763.71	1899.09	1560.85
66	3034.77	1580.29	1232.92	2031.64	1522.8
67	2405.65	2101.29	1303.38	1954.56	2527.94
68	2396.7	2419.25	1971.52	2365.52	1615.98
69	1556.94	3176.04	1434.21	2069.14	2478.25
70	4614.64	2968.86	2190.08	2673.9	1890.2
71	1472.15	2107.77	2802.31	3446.47	2403.91
72	1807.14	1866.44	1871.58	3900.75	2075.63
73	2565.83	3821.85	1679.76	1740.59	2442.4
74	2749.54	3028.64	2128.71	2558.19	2072.95
75	5050.05	5509.69	3276.01	3192.41	1467.32
76	6541.09	4430.5	2879.29	4589.26	1655.98
77	1888.99	2348.23	3404.92	2152.72	3604.74
78	5341.38	1240.59	2711.11	2003.94	2012.12
79	2127	1372.89	2134.1	4107.12	4506.71
80	4808.53	2551.53	1909.81	3416.37	4290.48
81	2304.01	2794.48	2248.74	1944.69	3498.98
82	1734.7	2327.86	1518.03	2210.62	1466
