VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	3.68765	4.05013	3.23139	3.91229	3.44183
1	3.61598	3.97248	3.11512	3.5363	3.19886
2	3.80174	3.89604	2.77672	3.92615	3.10602
3	3.68743	4.04332	2.8839	4.34519	3.27155
4	3.74435	3.80863	3.0027	3.84909	3.20928
5	3.63033	3.83288	2.8076	3.65058	3.28089
6	3.86437	3.81527	3.02256	3.80971	3.36172
7	3.75688	3.73768	2.78989	3.58801	3.184
8	3.76187	3.74012	2.99479	3.40559	3.08967
9	3.90834	3.68507	2.85396	4.31517	3.0468
10	3.75606	3.85809	3.05336	3.63431	3.05705
11	4.03297	3.67993	3.59479	3.71327	3.10981
12	3.68354	3.82788	3.39425	3.74366	3.61527
13	3.80645	3.90973	3.27164	3.71855	3.68383
14	3.56737	3.87703	3.09713	3.79425	3.61923
15	3.6704	3.77575	3.33209	4.06253	3.72029
16	3.45441	3.83633	3.14076	4.04257	3.61014
17	3.71918	4.11558	3.67758	3.85935	3.60258
18	3.7629	3.85376	3.47177	3.51957	3.71382
19	3.83218	3.77198	3.66287	3.66121	3.71909
20	3.76469	3.6441	3.48808	3.58676	3.71105
21	3.68725	3.74292	3.40027	4.00243	3.69327
22	3.80456	3.91907	3.66613	3.83329	3.69514
23	3.72237	3.8941	3.73775	3.96184	3.81066
24	3.71741	3.89061	3.49934	3.48827	3.65314
25	3.64905	3.65067	3.40914	3.23878	3.54036
26	3.61709	3.54946	3.39096	3.29183	3.5789
27	3.59376	3.42611	3.28123	3.32588	3.57855
28	3.62745	3.56185	3.58281	3.17769	3.67981
29	3.68202	3.86046	3.36749	3.61774	3.65299
30	3.7517	3.51995	3.32762	3.66947	3.56819
31	4.32186	3.87595	3.24462	3.41137	3.64621
32	4.03155	4.29883	3.42179	3.54879	3.49267
33	3.77117	3.85894	3.40859	3.4753	3.48944
34	3.99273	3.65312	3.53468	3.29042	3.4021
35	3.84254	3.65409	3.358	3.52433	3.52045
36	3.91594	3.65481	3.46375	3.51313	3.29919
37	3.82561	3.90034	3.51725	3.81518	3.65088
38	3.8514	4.05888	3.47676	4.26025	3.31912
39	3.72367	3.72809	4.10462	3.97927	3.95977
40	3.99649	3.65109	4.27617	3.65469	3.60556
41	3.65227	4.05273	4.52974	3.60243	3.22072
42	3.94871	3.95624	3.88252	3.63483	3.23458
