VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	110.779	111.4	111.487	111.626	111.804
1	110.857	111.392	111.494	111.717	111.871
2	110.815	111.422	111.486	111.691	111.868
3	110.838	111.326	111.52	111.734	111.791
4	110.755	111.398	111.465	111.774	111.852
5	110.832	111.361	111.491	111.69	111.785
6	110.809	111.425	111.402	111.721	111.931
7	110.848	111.383	111.475	111.691	111.898
8	110.82	111.395	111.399	111.67	111.964
9	110.726	111.404	111.419	111.707	111.861
10	110.827	111.36	111.441	111.635	111.937
11	110.73	111.423	111.451	111.701	111.9
12	110.964	111.394	111.576	111.745	111.989
13	110.862	111.529	111.545	111.795	111.992
14	110.967	111.495	111.617	111.743	112.058
15	110.863	111.528	111.575	111.827	112.018
16	111.003	111.56	111.648	111.743	112.026
17	110.98	111.479	111.562	111.832	112.028
18	111.011	111.642	111.685	111.776	112.059
19	110.935	111.543	111.637	111.893	112.05
20	110.989	111.574	111.704	111.791	112.078
21	110.888	111.525	111.61	111.852	112.106
22	110.993	111.5	111.637	111.688	112.014
23	111.002	111.598	111.585	111.879	112.038
24	111.018	111.456	111.686	111.754	111.947
25	110.912	111.554	111.566	111.786	112.017
26	110.968	111.461	111.651	111.794	111.999
27	110.902	111.505	111.585	111.71	111.938
28	110.871	111.427	111.518	111.735	111.964
29	110.858	111.38	111.542	111.609	111.911
30	110.785	111.423	111.573	111.691	111.936
31	110.841	111.364	111.528	111.63	111.916
32	110.796	111.431	111.54	111.692	111.919
33	110.841	111.375	111.521	111.624	111.904
34	110.778	111.455	111.444	111.659	111.892
35	110.861	111.38	111.503	111.579	111.939
36	110.783	111.418	111.457	111.703	111.898
37	110.924	111.422	111.5	111.689	111.936
38	110.895	111.508	111.507	111.723	111.95
39	110.969	111.517	111.49	111.713	111.808
40	110.882	111.517	111.879	111.849	112.201
41	110.968	111.587	111.405	111.798	112.11
42	110.913	111.534	111.633	111.824	112.013
43	110.939	111.588	111.592	111.762	112.159
44	110.98	111.601	111.572	111.799	112.072
45	111.013	111.622	111.623	111.858	112.151
46	110.965	111.555	111.599	111.815	112.075
47	110.928	111.584	111.654	111.808	112.064
48	110.931	111.551	111.595	111.765	112.055
49	110.968	111.605	111.72	111.829	112.048
50	111	111.537	111.615	111.814	112.057
51	110.894	111.645	111.613	111.856	112.001
52	110.957	111.55	111.564	111.787	112.012
53	110.872	111.59	111.593	111.831	112.003
54	110.907	111.539	111.537	111.811	112.014
55	110.837	111.454	111.538	111.757	112.065
56	110.777	111.517	111.473	111.705	111.936
57	110.82	111.406	111.482	111.689	112.017
58	110.778	111.466	111.497	111.641	111.92
59	110.849	111.442	111.442	111.59	111.912
60	110.802	111.495	111.504	111.676	111.903
61	110.816	111.415	111.439	111.611	111.912
62	110.781	111.458	111.504	111.661	111.884
63	110.874	111.468	111.545	111.574	111.921
64	110.877	111.608	111.622	111.728	111.941
65	110.924	111.609	111.67	111.67	111.972
66	110.889	111.541	111.717	111.74	112.027
67	110.871	111.59	111.706	111.662	111.981
68	110.912	111.537	111.67	111.515	111.996
69	110.864	111.566	111.637	111.613	111.967
70	110.971	111.554	111.727	111.777	112.103
71	110.9	111.651	111.735	111.672	112
72	110.903	111.616	111.699	111.688	112.041
73	110.837	111.66	111.694	111.618	111.899
74	110.907	111.527	111.607	111.649	111.917
75	110.922	111.55	111.678	111.678	112.02
76	110.989	111.567	111.585	111.761	112.008
77	110.932	111.46	111.63	111.702	111.928
78	110.904	111.529	111.566	111.743	111.969
79	110.913	111.511	111.603	111.657	111.834
80	110.887	111.52	111.574	111.708	111.935
81	110.878	111.409	111.543	111.615	111.814
82	110.781	111.398	111.527	111.63	111.838
83	110.85	111.41	111.49	111.612	111.848
84	110.772	111.418	111.476	111.581	111.82
85	110.877	111.442	111.449	111.563	111.797
86	110.813	111.368	111.62	111.611	111.811
87	110.847	111.388	111.506	111.521	111.809
88	110.801	111.328	111.547	111.61	111.745
89	110.895	111.39	111.499	111.554	111.842
90	110.927	111.377	111.541	111.729	111.791
91	110.996	111.493	111.575	111.702	111.939
92	111.002	111.48	111.537	111.717	111.849
93	110.962	111.512	111.619	111.723	111.949
94	111.021	111.4	111.559	111.748	111.904
95	110.995	111.423	111.585	111.453	111.878
96	111.036	111.493	111.623	111.798	111.902
97	110.961	111.501	111.631	111.759	111.88
98	111.027	111.429	111.608	111.679	111.901
99	110.907	111.455	111.549	111.737	111.89
100	110.984	111.412	111.421	111.801	111.91
101	110.962	111.43	111.651	111.668	111.913
102	111.072	111.489	111.673	111.713	111.891
103	110.997	111.403	111.618	111.678	111.903
104	110.995	111.435	111.539	111.739	111.871
105	110.961	111.344	111.567	111.667	111.756
106	110.957	111.389	111.564	111.692	111.907
107	110.9	111.318	111.523	111.583	111.739
108	110.863	111.354	111.479	111.62	111.827
109	110.852	111.326	111.485	111.691	111.771
110	110.804	111.273	111.437	111.573	111.841
111	110.863	111.339	111.483	111.634	111.83
112	110.803	111.281	111.472	111.609	111.835
113	110.884	111.336	111.403	111.66	111.776
114	110.833	111.287	111.468	111.702	111.822
115	110.921	111.339	111.441	111.63	111.745
116	110.91	111.329	111.492	111.666	111.869
117	111.015	111.427	111.525	111.671	111.782
118	110.897	111.383	111.555	111.725	111.935
119	110.899	111.418	111.528	111.773	111.865
120	110.971	111.422	111.631	111.758	111.911
121	110.928	111.374	111.655	111.765	111.852
122	111.035	111.423	111.563	111.763	111.955
123	111.024	111.483	111.671	111.855	111.927
124	111.03	111.392	111.556	111.74	111.944
125	111.053	111.521	111.566	111.773	111.903
126	110.992	111.444	111.548	111.73	111.948
127	110.94	111.431	111.551	111.749	111.925
128	111.075	111.505	111.566	111.793	111.901
129	110.964	111.382	111.496	111.746	111.869
130	110.951	111.421	111.55	111.774	111.837
131	110.963	111.406	111.444	111.686	111.869
132	110.942	111.402	111.503	111.733	111.751
133	110.912	111.359	111.449	111.625	111.801
134	110.948	111.31	111.396	111.624	111.781
135	110.925	111.395	111.418	111.585	111.774
136	110.959	111.325	111.4	111.606	111.785
137	110.896	111.397	111.426	111.568	111.87
138	110.941	111.327	111.367	111.558	111.757
139	110.877	111.392	111.432	111.593	111.821
140	110.928	111.367	111.362	111.53	111.825
141	110.911	111.393	111.422	111.655	111.807
142	110.988	111.455	111.443	111.553	111.805
143	110.974	111.581	111.547	111.67	111.884
144	110.977	111.582	111.492	111.694	111.86
145	110.971	111.497	111.589	111.617	111.889
146	111.053	111.514	111.635	111.713	111.816
147	110.988	111.321	111.634	111.552	111.952
148	111.056	111.523	111.58	111.627	111.91
149	111.204	111.373	111.621	111.628	111.981
