# Overall Threshold 1: [ -8.06913918870712 8.06907247394348 ]
# Overall Threshold 2: [ -16.1382450200324 16.1381783052688 ]
VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	-0.144169	-2.17813	-1.98503	-1.43868	-1.72415
1	-2.04318	-0.724892	-1.20612	0.0382161	-0.682969
2	0.0765206	-0.145314	0.151916	-1.24186	0.202699
3	-0.114238	-0.24872	-0.62133	-0.659489	-0.126158
4	0.457586	0.48677	1.31224	0.917693	0.711778
5	0.486536	0.707261	0.412201	0.995834	0.736729
6	-1.20663	0.123364	0.28729	0.434949	-0.53438
7	0.437192	0.138103	0.259821	-0.958656	0.397772
8	0.286028	0.268931	0.226738	0.541779	0.708282
9	1.32126	0.435693	0.594423	0.655038	1.29758
10	-2.5655	0.30959	1.00765	1.98197	0.47644
11	2.85471	-3.99656	-4.62933	-2.71281	-3.33802
12	-0.101395	5.42107	2.78494	-0.34382	1.67827
13	2.58088	3.23004	2.41763	2.89509	0.0328682
14	0.136984	1.70708	0.170244	2.75762	-0.0972643
15	1.13131	-0.303717	0.661487	-3.20386	0.178241
16	-0.6164	1.27363	0.796086	1.09156	0.14242
17	-0.87101	-4.95863	-3.29023	-1.80645	-2.11332
18	0.776724	0.357617	2.77275	3.86935	3.40182
19	0.641062	-0.918549	0.169737	0.0654668	-0.0505458
20	-0.901332	0.0732322	-0.287484	-1.66755	0.548292
21	-1.07072	-1.13021	0.0344284	-1.84919	-1.22506
22	-3.71769	-2.58823	-5.38695	-2.37559	-0.991359
23	0.918945	0.633776	2.76069	-1.77688	0.482902
24	0.568024	1.78393	0.817727	1.96048	-0.338439
25	-1.06878	0.325345	-0.45667	0.988997	-0.250724
26	0.608945	-1.21449	0.493327	0.293415	0.10104
27	-1.63439	0.729641	-0.246545	0.327063	0.162154
28	0.731458	-0.871788	0.608147	0.0857718	-0.67774
29	-0.450649	0.08408	-1.20861	-0.531644	-0.720274
30	1.21901	-0.548481	0.915156	0.0615661	0.91065
31	0.343995	0.554391	-2.12736	0.0856338	-0.0469801
32	1.12111	0.0128503	0.76665	-0.17151	0.415104
33	-0.0886412	1.0342	0.188682	0.424482	0.285402
34	1.17295	1.04104	-0.0912118	0.610341	-0.115495
35	-0.324557	-0.791417	0.0893956	1.04736	-1.49977
36	0.653902	1.26544	0.687712	1.26582	1.83548
37	-3.5912	-3.94133	-4.44432	-3.44588	-1.07184
38	3.13624	4.54136	5.03857	-1.76984	0.66284
39	0.344133	-0.0887621	-10.2688	2.69035	6.1142
40	1.00589	-0.701106	14.8091	-0.365075	-4.44909
41	0.53584	0.222658	-2.99042	-0.502055	-0.433125
42	-1.95323	-0.331122	-1.9066	1.20812	-0.443933
43	-3.09213	-3.087	-4.52274	-1.72231	-2.20892
44	1.08645	2.78962	4.6364	0.644794	0.52889
45	1.81759	0.237554	2.53613	-0.00176547	-0.670325
46	-0.307193	-0.658978	1.9445	1.24603	-1.34115
47	0.0332466	1.03689	0.331192	0.367026	0.747422
48	-2.90309	-1.60193	-4.18334	0.644438	-2.64876
49	2.68968	-1.09507	-0.0384084	-3.18005	1.34642
50	-0.751845	0.990723	-0.247531	2.09759	2.27795
51	0.912749	1.13027	-1.14273	0.735869	1.48432
52	0.402382	-0.126082	-0.245531	-0.942716	1.75465
53	-1.35201	0.833124	-0.104333	1.41529	1.33913
54	0.458211	-0.310588	-1.07809	-1.98423	0.593247
55	-0.194291	-0.255108	0.911725	0.834238	0.963043
56	0.45154	-1.89419	0.10462	-0.791492	-0.987257
57	0.0330151	1.38601	-0.20154	1.25583	-1.28871
58	-1.16385	-0.621672	0.522882	-0.299463	-0.342923
59	-0.879064	0.372734	0.363015	-0.0282022	-2.65636
60	0.579134	0.294854	-1.76793	-1.03707	-1.22964
61	0.940531	-1.21525	0.52814	-0.272173	-1.93328
62	0.286936	0.346053	2.04131	-1.18361	-0.296189
63	-2.40864	-2.47822	-0.744444	-1.30138	-0.542688
64	1.72808	0.854497	-1.15518	1.27588	2.1678
