VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	157.559	281.959	249.123	182.028	285.096
1	256.183	506.376	289.345	399.888	378.722
2	216.807	280.692	430.456	338.455	293.112
3	257.628	244.471	271.462	306.609	268.089
4	261.383	284.267	253.736	262.605	344.75
5	369.549	349.78	324.87	328.093	310.2
6	237.241	255.175	283.365	264.07	313.835
7	212.511	196.936	207.801	204.943	220.664
8	165.026	219.702	194.064	211.706	220.558
9	199.321	167.09	236.337	197.459	212.509
10	207.187	165.722	217.457	182.126	215.446
11	171.745	213.405	178.068	204.774	270.198
12	240.285	212.583	219.304	269.984	199.202
13	186.247	168.689	166.691	183.356	191.054
14	162.192	178.853	194.79	178.904	181.493
15	183.633	157.773	177.528	173.511	190.671
16	204.734	179.629	174.575	202.255	167.74
17	154.279	183.688	162.906	179.895	153.26
18	133.794	227.279	177.52	188.138	149.072
19	134.935	147.22	190.103	180.628	143.01
20	174.489	147.822	163.333	186.44	161.45
21	159.743	143.476	151.578	157.436	149.394
22	132.247	145.758	152.244	159.208	138.365
23	146.775	162.829	152.559	179.008	125.415
24	182.491	180.348	149.948	171.194	148.569
25	163.537	179.44	151.476	211.798	147.961
26	138.317	142.288	137.826	155.714	145.239
27	163.259	132.923	134.655	154.04	146.962
28	152.946	141.952	139.915	144.381	142.635
29	145.424	131.037	146.031	172.386	148.234
30	161.334	152.281	130.289	152.177	155.137
31	199.107	187.428	198.284	244.25	187.843
32	131.286	132.325	131.232	155.884	129.562
33	144.721	122.415	127.382	139.162	128.882
34	135.735	125.048	132.214	135.231	121.421
35	130.514	143.683	120.747	146.242	128.986
36	128.095	122.369	121.159	148.467	129.934
37	134.022	139.893	137.76	151.876	135.382
38	127.628	126.712	135.837	124.745	121.586
39	127.637	117.072	134.732	128.789	139.996
40	125.54	122.248	134.452	133.644	125.825
41	122.98	130.169	123.625	148.473	118.319
42	123.778	124.274	119.716	157.822	135.78
43	139.033	135.575	125.955	143.087	128.539
44	128.997	131.956	135.226	173.983	127.942
45	122.904	121.326	120.065	142.25	127.489
46	124.658	121.715	121.151	137.313	129.519
47	118.706	125.664	123.011	144.822	124.337
48	131.738	133.773	123.592	159.36	116.67
49	125.969	143.592	118.551	143.91	126.481
50	143.651	129.414	125.954	131.643	136.238
51	123.172	123.089	132.526	145.141	126.758
52	118.583	124.301	132.226	161.284	119.469
53	126.072	130.453	120.61	130.42	122.666
54	132.78	125.162	118.239	135.109	125.459
55	129.29	128.485	124.901	140.419	133.747
56	140.575	138.666	135.182	185.138	145.281
57	144.232	157.004	126.663	204.229	140.129
58	135.165	139.154	126.067	151.09	129.686
59	130.362	121.427	123.301	151.548	128.741
60	139.552	127.236	123.278	140.634	124.548
61	139.798	121.158	122.866	143.144	129.453
62	125.491	126.375	132.525	156.909	131.258
63	137.177	165.943	138.261	194.317	135.35
64	130.418	132.263	126.318	138.663	122.488
65	128.54	120.728	126.24	138.38	140.942
66	128.312	125.25	128.732	139.462	121.551
67	133.3	135.624	123.078	145.15	141.522
68	124.517	141.559	125.721	165.565	137.486
69	142.381	182.258	135.447	177.237	148.613
70	170.488	168.035	166.251	204.42	140.261
71	130.096	136.795	179.103	195.486	140.065
72	130.551	138.703	135.927	146.512	120.56
73	145.54	202.147	130.058	162.384	157.097
74	150.167	248.266	174.118	183.311	160.647
75	226.968	338.64	239.347	200.909	166.771
76	325.452	193.941	198.982	271.247	181.887
77	168.532	147.412	307.242	187.534	246.12
78	231.545	145.258	149.496	171.326	206.397
79	177.013	152.257	177.494	196.982	260.438
80	170.873	153.175	146.648	215.13	209.98
81	155.559	185.343	151.218	175.238	192.998
82	129.737	156.99	118.939	175.974	124.07
