VOLNUM	fmriSeriesEncode_1Run1_2.bxh	fmriSeriesEncode_1Run2_4.bxh	fmriSeriesEncode_1Run3_6.bxh	fmriSeriesEncode_1Run4_8.bxh	fmriSeriesEncode_1Run5_10.bxh
0	3.16033	3.61958	4.5243	4.62972	3.39297
1	3.62019	3.28559	3.6734	3.55205	3.1188
2	3.62785	3.77324	4.10197	2.85725	3.91594
3	3.36505	3.85088	4.60675	3.09361	3.41157
4	3.47991	3.75127	4.33726	3.38473	3.63959
5	3.23181	3.70855	4.93055	3.22502	3.40659
6	3.5583	3.46397	3.63305	3.72347	3.62662
7	3.4736	3.63853	3.81422	3.30153	3.27253
8	3.52061	3.2426	4.5998	3.04582	3.80187
9	3.19637	3.46471	3.96435	3.07586	3.59983
10	3.59618	3.41965	3.64857	4.02117	3.91345
11	2.92531	3.21438	3.2708	4.10295	3.5839
12	3.56078	3.03297	3.19471	5.06583	3.64237
13	2.84776	3.27318	3.24089	4.19212	3.45395
14	2.78424	3.64019	3.25347	3.45079	3.47685
15	3.32255	3.57199	3.38366	3.43415	3.42732
16	3.36773	3.27003	3.14749	3.42219	3.76163
17	3.36325	3.34812	3.24868	3.51545	3.46178
18	2.98917	3.43035	3.40068	3.94847	3.47661
19	3.01968	3.44176	3.49911	3.40625	3.10632
20	3.05969	2.90621	3.74913	3.47038	3.63395
21	2.93935	3.56837	3.34075	3.76545	3.23377
22	2.56065	3.40935	3.34771	3.33325	3.2875
23	3.20148	3.63806	2.9106	3.6117	3.37144
24	2.68222	3.27783	3.18043	3.54025	3.50027
25	2.81903	3.53181	2.95159	3.20998	3.26181
26	2.34902	3.67529	3.11484	3.04093	3.07178
27	3.46381	3.28012	2.37181	3.79537	3.30503
28	2.60733	3.02196	2.89071	2.95594	3.52506
29	2.98171	2.73748	2.76726	3.80076	2.66499
30	2.92643	3.44002	3.12191	3.24725	3.588
31	3.11648	3.4367	2.89161	3.63178	3.54391
32	2.73373	3.5893	2.93744	3.31734	3.65019
33	2.69061	3.33485	3.23665	3.91346	2.99794
34	2.91752	3.36837	3.16699	3.73967	3.06268
35	3.07	3.33866	3.11664	3.93028	2.67358
36	3.06687	3.39118	2.7863	3.64577	3.32104
37	2.88152	3.17825	3.12908	3.84869	3.35747
38	2.67976	2.68816	3.24431	3.55915	3.02472
39	3.08099	3.07021	3.57836	3.71456	3.4758
40	2.25473	2.76978	3.07958	3.51948	3.62994
41	2.65828	3.29991	3.10887	3.81644	3.9103
42	2.89017	3.49239	2.92285	3.53025	3.32889
43	2.73899	3.17137	3.54772	3.7013	3.15712
44	3.12149	3.18746	3.65709	3.30849	3.27913
45	2.90144	2.75378	3.24845	3.21055	3.21612
46	2.96269	3.21368	3.34612	3.37858	3.2756
47	3.33622	2.93629	3.1504	3.55007	3.1166
48	3.4931	3.33777	3.24579	3.34897	3.09787
49	3.45158	3.27097	3.55933	3.36688	3.5931
50	3.24865	3.74112	3.24737	3.05151	3.06302
51	2.80093	3.54784	3.13079	3.32579	3.00583
52	3.27698	3.23873	2.89633	3.35063	3.02228
53	3.32996	3.14871	3.03095	3.15447	3.29316
54	3.10599	2.68385	3.57699	3.09846	2.977
55	3.14325	3.12824	3.19315	2.84127	3.54343
56	3.17149	3.32915	3.04764	3.39092	3.35251
57	3.60284	2.94876	3.03721	3.36497	3.54803
58	3.53496	3.12927	3.31623	3.13577	3.24004
59	3.45928	3.06543	3.68157	3.05529	3.58558
60	3.4294	3.10492	3.46007	2.87273	3.48509
61	2.68852	3.37159	3.75112	3.30174	3.45323
62	3.57563	3.3295	3.47103	3.04465	3.58784
63	3.22829	2.93638	3.55968	3.17455	3.32676
64	2.95239	1.9432	2.82251	3.12025	3.51489
65	3.56365	2.62971	3.44441	3.13645	3.17499
66	3.54691	3.1036	3.21819	2.8991	2.79143
67	3.674	3.01738	3.0902	3.15961	2.402
68	3.22482	3.53185	2.96909	3.00354	3.61081
69	3.00633	3.40988	2.62718	3.49417	3.52587
70	3.21999	3.39847	3.4045	3.36917	3.62887
71	3.29674	3.20551	3.2815	3.33	3.0215
72	3.28584	2.79802	3.3588	4.02398	3.15709
73	2.9637	2.974	3.25681	3.20702	3.2488
74	3.33541	3.23991	2.97355	2.91081	3.11404
75	3.68729	3.01634	3.29757	2.67291	2.46405
76	2.49087	3.38011	3.44953	2.85706	3.17459
77	3.14132	2.86423	2.89732	3.36519	3.3023
78	3.20311	3.15548	3.61385	3.00247	3.29212
79	3.13817	3.09013	3.07393	3.19862	3.0985
80	2.99663	2.95684	3.23257	2.78863	3.20068
81	2.95325	3.24484	3.28626	3.21196	3.22561
82	3.59215	2.8963	3.36114	3.36589	3.31532
83	3.80229	2.94246	3.57863	3.50366	3.18839
84	3.79467	2.6308	3.14389	3.17714	3.34105
85	3.38602	3.34911	3.53297	3.60776	3.24194
86	2.72594	3.17277	2.98414	3.54138	3.37167
87	3.22808	3.15256	3.0387	3.47659	3.11294
88	2.96891	3.14814	3.27104	3.30131	3.2169
89	3.29086	2.97572	3.10456	3.10409	3.19798
90	3.42074	3.21742	2.88133	3.62299	2.94161
91	3.30536	3.28679	2.78617	2.98316	3.44039
92	2.69387	3.46738	3.53517	3.18324	3.31556
93	2.82759	3.57619	3.38194	3.15948	3.4862
94	2.69073	3.06169	3.46416	3.11674	3.19344
95	3.30788	3.50488	3.12889	3.53311	2.83315
96	2.99602	3.79551	3.00502	3.30894	3.26724
97	3.45513	3.4933	3.02151	3.6235	3.47768
98	3.20546	2.94246	3.14405	3.43998	2.48454
99	3.48314	3.33813	3.04222	3.18984	3.23895
100	3.3589	2.94896	3.45923	3.58915	3.42833
101	3.10536	3.18292	3.25617	3.01817	3.49441
102	2.94739	3.54047	3.20314	3.04834	3.42419
103	2.959	3.50699	3.36002	3.19864	3.52033
104	2.74421	3.37957	3.42551	3.16545	3.56074
105	2.81708	2.66277	3.53403	3.53697	3.56494
106	2.74534	2.77495	3.35419	3.42076	3.15163
107	3.38229	2.99852	3.15346	3.42496	3.59685
108	3.68791	3.40112	3.45805	3.14991	3.49018
109	2.85758	3.42913	3.42836	3.25062	3.69781
110	3.39149	3.60718	3.64814	3.37095	2.96693
111	3.09774	3.56597	3.36115	3.5761	3.57809
112	2.68875	3.45443	3.22697	3.68182	3.2803
113	3.28072	3.20628	3.30962	3.11579	3.10767
114	3.5081	3.17157	3.47546	3.37113	3.19142
115	3.33678	3.31205	3.71634	3.31735	2.69991
116	2.76846	3.59619	2.99404	3.19037	2.85914
117	3.07012	3.63697	3.18095	3.25773	3.12285
118	3.1663	3.29908	3.29779	2.89494	3.37903
119	3.00721	3.02986	3.22695	3.32464	3.34899
120	3.17624	3.16295	3.15128	2.7947	3.33429
121	3.07337	3.17463	3.26736	3.01493	3.31392
122	3.14682	3.46576	3.20756	3.51532	3.70027
123	2.85677	3.40525	3.04914	3.23534	4.14023
124	3.13531	3.38162	2.69187	3.37054	3.00542
125	3.11185	3.42655	3.15399	3.2838	3.40581
126	3.04442	3.31887	2.87946	3.45727	3.16695
127	2.83448	3.30799	3.25536	3.4485	3.12415
128	2.62721	2.86488	3.08698	3.24195	3.52174
129	2.80897	3.81533	3.03021	3.29763	3.40157
130	2.59624	3.20246	3.40703	2.9955	3.5756
131	2.84852	3.24143	3.55224	3.10036	3.13998
132	2.54816	3.42828	3.23424	2.74641	3.35736
133	2.93289	3.4293	3.39812	3.54176	3.44762
134	2.71365	3.82529	3.49068	3.31624	3.53662
135	2.96942	3.39629	3.31889	3.40134	3.60358
136	3.05659	3.4896	3.3871	3.26593	3.46171
137	3.10345	3.42035	2.82757	3.32922	3.38775
138	3.10211	3.48405	3.40005	3.52716	3.81989
139	3.22305	3.22968	2.97411	3.18475	3.1995
140	2.87535	3.27806	3.25459	3.35339	3.4764
141	3.47139	3.64449	3.33008	3.26688	2.92034
142	3.14975	3.6243	3.50344	2.85326	3.30281
143	2.75954	3.52102	3.27599	3.00152	2.88106
144	3.2459	3.45551	3.40023	3.16327	3.47122
145	3.26226	3.44805	3.22914	3.64999	3.22418
146	3.18884	3.29827	3.39281	3.43297	3.46798
147	3.30706	3.36387	3.51152	3.2016	3.18413
148	2.88842	2.68547	3.26223	3.06206	3.24164
149	3.49808	3.47937	3.48105	3.13955	3.461
150	3.32974	3.50315	3.40217	3.47431	3.33961
151	3.28935	4.01567	3.44794	3.72281	3.34427
152	3.28505	3.64641	3.82266	3.44825	3.33216
153	3.34314	3.37735	3.39058	3.64377	3.63089
154	3.01921	3.137	3.1383	3.3514	3.60043
155	3.51042	3.58467	2.80567	3.44723	3.68044
156	3.25677	3.33274	3.16204	3.58196	3.30783
157	3.81945	3.48139	3.2324	3.59238	3.27125
158	3.19486	3.30997	3.17631	3.1359	3.41493
159	3.12359	3.83574	3.5684	3.39064	3.33664
160	3.3937	3.42704	3.48228	3.73367	3.16806
161	3.37556	3.74775	3.21262	4.0972	3.60823
162	3.67738	3.57181	2.71954	4.21762	3.64325
163	3.52256	3.79096	3.1689	3.65449	3.08262
164	3.28421	3.71752	3.45631	3.56011	3.11711
165	3.85664	3.41523	3.55307	3.14054	3.29698
