VOLNUM	fmriSeriesEncode#1Run1_2.bxh	fmriSeriesEncode#1Run2_4.bxh	fmriSeriesEncode#1Run3_6.bxh	fmriSeriesEncode#1Run4_8.bxh	fmriSeriesEncode#1Run5_10.bxh
0	112.651	112.917	113.083	113.093	113.446
1	112.596	112.868	113.238	113.279	113.639
2	112.576	112.936	113.044	113.251	113.548
3	112.61	112.86	113.134	113.308	113.623
4	112.567	112.906	113.049	113.293	113.535
5	112.591	112.825	113.126	113.313	113.621
6	112.505	112.922	113.151	113.321	113.548
7	112.614	112.847	113.256	113.255	113.562
8	112.554	112.915	113.051	113.29	113.516
9	112.62	112.903	113.134	113.288	113.559
10	112.537	112.873	113.092	113.217	113.464
11	112.594	112.911	113.234	113.221	113.513
12	112.592	112.905	113.241	113.196	113.51
13	112.628	112.985	113.325	113.203	113.555
14	112.654	113.003	113.328	113.294	113.538
15	112.634	113.009	113.352	113.258	113.549
16	112.658	112.964	113.305	113.418	113.519
17	112.69	112.973	113.338	113.357	113.544
18	112.697	113.011	113.285	113.411	113.538
19	112.729	113.02	113.377	113.339	113.547
20	112.696	112.966	113.248	113.353	113.509
21	112.683	112.966	113.329	113.367	113.596
22	112.715	112.926	113.265	113.313	113.608
23	112.711	113.001	113.303	113.433	113.619
24	112.704	113.018	113.235	113.457	113.551
25	112.691	113.003	113.321	113.286	113.605
26	112.643	112.99	113.235	113.381	113.614
27	112.604	112.991	113.344	113.355	113.636
28	112.627	112.927	113.236	113.387	113.549
29	112.593	112.934	113.321	113.289	113.662
30	112.601	112.875	113.259	113.372	113.549
31	112.62	112.912	113.255	113.195	113.612
32	112.61	112.83	113.26	113.309	113.512
33	112.635	112.854	113.237	113.177	113.616
34	112.624	112.801	113.31	113.234	113.537
35	112.604	112.875	113.251	113.212	113.627
36	112.557	112.835	113.301	113.245	113.541
37	112.674	112.876	113.235	113.171	113.673
38	112.669	112.918	113.352	113.263	113.629
39	112.641	112.913	113.313	113.247	113.724
40	112.674	112.938	113.308	113.275	113.706
41	112.654	112.941	113.287	113.217	113.682
42	112.637	112.923	113.352	113.285	113.713
43	112.719	112.939	113.293	113.276	113.75
44	112.7	112.964	113.4	113.349	113.686
45	112.7	112.899	113.387	113.247	113.699
46	112.658	112.994	113.38	113.264	113.612
