VOLNUM	fmriSeriesEncode#1Run1_2.bxh	fmriSeriesEncode#1Run2_4.bxh	fmriSeriesEncode#1Run3_6.bxh	fmriSeriesEncode#1Run4_8.bxh	fmriSeriesEncode#1Run5_10.bxh
0	52.8151	52.8487	52.4457	52.5055	52.6459
1	52.7806	52.7499	52.5669	52.5063	52.5453
2	52.8224	52.7695	52.4392	52.5264	52.5864
3	52.7614	52.733	52.5266	52.5026	52.6308
4	52.8573	52.7014	52.4607	52.5557	52.5812
5	52.7828	52.7633	52.3743	52.4629	52.5578
6	52.859	52.6886	52.4635	52.5113	52.5303
7	52.8274	52.7936	52.4045	52.5266	52.5864
8	52.9185	52.7017	52.4798	52.4227	52.5182
9	52.7859	52.7857	52.3555	52.4961	52.5932
10	52.9097	52.7198	52.4225	52.4993	52.496
11	52.9431	52.7864	52.5022	52.2484	52.5961
12	52.9159	52.8545	52.6327	52.3831	52.497
13	53.0878	52.8066	52.4985	52.2438	52.5815
14	52.9555	52.8018	52.5581	52.2058	52.4723
15	52.9607	52.7818	52.5011	52.3095	52.5271
16	52.9441	52.7657	52.5248	52.4274	52.5096
17	52.9001	53.024	52.5507	52.4959	52.5223
18	52.9856	52.802	52.5312	52.5028	52.5049
19	53.1395	52.8713	52.4863	52.3999	52.4851
20	52.9373	52.8457	52.5115	52.5612	52.4492
21	53.0034	52.8493	52.4597	52.4444	52.4302
22	53.0115	52.8494	52.5251	52.6718	52.4887
23	53.1495	53.0796	52.5263	52.4506	52.5098
24	52.9283	52.8486	52.4921	52.4611	52.4256
25	53.0016	52.9155	52.456	52.5353	52.319
26	52.9704	52.8174	52.5266	52.4641	52.4633
27	52.9986	52.8389	52.4549	52.5294	52.4087
28	52.9295	52.8109	52.501	52.3882	52.4859
29	53.0248	52.8599	52.4909	52.5258	52.4337
30	52.9891	52.7823	52.4821	52.3865	52.3855
31	53.0259	52.8758	52.4355	52.5236	52.4738
32	52.9859	52.8202	52.4296	52.4067	52.4071
33	53.0062	52.8139	52.3983	52.4354	52.3372
34	52.937	52.8577	52.4316	52.4805	52.4513
35	52.9984	52.8287	52.3524	52.3956	52.3822
36	52.9516	52.8259	52.4535	52.498	52.4588
37	53.0393	52.8897	52.391	52.439	52.5559
38	52.9844	52.8855	52.5615	52.531	52.6099
39	53.0197	52.8242	52.4798	52.4609	52.6109
40	52.9934	52.8603	52.4562	52.4655	52.5899
41	52.9222	52.8024	52.4495	52.4599	52.5209
42	53.041	52.8773	52.4501	52.3869	52.6578
43	52.9769	52.876	52.5336	52.4873	52.5573
44	52.9679	52.8563	52.6124	52.5784	52.6296
45	52.9322	52.8754	52.4496	52.4984	52.4861
46	52.8951	52.8248	52.5386	52.47	52.6058
47	52.9112	52.8258	52.3951	52.4505	52.4712
