VOLNUM	fmriSeriesEncode_1Run1_2.bxh	fmriSeriesEncode_1Run2_4.bxh	fmriSeriesEncode_1Run3_6.bxh	fmriSeriesEncode_1Run4_8.bxh	fmriSeriesEncode_1Run5_10.bxh
0	115.104	104.696	93.3069	114.977	97.6392
1	170.784	129.686	180.623	263.848	246.499
2	158.188	198.011	145.896	227.206	186.005
3	158.466	209.563	147.736	185.636	313.687
4	167.982	181.348	229.517	341.022	405.564
5	197.575	234.441	230.869	178.391	252.492
6	141.165	149.302	176.498	198.435	192.869
7	131.768	113.478	142.181	171.798	136.469
8	129.691	114.91	140.363	165.613	131.606
9	113.695	120.846	123.038	144.782	160.162
10	118.621	110.735	114.755	150.415	148.346
11	122.79	109.921	105.975	184.23	145.876
12	121.722	145.062	150.712	132.238	133.221
13	111.244	122.773	131.243	125.2	115.731
14	115.995	109.192	108.965	125.902	138.368
15	116.29	113.347	105.382	110.366	139.983
16	113.945	113.84	122.646	146.198	142.288
17	101.727	113.76	119.273	127.461	113.896
18	121.299	119.003	123.35	126.225	122.033
19	121.05	118.55	121.16	120.578	120.644
20	120.272	137.749	126.766	124.806	116.041
21	112.354	127.886	128.899	134.355	141.164
22	127.469	108.729	118.782	129.057	126.224
23	108.272	106.343	115.095	116.794	136.152
24	113.589	140.129	129.743	124.715	131.943
25	125.877	130.781	113.499	144.23	132.008
26	109.33	129.465	125.477	113.272	129.036
27	107.852	141.381	114.806	126.693	116.538
28	112.262	105.687	124.972	119.734	116.804
29	108.907	104.352	115.384	143.407	117.495
30	130.079	107.454	119.716	123.24	119.721
31	166.644	164.446	137.175	141.756	133.575
32	113.418	103.616	104.557	107.731	120.96
33	109.988	102.767	117.53	116.877	106.301
34	106.847	107.304	121.88	119.565	116.918
35	101.75	100.446	110.816	108.07	121.65
36	121.027	101.809	105.435	120.472	115.549
37	127.633	111.248	103.812	129.532	121.802
38	120.007	104.913	117.211	125.642	109.712
39	121.143	110.301	107.995	117.837	113.118
40	111.535	109.792	104.521	114.409	113.293
41	116.1	108.864	103.571	108.563	113.646
42	113.448	100.851	107.008	106.056	129.462
43	112.451	100.569	104.042	125.494	110.704
44	103.057	104.881	103.553	108.346	136.036
45	128.673	105.775	106.548	114.767	131.012
46	101.248	106.043	109.558	112.599	123.568
47	125.269	101.827	107.769	114.986	125.81
48	112.381	100.998	109.019	103.928	115.784
49	106.896	111.329	99.8573	111.278	128.006
50	117.569	104.723	107.485	114.286	121.014
51	112.705	107.144	111.737	105.645	115.937
52	111.57	111.199	116.624	111.882	127.615
53	112.429	100.639	110.274	113.6	106.885
54	123.114	108.765	113.168	132.256	137.991
55	109.541	100.398	120.382	138.776	152.344
56	129.216	115.497	103.897	136.139	137.926
57	115.661	113.66	122.966	145.522	116.017
58	124.537	112.125	114.51	131.364	128.311
59	150.152	151.294	128.845	126.7	116.472
60	109.232	169.948	116.303	170.318	150.926
61	132.42	109.074	131.077	129.633	148.991
62	165.88	125.181	136.123	150.414	123.956
63	128.436	116.247	136.519	131.103	118.722
64	140.111	108.99	123.976	170.753	116.617
65	149.951	200.111	142.367	197.45	176.861
66	164.626	142.85	161.502	153.545	204.18
67	129.868	155.599	225.956	167.079	166.121
68	137.846	156.591	165.901	182.067	178.948
69	120.336	134.512	135.852	211.377	186.153
70	148.254	153.665	181.949	229.466	149.184
71	125.726	235.225	162.383	140.231	291.13
72	117.85	182.07	167.264	129.099	180.538
73	126.645	237.956	185.382	242.334	141.677
74	187.115	249.547	194.046	186.565	143.662
75	170.982	143.992	258.284	129.604	167.57
76	173.938	144.69	183.053	215.358	269.925
77	162.688	165.41	162.605	177.953	174.611
78	168.65	138.041	166.6	156.83	153.09
79	266.972	181.285	141.745	197.467	204.948
80	171.953	271.994	232.421	228.685	157.345
81	249.905	142.501	205.106	213.032	251.613
82	165.864	150.744	231.915	106.112	123.972
