VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	109.935	109.98	109.751	109.796	109.878
1	109.937	109.973	109.731	109.788	109.885
2	109.93	109.98	109.745	109.791	109.866
3	109.931	109.963	109.752	109.791	109.87
4	109.931	109.98	109.761	109.786	109.872
5	109.944	109.972	109.749	109.791	109.862
6	109.929	109.976	109.722	109.77	109.869
7	109.933	109.974	109.747	109.793	109.86
8	109.949	109.963	109.751	109.791	109.881
9	109.939	109.984	109.743	109.781	109.858
10	109.94	109.969	109.745	109.78	109.857
11	109.935	109.965	109.747	109.787	109.857
12	109.913	109.975	109.717	109.784	109.863
13	109.921	109.96	109.737	109.773	109.857
14	109.921	109.985	109.747	109.789	109.862
15	109.912	109.971	109.732	109.791	109.857
16	109.923	109.979	109.745	109.808	109.847
17	109.924	109.961	109.75	109.788	109.857
18	109.934	109.982	109.741	109.772	109.858
19	109.928	109.973	109.738	109.794	109.857
20	109.914	109.98	109.718	109.777	109.861
21	109.909	109.967	109.735	109.776	109.85
22	109.935	109.971	109.744	109.76	109.858
23	109.921	109.957	109.715	109.779	109.837
24	109.925	109.961	109.738	109.798	109.849
25	109.924	109.963	109.733	109.799	109.855
26	109.922	109.952	109.726	109.796	109.836
27	109.905	109.957	109.724	109.773	109.841
28	109.898	109.965	109.723	109.776	109.859
29	109.918	109.955	109.724	109.785	109.843
30	109.897	109.948	109.727	109.78	109.861
31	109.91	109.955	109.721	109.787	109.839
32	109.914	109.962	109.726	109.774	109.845
33	109.907	109.947	109.723	109.79	109.838
34	109.898	109.962	109.721	109.775	109.839
35	109.912	109.944	109.733	109.792	109.834
36	109.915	109.958	109.714	109.774	109.833
37	109.93	109.946	109.72	109.777	109.843
38	109.907	109.959	109.734	109.771	109.845
39	109.919	109.964	109.722	109.777	109.832
40	109.904	109.949	109.717	109.793	109.856
41	109.916	109.956	109.723	109.775	109.861
42	109.921	109.946	109.718	109.781	109.835
43	109.917	109.958	109.716	109.791	109.863
44	109.914	109.975	109.712	109.794	109.858
45	109.914	109.953	109.731	109.788	109.865
46	109.902	109.968	109.712	109.777	109.865
47	109.914	109.968	109.72	109.762	109.852
48	109.902	109.951	109.715	109.765	109.87
49	109.904	109.958	109.712	109.767	109.85
50	109.896	109.962	109.721	109.776	109.867
51	109.911	109.946	109.715	109.778	109.858
52	109.9	109.96	109.702	109.76	109.854
53	109.904	109.949	109.733	109.769	109.866
54	109.888	109.96	109.707	109.765	109.856
55	109.896	109.954	109.719	109.76	109.859
56	109.893	109.943	109.705	109.767	109.846
57	109.899	109.953	109.716	109.756	109.862
58	109.881	109.945	109.714	109.765	109.853
59	109.904	109.938	109.7	109.763	109.851
60	109.895	109.957	109.712	109.76	109.837
61	109.901	109.95	109.698	109.752	109.843
62	109.901	109.953	109.709	109.775	109.834
63	109.907	109.948	109.7	109.761	109.833
64	109.895	109.961	109.713	109.772	109.836
65	109.914	109.964	109.717	109.768	109.831
66	109.898	109.971	109.708	109.772	109.841
67	109.924	109.977	109.716	109.764	109.862
68	109.916	109.975	109.715	109.77	109.846
69	109.904	109.934	109.72	109.753	109.849
70	109.887	109.967	109.737	109.778	109.844
71	109.911	109.962	109.709	109.782	109.862
72	109.908	109.964	109.727	109.763	109.854
73	109.896	109.96	109.711	109.775	109.86
74	109.901	109.968	109.707	109.751	109.852
75	109.908	109.953	109.713	109.77	109.85
76	109.913	109.959	109.701	109.769	109.848
77	109.915	109.958	109.719	109.759	109.854
78	109.912	109.965	109.706	109.763	109.843
79	109.91	109.959	109.727	109.762	109.847
80	109.915	109.963	109.707	109.768	109.848
81	109.902	109.949	109.713	109.771	109.832
82	109.901	109.963	109.713	109.761	109.855
83	109.891	109.967	109.702	109.767	109.839
84	109.919	109.953	109.732	109.778	109.85
85	109.906	109.959	109.726	109.771	109.83
86	109.903	109.953	109.706	109.788	109.844
87	109.916	109.968	109.711	109.774	109.843
88	109.91	109.962	109.723	109.769	109.835
89	109.914	109.962	109.721	109.777	109.834
90	109.904	109.983	109.738	109.744	109.848
91	109.905	109.939	109.714	109.774	109.857
92	109.901	109.986	109.718	109.767	109.839
93	109.909	109.97	109.722	109.77	109.853
94	109.933	109.973	109.724	109.766	109.853
95	109.899	109.961	109.711	109.77	109.841
96	109.913	109.962	109.741	109.759	109.855
97	109.909	109.98	109.722	109.768	109.85
98	109.902	109.984	109.718	109.777	109.853
99	109.902	109.967	109.734	109.764	109.858
100	109.898	109.966	109.719	109.751	109.843
101	109.911	109.984	109.748	109.77	109.85
102	109.903	109.947	109.721	109.765	109.832
103	109.907	109.979	109.74	109.761	109.868
104	109.912	109.976	109.727	109.752	109.842
105	109.921	109.976	109.722	109.745	109.857
106	109.911	109.971	109.733	109.758	109.847
107	109.906	109.966	109.725	109.76	109.869
108	109.901	109.968	109.722	109.765	109.85
109	109.899	109.955	109.719	109.763	109.844
110	109.909	109.967	109.723	109.764	109.848
111	109.915	109.958	109.727	109.765	109.847
112	109.91	109.965	109.733	109.765	109.854
113	109.916	109.958	109.724	109.764	109.849
114	109.903	109.967	109.724	109.774	109.848
115	109.898	109.969	109.724	109.745	109.849
116	109.909	109.972	109.731	109.77	109.87
117	109.903	109.974	109.728	109.766	109.851
118	109.915	109.968	109.72	109.783	109.863
119	109.926	109.967	109.743	109.77	109.843
120	109.896	109.965	109.734	109.772	109.853
121	109.938	109.955	109.737	109.768	109.854
122	109.902	109.964	109.727	109.767	109.831
123	109.92	109.979	109.739	109.782	109.826
124	109.895	109.956	109.74	109.779	109.859
125	109.906	109.97	109.733	109.781	109.86
126	109.919	109.979	109.742	109.788	109.853
127	109.909	109.957	109.751	109.755	109.839
128	109.916	109.973	109.737	109.788	109.852
129	109.919	109.965	109.76	109.781	109.84
130	109.912	109.986	109.736	109.772	109.839
131	109.915	109.969	109.753	109.777	109.852
132	109.914	109.98	109.75	109.766	109.839
133	109.92	109.972	109.724	109.771	109.857
134	109.912	109.98	109.742	109.769	109.851
135	109.896	109.97	109.741	109.767	109.852
136	109.914	109.966	109.735	109.784	109.84
137	109.919	109.975	109.742	109.765	109.845
138	109.902	109.983	109.734	109.783	109.839
139	109.919	109.967	109.728	109.774	109.846
140	109.906	109.974	109.75	109.766	109.855
141	109.921	109.971	109.739	109.782	109.843
142	109.909	109.968	109.719	109.759	109.856
143	109.915	109.977	109.745	109.774	109.857
144	109.917	109.967	109.731	109.777	109.867
145	109.909	109.976	109.728	109.773	109.845
146	109.925	109.975	109.732	109.778	109.866
147	109.924	109.991	109.718	109.777	109.859
148	109.92	109.993	109.733	109.787	109.869
149	109.935	109.99	109.732	109.777	109.858
150	109.923	109.984	109.723	109.783	109.857
151	109.917	109.958	109.746	109.774	109.871
152	109.922	110.008	109.717	109.783	109.853
153	109.916	109.964	109.746	109.77	109.87
154	109.913	109.972	109.703	109.783	109.852
155	109.922	109.977	109.727	109.782	109.85
156	109.924	109.973	109.737	109.76	109.857
157	109.93	109.968	109.724	109.779	109.854
158	109.918	109.97	109.735	109.766	109.871
159	109.906	109.957	109.731	109.781	109.86
160	109.91	109.959	109.73	109.769	109.852
161	109.897	109.968	109.721	109.76	109.86
162	109.91	109.954	109.727	109.785	109.824
163	109.923	109.963	109.714	109.777	109.864
164	109.92	109.956	109.717	109.8	109.857
165	109.937	109.974	109.727	109.793	109.851
