# Overall Threshold 1: [ -2.08689057088506 2.08688974236795 ]
# Overall Threshold 2: [ -4.17378072751157 4.17377989899446 ]
VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	2.21238	1.06872	0.751533	2.14396	2.37505
1	1.58449	0.336116	-0.0717408	1.03166	1.318
2	1.28384	0.324058	0.0402711	0.897982	-0.204722
3	1.10712	-0.166815	0.361217	1.33196	0.637806
4	1.07563	0.226654	-0.230366	1.16352	-0.150597
5	0.830229	-0.185712	-0.00757472	1.03207	0.20499
6	0.65688	0.37242	-0.860086	0.984045	-0.453046
7	1.61246	0.29824	-0.56958	0.540679	-0.750563
8	1.29386	0.416477	-0.876612	0.475919	-0.793186
9	1.52039	0.742024	-0.864561	0.522381	-1.38178
10	0.99415	0.239352	-1.46476	0.36127	-1.25492
11	0.794241	0.672779	-0.990697	0.836423	-1.57164
12	-0.582979	0.508496	-0.20388	0.638763	-1.27475
13	0.146807	1.3369	0.664612	0.450128	-1.24353
14	-0.34937	1.18358	0.235426	0.987158	-1.03287
15	0.63888	1.15948	-0.661226	0.661859	-0.83378
16	0.781178	1.12154	-0.224728	1.5211	-1.08795
17	1.32157	1.08316	-0.142162	1.55673	-0.778742
18	-0.0343401	0.558712	0.186685	1.61969	-0.546141
19	-0.214401	0.728125	0.461356	1.33136	-0.425279
20	0.297356	-0.206478	-0.242772	1.46403	-0.0768721
21	0.422296	0.238583	0.0318931	0.997781	-0.116373
22	-0.378803	0.458837	-1.21859	1.51317	0.235143
23	-0.232072	0.412239	-0.540787	0.424193	0.629785
24	0.140303	0.186622	-0.221598	1.31597	0.863912
25	-0.111095	0.125347	-0.443111	1.48786	0.679899
26	-0.485833	-0.342007	-0.800423	1.39299	0.570139
27	-0.377329	-0.144524	-0.634425	0.341946	1.69072
28	-0.839385	-0.969266	-0.469352	0.552833	1.38578
29	-0.165479	-0.262399	-0.363757	-0.80574	1.27972
30	-0.243818	-1.21235	-0.290166	-0.787226	0.835977
31	0.166107	-0.853538	-0.477951	-1.3576	0.885579
