VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	207.483	208.102	210.208	212.869	213.335
1	206.853	207.372	209.385	211.755	212.279
2	206.553	207.356	209.497	211.623	210.757
3	206.377	206.868	209.818	212.056	211.598
4	206.342	207.261	209.227	211.884	210.811
5	206.1	206.849	209.449	211.755	211.167
6	205.925	207.408	208.596	211.708	210.507
7	206.883	207.333	208.887	211.263	210.211
8	206.56	207.45	208.582	211.2	210.167
9	206.789	207.778	208.59	211.249	209.58
10	206.261	207.274	207.991	211.088	209.705
11	206.064	207.706	208.465	211.56	209.391
12	204.688	207.542	209.253	211.364	209.686
13	205.418	208.371	210.121	211.174	209.719
14	204.92	208.218	209.692	211.711	209.928
15	205.905	208.194	208.794	211.387	210.126
16	206.05	208.157	209.232	212.244	209.874
17	206.591	208.117	209.313	212.282	210.183
18	205.235	207.592	209.643	212.342	210.417
19	205.054	207.762	209.916	212.055	210.536
20	205.567	206.828	209.214	212.187	210.884
21	205.692	207.273	209.488	211.722	210.845
22	204.89	207.495	208.237	212.235	211.196
23	205.037	207.446	208.914	211.147	211.592
24	205.41	207.223	209.234	212.039	211.821
25	205.157	207.161	209.013	212.212	211.639
26	204.782	206.693	208.655	212.116	211.529
27	204.893	206.892	208.822	211.065	212.65
28	204.43	206.069	208.988	211.277	212.348
29	205.104	206.772	209.093	209.915	212.242
30	205.027	205.822	209.166	209.935	211.798
31	205.435	206.183	208.978	209.366	211.847
32	205.018	205.377	208.933	208.926	212.075
33	205.02	205.672	208.591	208.94	211.805
34	204.542	206.289	208.938	208.699	211.639
35	204.915	206.407	208.27	208.511	211.66
36	204.728	206.561	209.244	208.571	211.657
37	204.251	206.021	209.182	208.291	211.772
38	204.592	206.538	210.011	208.952	212.017
39	204.782	206.843	209.431	208.949	211.772
40	204.89	206.771	210.341	208.971	213.346
41	204.931	206.735	209.55	208.65	212.2
42	205.596	206.7	209.873	208.786	211.741
43	204.703	206.243	210.058	209.17	211.643
44	205.42	206.486	209.572	209.073	210.962
45	205.206	205.72	209.606	209.854	211.217
46	204.933	206.721	209.787	209.602	210.366
47	205.155	206.4	209.439	209.231	210.513
48	204.688	207.281	209.767	209.92	210.278
49	204.929	206.759	209.221	209.702	210.482
50	204.952	207.47	209.571	210.454	210.178
51	204.912	206.725	209.202	210.554	210.345
52	204.894	207.016	209.278	210.571	209.928
53	204.598	206.307	209.449	210.487	209.864
54	204.826	206.368	208.962	210.523	210.001
55	204.747	206.594	209.094	210.703	210.047
56	204.546	206.285	208.639	211.269	209.933
57	205.013	205.435	208.442	211.558	210.259
58	204.802	205.924	208.875	211.359	209.876
59	205.075	206.118	208.443	211.55	209.93
60	204.807	206.979	208.991	210.428	209.743
61	204.901	206.277	208.307	211.01	209.822
62	205.043	206.687	209.049	211.579	209.987
63	204.585	205.872	208.69	211.126	210.086
64	205.389	206.313	209.149	210.96	210.552
65	205.619	206.292	209.372	211.272	211.006
66	205.333	206.529	209.254	211.248	210.999
67	205.647	206.847	209.387	211.181	210.226
68	205.375	207.08	209.043	211.078	211.166
69	205.76	206.862	209.536	211.258	211.44
70	204.441	207.24	209.659	210.888	210.112
71	205.69	206.557	209.864	210.662	211.205
72	205.511	207.09	209.643	209.235	211.217
73	206.022	206.63	209.618	210.284	211.745
74	205.989	206.194	209.584	210.357	211.806
75	205.368	207.123	210.083	210.767	210.271
76	205.681	206.695	209.802	210.627	210.894
77	205.384	207.016	210.072	210.395	211.131
78	205.226	206.558	209.555	210.183	211.235
79	205.166	206.867	210.04	209.798	210.761
80	204.588	206.822	210.181	209.918	210.449
81	204.601	206.672	209.911	209.613	209.402
82	204.743	206.823	209.982	210.653	210.324
83	204.283	206.557	209.578	210.92	210.67
84	204.788	206.836	210.002	211.255	210.675
85	204.374	206.634	208.984	211.21	210.596
86	204.806	206.985	208.979	211.995	210.557
87	204.817	207.014	210.046	211.418	210.601
88	204.81	206.608	210.148	211.736	210.727
89	204.928	206.938	210.522	211.049	210.469
90	205.333	206.658	209.198	211.009	210.655
91	205.194	207.227	209.67	211.179	210.207
92	204.346	207.172	209.038	210.926	210.979
93	204.988	207.343	209.931	211.38	210.817
94	204.534	207.13	209.528	211.2	211.128
95	205.069	207.693	209.181	210.585	211.836
96	205.543	207.029	209.18	210.839	212.008
97	205.717	207.678	209.751	210.77	211.404
98	205.599	206.848	209.824	210.488	211.49
99	205.554	206.334	210.147	210.672	210.577
100	205.084	206.652	209.889	210.029	211.461
101	205.13	207.235	209.537	210.408	211.219
102	205.319	207.233	209.937	209.889	210.868
103	205.236	207.571	209.425	209.812	210.592
104	205.369	206.711	210.081	210.302	211.902
105	205.087	206.912	209.721	209.68	211.601
106	204.894	206.3	209.791	210.133	211.896
107	205.047	206.234	210.318	209.418	211.437
108	204.807	206.513	209.7	209.869	211.964
109	204.029	206.091	209.863	209.441	211.394
110	204.582	206.747	208.97	209.575	211.263
111	204.623	206.381	209.742	210.358	210.385
112	205.039	206.839	210.028	209.9	210.671
113	204.989	206.325	209.579	211.093	210.012
114	204.76	206.361	209.849	210.383	209.9
115	205.192	207.143	209.221	211.067	210.644
116	205.278	206.688	210.233	210.489	210.554
117	204.858	207.795	209.988	211.086	209.759
118	204.95	207.066	210.518	210.862	210.172
119	204.771	207.612	210.544	210.111	211.214
120	203.936	207.804	209.972	209.696	211.122
121	204.059	207.496	210.188	211.281	211.034
122	205.519	208.246	209.998	210.98	210.901
123	205.863	207.543	209.291	211.787	210.943
124	204.671	206.94	208.731	210.945	211.728
125	205.562	207.213	209.199	211.462	211.217
126	205.291	207.595	209.955	210.675	211.558
127	205.276	208.441	209.847	211.025	212.013
128	205.218	208.556	210.109	210.857	212.05
129	205.425	207.891	210.006	210.796	210.641
130	205.071	207.811	209.461	210.349	211.799
131	205.586	207.615	209.075	210.086	211.952
132	205.028	207.23	209.267	210.061	211.85
133	205.754	208.427	208.043	210.171	212.156
134	205.267	207.437	209.352	210.474	211.519
135	205.206	207.719	209.013	209.164	210.934
136	205.655	206.97	209.832	209.937	210.516
137	205.137	206.9	209.184	209.9	211.31
138	205.784	207.126	208.598	210.405	210.904
139	205.771	206.556	208.521	210.805	211.482
140	205.901	207.729	208.227	210.435	210.708
141	205.534	208.146	209.819	210.331	210.602
142	205.089	208.061	209.858	210.146	210.002
143	205.498	207.773	210.272	209.701	210.394
144	205.711	208.127	209.961	211.497	209.953
145	205.596	207.226	210.114	211.004	209.914
146	205.999	207.289	209.751	211.754	209.947
147	205.912	207.518	209.608	210.546	209.92
148	205.535	207.484	209.842	210.499	210.153
149	206.041	207.943	209.96	211.387	210.186
150	205.491	208.216	209.672	211.367	210.021
151	206.166	207.916	209.902	212.165	210.584
152	205.784	207.557	209.34	212.078	210.829
153	205.752	207.267	209.426	212.035	210.903
154	205.846	207.55	209.539	211.288	211.268
155	205.891	207.292	209.912	211.518	211.203
156	205.511	207.408	209.752	210.778	210.946
157	205.859	207.313	209.472	211.414	211.414
158	205.461	207.474	209.493	211.277	212.312
159	205.707	206.924	208.782	210.461	211.94
160	205.26	207.014	209.631	212.108	212.341
