VOLNUM	fmriSeriesEncode_2Run1_2.bxh	fmriSeriesEncode_2Run2_4.bxh	fmriSeriesEncode_2Run3_6.bxh	fmriSeriesEncode_2Run4_8.bxh	fmriSeriesEncode_2Run5_10.bxh
0	53.0942	52.945	53.0667	53.3256	53.4074
1	53.097	52.9176	53.124	53.3707	53.4171
2	53.059	52.9388	53.042	53.3348	53.4065
3	53.0629	52.9138	53.1118	53.3731	53.3678
4	53.0659	52.8844	53.0323	53.3493	53.4215
5	53.1044	52.9102	53.0945	53.2628	53.3727
6	53.0769	52.9078	53.0116	53.2924	53.4686
7	53.0935	52.992	53.0493	53.263	53.4224
8	53.0443	52.9401	53.0044	53.2825	53.3995
9	53.0336	52.9589	53.0614	53.2548	53.4219
10	53.0412	52.9806	53.0064	53.3019	53.392
11	53.0758	52.9666	53.0779	53.393	53.3924
12	53.1161	53.0258	53.0741	53.3314	53.3903
13	53.1033	52.9445	53.0803	53.3079	53.4653
14	53.1385	52.992	53.1096	53.3385	53.4068
15	53.0739	52.9341	53.0349	53.341	53.4248
16	53.1086	52.9521	53.0802	53.3538	53.3903
17	53.1717	52.9394	53.0432	53.1836	53.4627
18	53.1665	52.9535	53.1157	53.3171	53.4119
19	53.1564	52.9587	53.1734	53.2299	53.4029
20	53.0805	52.9139	53.1065	53.2304	53.3493
21	53.1081	52.9163	53.1232	53.2315	53.3938
22	53.0794	52.8335	53.0424	53.4465	53.3894
23	53.1737	52.8933	53.1431	53.3973	53.4888
24	53.1099	52.9317	53.1278	53.4309	53.4075
25	53.0484	53.0069	53.1234	53.438	53.4047
26	53.086	52.9416	53.0092	53.4075	53.3426
27	53.0784	53.0189	53.0137	53.3975	53.3723
28	53.1107	52.9532	53.0022	53.3097	53.3856
29	53.0789	53.021	52.9968	53.3703	53.4677
30	53.0959	52.9469	53.0528	53.2643	53.4132
31	53.0853	52.9925	52.993	53.3173	53.4334
32	53.0704	52.9394	53.0043	53.2682	53.4016
33	53.032	52.9363	53.0399	53.2542	53.455
34	53.0739	52.8986	53.0893	53.2824	53.4183
35	53.0738	52.9795	53.0058	53.2647	53.3997
36	53.0864	52.9081	53.0537	53.2867	53.3916
37	53.129	52.9434	53.0718	53.3372	53.3878
38	53.142	52.9814	53.1536	53.3019	53.5085
39	53.0426	52.9404	53.041	53.3009	53.3644
40	53.087	52.9486	53.1288	53.236	53.3906
41	53.0239	52.8973	53.0508	53.3105	53.3317
42	53.03	52.9546	53.1206	53.3865	53.3897
43	53.0996	52.9128	53.1073	53.3201	53.3885
44	53.1458	53.0064	53.1506	53.3811	53.4802
45	53.2323	52.917	53.1505	53.3135	53.3926
46	53.1236	52.9687	53.0693	53.3095	53.4109
47	53.1502	52.8943	53.0974	53.3557	53.3756
48	53.1721	52.9764	53.0792	53.3081	53.4166
49	53.1465	52.9693	53.1351	53.3481	53.4274
50	53.1009	52.9887	53.0578	53.3396	53.5077
51	53.0816	52.9816	53.0294	53.3403	53.3895
52	53.1044	52.9578	53.0392	53.3552	53.449
53	53.072	52.9739	52.9989	53.3149	53.4106
54	53.0689	52.9427	52.9957	53.3039	53.3877
55	53.0507	52.9366	52.9938	53.331	53.3737
56	53.0435	52.9713	53.0101	53.3184	53.3861
