# Overall Threshold 1: [ -6.78037690623029 6.77666109376969 ]
# Overall Threshold 2: [ -13.5588959062303 13.5551800937697 ]
VOLNUM	fmriSeriesEncode#2Run1_2.bxh	fmriSeriesEncode#2Run2_4.bxh	fmriSeriesEncode#2Run3_6.bxh	fmriSeriesEncode#2Run4_8.bxh	fmriSeriesEncode#2Run5_10.bxh
0	-2.00541	-1.58296	-3.79306	-2.43706	-1.98944
1	-0.451651	-1.24923	4.23893	0.433687	1.77076
2	-0.0686422	-1.09115	-1.2009	-0.643862	-0.0596031
3	0.54964	-0.468205	-1.00159	-0.614596	-2.35198
4	0.304808	1.62132	0.0895341	0.623148	-0.951375
5	-0.576826	0.152863	-2.71683	-1.53502	2.42719
6	0.424465	1.88984	2.12318	1.11045	0.761894
7	1.2763	0.364427	0.987068	1.21836	3.0419
8	0.699079	-0.514273	-0.0113861	0.448048	-1.04791
9	-0.7869	1.4186	-0.142301	1.53552	-0.84683
10	-0.961308	-0.755485	-0.631414	1.95688	-1.76926
11	1.42938	1.39314	1.953	-4.66461	0.0270159
12	1.55644	-0.278079	2.32798	3.96711	0.13857
13	0.666636	0.352099	0.151427	1.11277	2.32002
14	-1.31533	-0.423724	-0.872696	-0.262787	-1.55112
15	0.481157	0.296404	-0.383679	-0.934388	1.48536
16	-0.0190875	-0.914291	0.767056	-1.58835	-2.16368
17	0.717773	-0.00663739	-3.58876	2.63778	0.419671
18	0.750919	0.233449	5.21991	-5.31151	0.379209
19	-0.551901	-1.0426	-0.505714	5.94644	0.224029
20	-1.57703	0.890716	-2.83178	-2.35523	-1.15838
21	0.728963	-1.16645	0.0800348	-0.88253	0.262069
22	-2.97124	-0.0380482	-0.902778	-1.06036	-0.198524
23	2.57641	-1.35978	0.743147	5.71027	1.95083
24	-3.61481	4.18824	-1.37849	-1.71267	-1.25071
25	2.20773	0.964426	0.228939	-3.41766	-0.51913
26	1.76954	-1.5195	-0.584068	1.15039	0.395012
27	0.840531	-0.0442918	0.119979	-4.34627	1.08385
28	-1.14795	-1.54577	-0.0499356	0.620381	1.21923
29	-2.14498	-0.722501	-0.167414	3.32101	-0.558014
30	-0.778406	0.878557	-0.243338	-0.480527	-0.492064
31	1.17305	-1.34194	0.96855	0.0665479	-1.14803
32	-2.32747	1.32283	0.811715	0.765424	0.123141
33	0.510633	-2.27337	0.656721	-1.38743	-0.590509
34	-0.464213	2.38982	1.35388	0.742794	-1.11173
35	4.03921	-2.31316	-0.760204	-0.560764	1.45373
36	-0.142702	0.718738	-0.405934	-1.25616	-0.0415952
37	-2.27758	-0.466012	0.280071	2.2992	-0.999974
38	1.36268	2.13073	0.208798	0.733086	0.933682
39	-0.189232	0.056887	-1.23625	-0.828715	-0.601133
40	1.48819	1.43351	1.28754	-2.23111	0.543518
41	0.661143	-1.32674	-1.32323	1.45838	1.35259
42	0.950404	1.16406	-1.99779	2.34842	-1.09136
43	-3.80874	-1.74297	2.83352	-4.07861	-0.531535
44	1.99031	2.68835	0.692981	2.7408	2.56786
45	4.88409	-0.794118	0.271642	3.04921	-0.635098
46	-4.71251	-0.317873	-1.21897	-0.419555	-0.923332
47	-1.42859	-1.12459	-0.900953	-0.500341	-2.56227
48	1.1106	-2.21286	-0.662254	-3.14122	1.68088
49	1.14124	4.13771	0.295993	0.756475	0.364939
50	-1.96633	-1.50889	-0.223554	1.14358	2.78471
51	0.78371	0.149528	-0.628242	-1.46442	-0.975495
52	-0.0166328	-1.52065	-0.462405	-0.277766	-1.32224
53	-1.48585	0.739435	0.575773	-0.21138	-0.971956
54	-1.07583	-0.650712	0.851285	-0.727229	-0.315127
55	-0.22083	-1.13198	-1.52092	-0.176014	-0.110273
56	-0.263876	-0.669879	1.65923	-0.952845	-0.306263
57	-0.259815	0.305202	2.19133	1.09289	1.23675
58	0.356968	0.648483	0.182511	-0.771972	1.43533
59	0.752532	0.225861	-0.658336	0.418762	0.812528
60	0.543425	-0.212627	-1.54551	1.39226	-2.07917
61	0.133672	0.395999	0.893765	0.994622	-0.771582
62	-0.278559	0.948492	-0.644875	0.70658	0.587004
63	0.618466	-3.16775	1.95244	-0.761982	-1.13401
64	1.99393	5.97679	0.439136	-0.536646	2.29131
65	0.906606	1.83407	-1.54245	0.881962	0.322868
66	-1.50027	-0.990866	-0.710418	1.73739	-5.66217
67	-2.35418	-0.473923	1.01234	0.0879619	2.31521
68	-0.442719	-2.21039	0.294447	-1.38148	1.75656
69	5.50234	0.501604	-4.09136	-0.887792	2.47625
70	-0.0454255	-2.10647	0.581101	0.202042	-0.505928
71	-3.23392	-0.428316	2.41446	-0.0967394	0.968902
72	0.832833	3.48855	0.769964	-0.043787	-2.50398
73	1.41064	0.392278	-0.536032	-3.58554	-0.885458
74	-0.980338	-3.67888	-0.805287	1.68393	-0.969379
75	-0.826002	0.923597	-1.30651	1.98102	0.63545
76	-0.541871	-0.48749	0.747554	0.886395	3.55095
77	0.448501	-0.530425	-0.00249086	-1.06296	0.813475
78	-0.811186	1.78094	-0.800593	-3.5228	-1.33114
79	0.258403	-0.803826	-0.17008	1.64647	-2.09988
80	-1.19187	-0.159598	0.48137	2.12229	-1.32134
81	-0.311766	-1.4305	0.352894	-0.704345	0.487552
82	-0.287325	-1.0874	-0.142835	-2.27798	-0.430226
83	-0.852289	-0.474814	2.79668	-0.0220456	0.870412
