VOLNUM	fmriSeriesEncode#2Run1_2.bxh	fmriSeriesEncode#2Run2_4.bxh	fmriSeriesEncode#2Run3_6.bxh	fmriSeriesEncode#2Run4_8.bxh	fmriSeriesEncode#2Run5_10.bxh
0	133.981	112.812	98.5042	272.806	108.282
1	176.781	322.059	230.643	325.247	258.585
2	211.615	196.466	198.837	351.27	251.555
3	172.025	230.777	379.986	598.305	218.771
4	168.617	282.032	250.018	402.082	268.873
5	364.399	221.624	450.374	310.664	231.874
6	245.622	288.549	260.086	222.664	311.843
7	161.004	150.462	236.382	211.404	188.322
8	125.76	150.131	136.921	171.961	152.065
9	125.066	170.934	158.598	131.955	206.488
10	135.879	126.094	163.86	141.279	133.829
11	127.01	138.028	166.284	191.133	154.502
12	135.477	175.604	142.357	172.143	145.935
13	118.928	119.481	162.793	132.592	132.44
14	125.505	125.854	124.598	153.134	144.544
15	125.428	132.972	121.312	151.187	122.523
16	118.976	113.133	148.091	144.801	114.285
17	137.954	135.733	114.885	123.068	132.518
18	151.607	129.513	129.78	128.092	132.831
19	130.92	132.962	132.499	127.058	112.575
20	112.021	126.468	139.182	126.184	114.365
21	117.978	115.927	124.12	121.525	145.932
22	111.48	109.054	118.748	141.753	141.281
23	110.557	131.691	137.15	143.254	129.622
24	135.013	134.292	142.748	134.39	125.174
25	132.748	157.179	143.14	127.573	154.948
26	117.799	130.378	147.817	128.051	137.326
27	118.983	117.734	116.188	140.502	126.534
28	129.714	124.981	148.895	122.675	132.785
29	118.509	109.761	114.384	117.026	134.776
30	119.716	126.471	117.622	120.125	108.013
31	201.941	134.154	132.184	130.99	149.792
32	114.631	150.432	145.909	128.066	121.474
33	134.316	130.769	124.804	123.137	114.507
34	148.592	148.662	109.232	132.926	117.408
35	102.164	106.014	154.887	123.78	151.677
36	138.683	114.32	123.74	106.526	104.463
37	143.2	134.956	119.551	137.72	137.368
38	114.22	130.349	115.866	115.489	133.402
39	120.966	123.231	138.128	118.301	141.832
40	113.6	135.453	140.791	118.762	148.33
41	125.446	127.458	140.5	114.154	124.265
42	121.823	106.355	146.381	115.951	119.651
43	118.032	119.721	120.061	157.613	134.935
44	127.292	120.708	107.974	121.196	133.347
45	112.062	116.901	126.234	114.617	122.444
46	110.67	117.752	112.531	113.513	141.796
47	110.576	106.328	120.542	136.753	122.524
48	128.588	107.547	109.618	115.144	128.167
49	121.988	104.597	119.346	118.614	133.334
50	104.103	111.113	109.02	124.389	120.942
51	116.026	116.029	105.069	121.273	123.689
52	110.951	111.715	120.397	113.22	105.407
53	122.184	108.26	127.37	113.226	144.013
54	111.271	105.526	140.469	103.095	140.026
55	124.303	106.018	113.323	112.106	153.682
56	130.451	100.357	137.615	120.455	124.177
57	109.376	137.696	133.174	108.526	120.259
58	145.391	115.287	164.973	119.172	135.287
59	128.812	122.426	124.826	105.765	163.578
60	113.295	115.044	132.607	150.139	140.127
61	114.663	177.425	173.076	132.234	132.616
62	120.473	158.01	168.117	160.617	137.933
63	124.279	155.233	118.165	146.694	128.662
64	138.525	110.368	149.146	160.769	146.919
65	141.478	136.187	206.966	253.078	159.64
66	135.285	127.349	115.041	194.815	179.587
67	136.013	207.431	144.061	149.123	118.34
68	141.051	142.608	143.354	194.558	132.779
69	138.928	129.737	172.85	181.028	195.214
70	146.156	161.184	164.598	199.4	182.458
71	137.529	187.819	207.837	134.844	193.107
72	134.385	217.856	152.952	179.253	143.535
73	181.027	172.512	190.42	164.178	147.6
74	152.745	176.153	173.102	148.982	135.643
75	129.901	161.24	194.757	213.61	131.522
76	176.877	184.842	145.222	130.519	214.181
77	141.376	181.816	164.691	159.028	200.485
78	120.852	297.834	122.383	199.798	170.446
79	201.03	169.29	192.312	170.184	170.381
80	202.277	111.331	162.906	147.301	178.398
81	159.816	153.421	275.037	161.393	162.626
82	139.959	94.1505	137.914	144.154	105.337
