VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	52.4953	52.583	52.6146	52.6657	53.0334
1	52.4609	52.662	52.6228	52.6034	53.0154
2	52.4859	52.6257	52.713	52.6159	53.0128
3	52.441	52.6438	52.6054	52.6724	53.0389
4	52.4793	52.64	52.6633	52.6428	52.9767
5	52.5077	52.6269	52.6323	52.6382	53.0552
6	52.5489	52.6636	52.6429	52.6471	53.0662
7	52.4897	52.7312	52.603	52.6723	53.0776
8	52.5221	52.643	52.6694	52.623	53.0087
9	52.4593	52.6812	52.6319	52.6236	53.072
10	52.547	52.6367	52.6605	52.6641	53.0267
11	52.4087	52.6985	52.5433	52.5865	53.0429
12	52.5233	52.6591	52.6726	52.6233	53.0177
13	52.4836	52.678	52.6153	52.6327	53.0169
14	52.4435	52.6298	52.6556	52.5794	53.0837
15	52.4395	52.6505	52.5979	52.721	52.9859
16	52.497	52.6207	52.6069	52.5808	53.0512
17	52.4591	52.6534	52.6588	52.6588	53.034
18	52.473	52.6842	52.5341	52.6015	53.0752
19	52.5384	52.6356	52.617	52.5799	52.9875
20	52.4658	52.6588	52.6818	52.6559	53.0469
21	52.4958	52.5999	52.5828	52.5793	53.0388
22	52.4862	52.6737	52.6243	52.6878	53.0373
23	52.4317	52.6389	52.5669	52.6536	53.0152
24	52.5067	52.6917	52.7271	52.6054	53.0555
25	52.4226	52.6384	52.6162	52.712	53.0504
26	52.4679	52.7212	52.6735	52.5921	53.0454
27	52.5052	52.6312	52.6195	52.6746	53.0938
28	52.4821	52.7064	52.6591	52.6202	53.0665
29	52.5077	52.614	52.722	52.6325	53.1098
30	52.495	52.674	52.6234	52.659	53.0496
31	52.5198	52.6443	52.6399	52.6132	53.0374
32	52.4797	52.6523	52.7114	52.6228	53.0511
33	52.4702	52.6216	52.6904	52.6089	53.1282
34	52.5334	52.6579	52.7148	52.6395	53.0464
35	52.5264	52.667	52.6274	52.6586	53.0898
36	52.5277	52.6673	52.6336	52.6218	52.9938
37	52.4923	52.6655	52.6039	52.6436	53.1441
38	52.5485	52.5917	52.5501	52.6407	53.0463
39	52.5131	52.6611	52.655	52.6027	53.0919
40	52.4686	52.5822	52.5761	52.5975	53.001
41	52.5095	52.6981	52.6749	52.6169	53.0259
