VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	114.927	116.142	116.264	116.34	116.659
1	114.947	116.156	116.311	116.403	116.7
2	114.901	116.175	116.267	116.383	116.672
3	114.917	116.154	116.293	116.359	116.663
4	114.855	116.163	116.312	116.333	116.662
5	114.878	116.11	116.259	116.339	116.612
6	114.845	116.152	116.244	116.333	116.595
7	114.937	116.096	116.24	116.305	116.641
8	114.913	116.122	116.228	116.329	116.651
9	114.919	116.088	116.224	116.361	116.62
10	114.897	116.1	116.22	116.315	116.603
11	114.968	116.09	116.311	116.329	116.641
12	114.884	116.093	116.293	116.343	116.668
13	114.969	116.13	116.297	116.307	116.7
14	114.936	116.147	116.244	116.313	116.67
15	114.94	116.135	116.275	116.301	116.71
16	114.917	116.158	116.227	116.311	116.656
17	114.936	116.173	116.242	116.307	116.684
18	114.974	116.16	116.351	116.312	116.674
19	114.948	116.192	116.288	116.396	116.674
20	114.959	116.2	116.275	116.266	116.658
21	114.909	116.169	116.298	116.358	116.677
22	114.918	116.169	116.274	116.362	116.65
23	114.995	116.2	116.288	116.397	116.697
24	114.969	116.186	116.278	116.429	116.682
25	114.992	116.163	116.309	116.38	116.643
26	114.911	116.129	116.25	116.399	116.643
27	114.962	116.184	116.26	116.316	116.653
28	114.948	116.092	116.246	116.315	116.703
29	114.919	116.092	116.204	116.323	116.684
30	114.876	116.106	116.235	116.3	116.689
31	114.915	116.089	116.252	116.308	116.643
32	114.849	116.079	116.237	116.303	116.651
33	114.898	116.093	116.295	116.311	116.566
34	114.804	116.088	116.298	116.289	116.606
35	114.879	116.053	116.302	116.273	116.594
36	114.861	116.095	116.254	116.267	116.589
37	114.909	116.107	116.251	116.291	116.594
38	114.918	116.128	116.245	116.328	116.672
39	114.898	116.189	116.268	116.399	116.667
40	114.974	116.206	116.28	116.354	116.708
41	114.95	116.165	116.237	116.335	116.719
42	114.972	116.185	116.277	116.312	116.656
43	114.914	116.178	116.289	116.365	116.707
44	114.903	116.228	116.296	116.371	116.705
45	115.032	116.189	116.266	116.352	116.739
46	115.019	116.194	116.287	116.391	116.719
47	114.968	116.131	116.24	116.372	116.706
48	114.977	116.171	116.266	116.348	116.603
49	115.026	116.142	116.294	116.404	116.616
50	114.951	116.172	116.299	116.367	116.671
51	114.99	116.124	116.259	116.35	116.65
52	114.916	116.122	116.267	116.323	116.67
53	114.951	116.125	116.26	116.363	116.685
54	114.889	116.144	116.28	116.29	116.613
55	114.92	116.103	116.272	116.294	116.642
56	114.845	116.085	116.266	116.265	116.579
57	114.868	116.072	116.29	116.323	116.613
58	114.843	116.057	116.316	116.285	116.636
59	114.866	116.071	116.236	116.264	116.702
60	114.834	116.077	116.232	116.276	116.662
61	114.846	116.121	116.187	116.289	116.646
62	114.821	116.125	116.248	116.315	116.618
63	114.889	116.101	116.216	116.29	116.609
64	114.937	116.236	116.297	116.366	116.721
65	114.973	116.174	116.245	116.35	116.655
66	114.993	116.197	116.282	116.403	116.705
67	114.976	116.184	116.254	116.411	116.645
68	114.976	116.173	116.277	116.394	116.656
69	114.933	116.2	116.281	116.33	116.669
70	114.967	116.139	116.41	116.394	116.616
71	115.014	116.188	116.261	116.311	116.677
72	115.021	116.15	116.325	116.363	116.68
73	114.939	116.17	116.237	116.312	116.731
74	114.967	116.133	116.264	116.358	116.679
75	114.964	116.186	116.245	116.297	116.737
76	114.981	116.197	116.287	116.352	116.71
77	114.935	116.127	116.258	116.392	116.698
78	114.91	116.125	116.263	116.351	116.667
79	114.943	116.111	116.25	116.396	116.627
80	114.901	116.146	116.268	116.358	116.656
81	114.905	116.083	116.216	116.285	116.655
82	114.853	116.079	116.199	116.292	116.563
83	114.856	116.054	116.31	116.259	116.598
84	114.867	116.051	116.299	116.261	116.586
85	114.842	116.095	116.308	116.242	116.614
86	114.891	116.076	116.276	116.265	116.64
87	114.844	116.131	116.221	116.314	116.631
88	114.901	116.122	116.247	116.335	116.637
89	114.89	116.158	116.211	116.338	116.609
90	114.979	116.203	116.281	116.329	116.687
91	114.962	116.17	116.282	116.373	116.654
