VOLNUM	fmriSeriesEncode_1Run1_3.bxh	fmriSeriesEncode_1Run2_5.bxh	fmriSeriesEncode_1Run3_7.bxh	fmriSeriesEncode_1Run4_9.bxh	fmriSeriesEncode_1Run5_11.bxh
0	4.57681	4.06833	5.01043	4.47954	4.05305
1	4.59072	3.64874	4.96347	4.24199	3.85642
2	4.56096	3.67597	5.11819	4.51683	3.67274
3	4.56079	3.71471	5.01542	4.58588	3.73661
4	4.50692	3.68648	5.09149	4.82525	3.58859
5	4.56192	3.73195	4.96966	4.64316	3.7598
6	4.58769	3.65518	4.97654	4.96148	3.60077
7	4.60862	3.7739	4.93531	4.56721	3.87658
8	4.52663	3.75016	4.96124	4.95844	3.84637
9	4.54062	3.76292	4.86833	4.56255	3.99201
10	4.51176	3.72559	4.95456	4.78303	3.9707
11	4.30984	3.70362	4.9181	4.62126	4.34179
12	3.77572	3.92233	5.0759	4.35078	4.34614
13	3.67566	3.9117	4.92565	4.61778	4.16223
14	3.63243	4.05114	5.11702	4.1902	4.27988
15	3.63319	3.92769	4.96223	4.5393	4.43883
16	3.71587	4.08873	5.03958	4.38932	4.29793
17	3.84676	4.54969	4.96273	4.63291	4.06985
18	3.82003	4.0569	4.97809	4.54392	3.85161
19	3.82064	4.07677	4.8876	4.61741	3.79119
20	3.83704	4.1098	4.96831	4.59566	3.85946
21	3.99096	4.25006	4.87746	4.40098	3.6976
22	4.10407	4.26049	4.96451	4.55409	4.19588
23	4.02072	4.04663	4.92576	4.66803	3.7145
24	3.79648	3.81863	5.06423	4.82807	3.94177
25	3.81505	4.00214	4.97585	4.67187	3.6451
26	3.91277	4.14294	5.07933	4.84947	3.55545
27	3.98967	4.32926	4.98909	4.65874	3.58846
28	3.99718	4.0239	5.11695	4.59451	3.46142
29	3.97177	4.24986	5.05023	4.58208	3.41199
30	4.12637	3.95683	5.12698	4.52723	3.3773
31	4.2042	4.24896	5.02022	4.8831	3.41763
32	4.3246	4.42776	5.13884	4.54244	3.41572
33	4.19719	4.1341	4.96638	4.24877	3.45682
34	4.31979	4.25512	5.12524	4.81231	3.42987
35	4.32212	3.97659	5.10425	4.45108	3.52442
36	4.33037	4.05055	5.03825	4.42378	3.52283
37	4.52208	3.97515	5.04214	4.4618	4.84029
38	4.95221	4.10677	5.02919	4.22438	4.11623
39	8.30407	4.0885	5.14629	3.69127	3.97655
40	4.11588	4.23206	4.99144	4.30676	3.78483
41	4.03024	3.90098	5.0215	4.0008	3.74853
42	4.20944	4.33848	4.60823	4.72172	4.07367
43	4.30752	4.42669	4.83613	4.55884	3.85639
44	4.11733	4.52849	4.73735	4.38119	4.12611
45	4.30232	4.24299	4.66677	3.87804	3.59348
46	4.18778	4.40256	4.54371	3.70043	3.92489
47	4.58324	4.07711	4.5553	4.06786	3.87156
48	4.13714	4.90296	6.03625	5.17548	4.02649
49	4.20932	5.25619	5.03985	4.67463	4.0747
50	3.77397	4.05073	4.66732	4.48333	4.41689
51	3.85251	3.99377	4.10637	4.3994	4.36476
52	4.08689	4.15611	3.85347	4.44565	4.15411
53	3.9133	3.74753	3.84001	4.47451	4.2765
54	3.8695	4.10113	3.70005	4.50044	4.07655
55	3.81189	3.91627	3.67488	4.32935	3.9573
56	3.94854	4.22092	3.65833	4.34963	3.90347
57	3.67459	4.30612	3.61955	4.44844	3.88111
58	3.75389	4.46793	3.74068	4.52932	3.74725
59	3.67099	4.17182	3.65009	4.27371	3.55743
60	3.61615	4.22028	3.77123	4.53254	3.63052
61	3.7794	3.90541	3.64623	4.38606	3.88696
62	3.63925	4.15835	3.83271	4.11048	3.4471
63	4.51538	3.77238	3.90797	4.57932	3.9382
64	4.31658	3.81787	4.20723	3.89887	3.5837
65	4.00061	4.03124	3.9315	4.20402	3.63259
66	4.02414	3.79146	4.22911	4.09746	3.60782
67	3.91882	3.97282	4.22625	3.88451	3.74237
68	4.42622	4.01568	4.26208	4.2801	3.92739
69	3.81438	4.27637	4.44024	4.0017	3.978
70	4.31114	4.02623	4.26653	4.39138	3.75967
71	4.1424	4.22863	4.21113	4.2459	3.48844
72	3.89971	4.08121	3.86787	4.20899	3.45481
73	4.1242	4.01605	3.88688	3.7362	3.27836
74	4.14216	4.1398	3.79878	3.81737	4.05276
75	3.78539	4.02011	3.84491	3.5825	3.97719
76	3.45024	3.84578	3.764	3.79365	3.82385
77	3.32368	3.74933	3.56987	3.98912	4.0591
78	3.25699	3.93227	3.6747	4.1267	3.80856
79	3.80075	3.91311	3.70462	3.83668	3.9714
80	3.74915	3.91626	3.60246	4.39698	3.90568
81	3.3332	3.63086	3.71414	3.9431	3.87693
82	3.6999	3.86527	3.70672	4.3605	3.84577
83	3.77725	3.72089	3.84706	4.36587	3.81179
84	3.73197	3.92557	3.73552	4.36064	3.92549
85	3.84097	3.70346	3.97386	4.33775	4.41608
86	3.9033	3.96679	3.78452	4.34969	4.8477
87	4.26409	3.73042	4.01484	4.36285	4.26047
88	3.76133	4.03581	3.6313	4.12504	4.08647
89	3.81993	4.49443	4.1789	4.5857	4.19004
90	5.27731	5.22443	4.29678	4.30382	4.25986
91	5.22536	5.18763	4.15968	4.01866	4.07316
92	4.44694	4.39755	3.8941	4.30343	3.78272
93	4.24931	4.82191	4.23651	4.05905	3.72024
94	4.38565	4.43313	4.07187	4.04529	3.45962
95	4.50745	4.66406	4.35551	4.2875	4.01079
96	4.25431	4.60346	4.0633	4.08559	3.98455
97	4.192	3.99125	4.33739	3.96002	3.65838
98	4.05324	3.84311	4.05934	4.04047	3.47271
99	3.86348	3.79191	4.02882	4.10061	3.43139
100	3.85816	4.28241	4.00278	4.29897	4.07238
101	3.83361	4.11985	4.27299	4.25977	3.83183
102	3.52817	4.19944	3.96916	4.17663	3.68425
103	4.28363	3.70152	4.20734	4.11077	3.51394
104	3.77905	4.01866	4.01154	4.32318	3.85473
105	3.72808	3.88602	4.20914	3.93199	3.53867
106	3.76024	3.75	3.89378	4.3037	3.64212
107	3.9986	4.05402	4.09967	4.13497	3.75834
108	4.14274	4.05152	4.1149	4.23786	3.69549
109	3.92327	4.19666	4.15546	4.29556	4.04726
110	3.81604	4.18053	3.87904	4.27755	3.78137
111	4.01202	4.17461	4.04744	4.41008	4.25323
112	4.03193	4.23004	3.88691	4.00823	3.81147
113	3.95481	4.81533	3.81523	4.14662	4.01835
114	3.63471	4.31567	3.85	3.95682	3.95883
115	3.72251	4.3925	4.01282	4.03011	4.49852
116	5.56441	4.62822	3.85384	4.35329	4.12356
117	5.97253	4.41299	3.49375	4.09499	4.16228
118	4.77588	4.34122	3.6929	4.2514	4.36563
119	4.57124	4.1288	3.74957	4.09577	4.20859
120	4.48651	4.47268	3.62485	4.16802	3.93087
121	4.70586	4.36813	3.71695	4.20338	5.83021
122	4.81799	4.33266	3.7806	4.16995	4.56507
123	4.86124	4.37767	3.49119	4.13704	4.10919
124	4.78071	4.18787	4.06371	4.04606	4.04276
125	4.66503	4.37986	3.48425	4.01284	3.97722
126	4.75639	4.02478	3.8954	3.91297	4.17467
127	4.79476	4.22914	3.86146	4.2498	3.98493
128	4.77018	4.3694	3.8514	3.96147	4.04323
129	4.61052	4.2019	3.61043	3.59697	3.74375
130	4.59334	4.45096	3.55079	3.56138	4.0922
131	4.73227	4.32978	3.72642	3.596	3.98094
132	4.65956	4.36705	3.64226	3.4641	4.19406
133	4.66571	4.57888	3.5337	3.48565	3.85896
134	4.4991	4.45681	3.50137	3.46215	4.00203
135	4.60415	4.59521	3.58373	3.4715	4.23593
136	4.50515	4.62539	3.56022	3.55218	4.49892
137	4.56224	4.61398	3.82809	3.50005	4.29171
138	4.59052	4.57952	3.57349	3.7733	4.45643
139	4.63764	4.56962	3.73934	3.52676	4.30897
140	4.72417	4.57441	3.57844	3.62067	4.5033
141	4.53767	4.59842	4.1752	3.92915	4.25226
142	4.55468	4.74704	3.55517	3.90524	4.45306
143	4.69268	4.5573	3.62598	3.91857	4.10957
144	4.60424	4.1954	3.51069	3.79043	3.83469
145	4.41225	4.40317	3.4757	3.99268	4.02139
146	4.57919	4.17601	3.72517	3.95627	3.93319
147	3.85103	4.68865	3.83794	6.01377	4.30504
148	3.93382	4.85816	3.7414	5.49034	3.7579
149	4.43567	4.77041	3.80585	4.98934	3.96378
150	4.72088	4.63687	3.66468	4.89549	3.8495
151	4.90461	4.56209	4.2273	4.93975	3.94108
152	5.01551	4.33869	3.858	4.91324	3.90478
153	5.16218	3.59298	3.89568	4.97383	3.77077
154	4.95473	3.72043	3.94416	4.89352	3.86704
155	4.95695	3.86281	3.70605	4.86232	3.73254
156	4.90014	3.84066	4.08688	4.7247	3.70328
157	4.86445	4.01777	3.84861	4.77894	3.58668
158	4.75079	4.04589	3.74311	4.68928	3.8924
159	4.82937	4.48879	3.90345	4.59283	3.75657
160	4.70981	4.21106	4.85114	4.46224	3.57348
161	4.84278	4.4501	4.37816	4.41475	3.58283
162	4.68752	4.36696	4.03896	4.34722	3.52697
163	4.93154	4.50752	4.29788	4.32814	3.59873
164	4.8117	4.34672	3.98204	4.32743	3.51959
165	4.9714	4.4976	4.12741	4.27477	3.79986
