VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	4.31811	5.16075	4.78103	4.61312	4.69432
1	4.32349	4.74558	4.76364	4.68848	4.3299
2	4.22342	4.96012	4.87382	4.71112	4.46652
3	4.15562	4.80366	4.95735	4.73993	4.55289
4	4.09037	4.90309	4.91494	4.79577	4.56682
5	4.1269	4.75258	4.94179	4.81627	4.64908
6	4.09615	4.94069	4.95634	5.0938	4.55183
7	4.08085	4.76312	4.92703	4.94667	4.59061
8	4.02346	4.87673	4.94067	4.82278	4.6444
9	4.10191	4.73567	5.02114	4.83431	4.6564
10	4.12216	4.82801	5.04263	4.98381	4.33446
11	5.16033	5.05192	5.04444	4.8611	4.34466
12	4.924	5.20626	4.77092	4.64671	4.3158
13	4.86349	5.11977	4.83077	4.73576	4.29869
14	4.891	5.1163	4.75636	4.63844	4.20542
15	4.82223	5.09109	4.93657	4.71147	4.01914
16	4.87466	4.82726	4.90417	4.74202	4.19435
17	4.79803	5.22404	4.98753	4.75665	5.66186
18	4.77306	4.70141	4.87404	4.77813	5.45756
19	4.74311	4.96237	5.09664	4.79176	5.16627
20	4.78776	4.908	5.00839	4.82814	4.98851
21	4.87444	4.94551	5.07459	4.75581	5.09695
22	4.74562	4.98394	4.96533	4.9409	5.46431
23	4.75453	4.89188	5.08395	5.05154	5.52016
24	4.73325	4.55192	5.05002	5.09473	5.31705
25	4.73271	4.78275	5.11368	5.08632	5.37441
26	4.742	4.58167	5.1263	5.06599	5.39983
27	4.70016	4.96276	5.17924	5.04555	5.41399
28	4.60331	4.66374	5.19948	4.66527	5.13926
29	4.61914	4.92381	5.16093	4.78933	5.2492
30	4.71203	4.38545	5.09609	4.84046	5.1844
31	4.9352	4.75554	5.11218	5.04532	5.19604
32	4.66782	4.78547	4.99096	4.85661	5.17241
33	4.62583	4.42445	4.97073	4.59884	5.01971
34	4.60416	4.7066	4.91364	4.7037	5.15286
35	4.66285	4.34046	4.9693	4.75799	5.06587
36	4.71119	4.32254	4.8973	4.72022	5.00494
37	4.6081	4.49231	4.93225	4.64504	5.00496
38	5.15113	4.37735	4.93141	4.56269	4.87956
39	9.11	4.31586	4.95165	4.04478	4.94483
40	4.40858	4.67756	4.73388	4.832	5.24507
41	4.33522	4.38038	4.69462	4.30651	5.13124
42	4.40855	4.70438	4.18556	5.03973	5.20947
43	4.45052	4.81416	4.56772	5.35823	5.07336
44	4.43639	4.89405	4.441	5.13881	5.29423
45	4.59936	4.68516	4.52273	4.97671	5.04817
46	4.67713	4.85396	4.53194	4.81554	5.05904
47	4.71019	4.62174	4.56461	4.80471	4.89595
48	4.42371	5.33992	5.74967	4.56518	4.74338
49	4.21342	5.53137	4.85977	4.36059	4.76155
50	4.0324	4.53307	5.03021	4.54046	4.63499
51	3.82471	4.38954	4.54338	4.71503	4.76375
52	4.55554	4.5137	4.59931	4.6423	4.50212
53	3.9319	4.19283	4.60589	4.79806	4.37108
54	3.89306	4.59125	4.75352	4.56291	4.54008
55	4.011	4.43559	4.69951	4.81376	4.54288
56	4.57751	4.87307	4.843	4.63817	4.56368
57	4.13112	4.79124	4.80267	4.54671	4.28352
58	3.93974	4.98978	4.75608	4.24575	4.56897
59	3.88822	4.71042	4.80252	4.52105	4.38078
60	3.92466	4.85309	4.68771	4.24945	4.25968
61	4.06001	4.58912	4.82	4.3033	4.89942
62	3.98311	4.86576	4.6435	4.1368	4.22603
63	4.82534	4.47941	4.65822	4.50761	4.43139
64	4.0591	4.6282	4.67985	4.19127	4.29532
65	4.24869	4.62469	4.70818	4.14162	4.47627
66	4.15205	4.6216	4.48228	4.35081	4.36597
67	4.14984	4.78474	4.44909	4.3458	4.50294
68	4.9706	4.71951	4.6095	4.4743	4.63281
