VOLNUM	fmriSeriesEncode_1Run1_3.bxh	fmriSeriesEncode_1Run2_5.bxh	fmriSeriesEncode_1Run3_7.bxh	fmriSeriesEncode_1Run4_9.bxh	fmriSeriesEncode_1Run5_11.bxh
0	51.7895	49.8744	49.7425	50.4463	50.6583
1	51.8241	49.8438	49.7404	50.4156	50.6047
2	51.7397	49.8209	49.7586	50.3638	50.6387
3	51.7393	49.831	49.7574	50.3291	50.7104
4	51.6754	49.7951	49.7142	50.2834	50.6304
5	51.6818	49.8254	49.7459	50.3357	50.6493
6	51.6747	49.8339	49.7881	50.334	50.6669
7	51.6329	49.8386	49.7953	50.3876	50.6943
8	51.5497	49.781	49.7162	50.3028	50.6303
9	51.5729	49.7687	49.7339	50.3016	50.6779
10	51.6111	49.8397	49.777	50.2953	50.692
11	51.9141	49.9787	49.7934	50.3151	50.7471
12	52.0458	49.8683	49.8393	50.3415	50.5056
13	52.0354	49.8198	49.8126	50.3103	50.5605
14	52.086	49.8112	49.8189	50.38	50.5892
15	52.1008	49.9012	49.8133	50.3476	50.5741
16	52.0982	49.9429	49.7573	50.2619	50.6807
17	51.9813	49.7579	49.739	50.3263	50.9685
18	51.8327	49.849	49.7873	50.3371	50.7552
19	51.9018	49.8025	49.6974	50.3119	50.8155
20	51.9173	49.8228	49.7723	50.2675	50.8089
21	51.9683	49.9627	49.7678	50.3153	50.7791
22	51.8105	49.9685	49.7201	50.2877	50.9568
23	51.7222	49.9196	49.7414	50.333	50.8452
24	51.6066	49.9182	49.7472	50.3453	50.8887
25	51.6316	49.8532	49.7808	50.3371	50.9204
26	51.6432	49.8761	49.7145	50.3276	50.8835
27	51.6417	49.8978	49.7014	50.3471	50.8396
28	51.6109	49.9396	49.7409	50.3405	50.7304
29	51.6201	49.9046	49.7804	50.2682	50.7627
30	51.7256	49.9791	49.7226	50.2855	50.7451
31	51.6974	49.9542	49.7507	50.2514	50.7182
32	51.6746	49.8738	49.8078	50.2687	50.6939
33	51.611	49.8911	49.7766	50.473	50.6996
34	51.6607	49.9106	49.736	50.458	50.7653
35	51.7113	49.9508	49.77	50.3282	50.7491
36	51.6752	49.8911	49.7963	50.3843	50.7629
37	51.6916	49.9065	49.7399	50.6806	51.0098
38	51.5807	49.9124	49.7393	50.5657	50.8081
39	51.3928	49.9774	49.724	50.543	50.7995
40	51.4946	49.8911	49.8179	50.6737	50.7814
41	51.4668	49.8721	49.7833	50.6027	50.734
42	51.5025	49.8515	50.0411	50.7469	50.7796
43	51.4844	49.8157	49.9279	50.8546	50.7466
44	51.4954	49.814	50.056	50.7973	50.7992
45	51.5145	49.8709	50.113	50.7508	50.7827
46	51.5058	49.8671	50.2208	50.6856	50.7541
47	51.5076	49.8577	50.2501	50.7863	50.7402
48	51.4073	49.8408	50.8998	51.0827	50.7487
49	51.3735	49.8916	52.1941	50.8942	50.7957
50	51.3241	49.9117	51.6286	50.846	50.78
51	51.3819	49.8701	51.0988	50.821	50.8217
52	51.3438	49.9643	51.0317	50.7931	50.7949
53	51.3146	49.9987	51.1562	50.8513	50.7797
54	51.2965	49.9025	51.1441	50.8817	50.7574
55	51.366	49.8605	51.1231	50.8151	50.7264
56	51.3699	49.9286	50.9237	50.7726	50.6804
57	51.3277	49.9548	51.0162	50.7007	50.6983
58	51.3537	49.9315	50.9723	50.7275	50.6642
59	51.3463	49.8963	50.9399	50.6908	50.6784
60	51.3432	49.9338	50.8732	50.6465	50.7325
61	51.3811	49.9799	50.8248	50.6328	50.7104
62	51.4062	49.9624	50.8444	50.6697	50.6687
63	51.4187	49.8845	50.9718	50.6189	50.6692
64	51.3479	49.8711	50.8373	50.4983	50.6621
65	51.2634	49.8617	50.7774	50.5197	50.7141
66	51.26	49.9476	50.8357	50.6132	50.6173
67	51.2838	49.8631	50.8175	50.5992	50.645
68	51.261	49.801	50.8005	50.5224	50.6517
69	51.2017	49.7438	50.9224	50.4193	50.6737
70	51.1562	49.8087	50.8658	50.3602	50.6217
71	51.149	49.788	50.9582	50.656	50.5242
72	51.2605	49.8074	50.9707	50.6147	50.5249
73	51.3203	49.84	51.0011	50.5878	50.6
74	51.2661	49.8499	50.9586	50.4975	50.5835
75	51.1551	49.839	50.948	50.591	50.4658
76	51.2741	49.7886	50.8781	50.5455	50.4687
77	51.2709	49.788	50.7713	50.4387	50.5141
78	51.3169	49.7842	50.8093	50.4228	50.5441
79	51.4431	49.8481	50.7331	50.498	50.4665
80	51.3766	49.7767	50.6813	50.4151	50.4554
81	51.3644	49.8083	50.6527	50.3851	50.5507
82	51.3919	49.8363	50.6924	50.4392	50.556
83	51.3546	49.8906	50.7449	50.4138	50.56
84	51.3155	49.8276	50.6877	50.3652	50.5038
85	51.3088	49.8075	50.6811	50.4168	50.4614
86	51.4134	49.8173	50.6927	50.4104	50.7349
87	51.3707	49.885	50.5042	50.3359	50.7102
