VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	770.33	768.501	764.312	762.225	758.999
1	770.567	767.409	763.462	762.749	758.608
2	773.414	766.983	761.603	762.054	758.926
3	773.232	767.416	760.541	761.116	758.572
4	773.217	768.073	761.294	760.954	758.01
5	772.589	768.653	763.685	760.113	759.2
6	771.664	767.61	764.957	757.435	759.743
7	770.02	765.891	765.419	760.796	761.155
8	771.591	765.294	765.592	762.534	758.818
9	771.294	766.386	766.907	765.069	757.525
10	772.68	767.96	766.755	763.033	756.275
11	754.899	767.365	766.829	761.381	757.89
12	765.513	767.943	760.982	762.223	761.029
13	766.73	770.009	764.743	765.65	761.189
14	770.068	772.396	765.921	767.234	761.798
15	770.855	772.772	765.291	765.742	761.217
16	770.618	772.291	764.421	765.611	759.513
17	763.501	770.535	764.55	763.212	756.419
18	766.377	770.197	766.502	764.499	759.913
19	771.65	770.297	766.274	764.336	759.531
20	774.232	770.805	766.229	764.974	760.103
21	774.57	769.287	765.402	763.948	759.717
22	775.47	771.284	763.778	758.541	755.814
23	771.377	767.525	764.832	756.97	759.135
24	772.304	768.081	765.681	757.896	759.626
25	771.238	767.22	764.625	758.31	760.77
26	770.738	766.524	763.352	759.287	759.75
27	770.091	765.88	763.755	759.674	759.846
28	770.256	765.687	763.084	764.222	757.951
29	769.527	765.525	761.391	766.463	758.738
30	768.834	765.935	761.14	765.229	758.373
31	768.601	766.965	762.601	761.917	757.42
32	767.783	767.532	762.517	761.264	756.944
33	769.23	767.161	762.731	763.815	757.533
34	769.395	765.04	764.102	762.177	757.365
35	768.702	770.104	764.293	762.175	758.176
36	767.856	772.413	763.45	763.621	760.129
37	769.234	772.338	764.602	765.119	757.573
38	761.103	772.846	765.298	762.584	760.212
39	763.157	773.137	768.136	764.362	760.686
40	769.308	772.633	769.491	766.292	762.651
41	771.383	772.227	769.199	765.472	762.173
42	772.375	771.945	770.613	764.575	762.103
43	772.295	767.101	769.031	765.813	761.703
44	773.016	764.369	769.709	762.331	761.214
45	775.365	766.038	769.827	761.799	759.896
46	775.118	767.211	770.549	761.656	758.996
47	773.646	768.76	769.507	762.039	757.694
48	771.746	765.001	735.728	757.617	757.95
49	770.625	766.376	771.468	759.165	757.934
50	771.107	768.34	749.745	758.395	757.981
51	769.662	768.263	761.27	760.835	754.155
52	767.612	771.842	763.125	762.45	754.644
53	766.182	772.719	764.031	762.762	757.151
54	766.71	770.808	765.51	762.841	760.382
55	767.299	769.167	764.676	762.945	761.097
56	766.936	766.754	765.138	762.158	760.315
57	766.217	764.882	765.475	761.629	760.936
58	768.632	764.825	765.225	762.898	760.351
59	770.394	766.473	764.543	763.816	759.053
60	770.707	767.592	764.069	763.712	758.064
61	770.616	768.782	764.436	763.499	756.373
62	770.275	769.215	764.977	763.178	757.278
63	769.341	769.92	765.012	762.058	758.909
64	769.561	770.099	767.5	762.095	760.543
65	770.765	769.722	766.52	764.67	761.39
66	772.669	770.824	767.187	766.098	761.804
67	772.382	771.031	768.179	765.959	762.323
68	770.841	770.298	768.741	766.464	762.561
69	770.092	769.221	767.542	764.573	760.622
70	768.412	769.921	766.977	758.58	759.677
71	770.698	768.691	763.679	761.548	758.562
72	770.415	769.638	762.221	761.757	757.918
73	769.865	770.355	763.399	763.032	757.152
74	765.17	769.7	764.095	762.809	756.363
75	771.285	767.819	764.53	761.339	756.249
76	768.441	767.426	762.518	760.912	758.074
77	770.472	767.194	759.732	761.716	758.463
78	770.855	767.879	762.17	762.44	757.501
79	768.893	766.842	764.947	762.515	757.565
80	771.176	766.626	765.546	761.622	759.224
81	771.033	768.012	764.159	762.163	759.778
82	771.339	768.444	762.383	761.675	760.01
83	770.446	768.47	761.687	760.318	760.764
84	769.8	768.097	761.764	761.287	762.239
85	769.914	768.895	762.416	761.752	763.368
86	769.384	768.976	762.439	760.932	758.428
87	768.538	769.156	763.277	761.984	759.188
88	769.267	768.422	768.02	762.602	760.131
89	770.33	765.459	770.102	762.243	753.869
90	762.211	766.623	768.405	761.556	757.01
91	766.591	767.64	767.203	764.893	760.013
92	769.902	770.444	767.988	765.426	761.492
93	770.487	771.576	767.681	767.082	760.703
