VOLNUM	fmriSeriesMoCoSeries_4.bxh	fmriSeriesMoCoSeries_6.bxh	fmriSeriesMoCoSeries_8.bxh	fmriSeriesMoCoSeries_10.bxh	fmriSeriesMoCoSeries_12.bxh
0	3.64487	4.66146	3.75124	4.00364	4.29656
1	3.89804	3.85335	3.75293	4.08284	3.8626
2	3.73616	4.10551	3.65931	4.04375	3.85811
3	3.67505	3.87005	3.94048	4.06996	3.92353
4	3.60017	3.87242	3.73274	3.91022	4.03645
5	3.61173	3.77469	3.80538	4.05178	3.99581
6	3.51997	3.92771	3.78836	4.07014	3.90252
7	3.50924	3.9626	4.04735	4.05576	4.04073
8	3.50413	3.94177	3.84515	3.74412	4.23652
9	3.5406	3.69517	3.88199	3.9579	4.23278
10	3.52246	3.84187	3.82846	4.12516	4.06232
11	5.01383	4.44863	4.13307	4.03637	3.89692
12	4.33238	4.14429	3.90777	3.88263	3.74116
13	4.11886	4.0842	3.88177	3.81325	3.61955
14	4.03546	4.13449	3.66068	3.93583	3.64611
15	4.04367	4.3708	3.88949	4.02287	3.73693
16	4.09541	4.28104	4.08311	4.0331	3.87882
17	4.19078	4.4156	3.90823	3.80669	4.75369
18	4.14978	4.09345	3.90297	3.81865	4.37534
19	3.98154	4.17059	3.99739	4.09283	4.00413
20	4.07011	4.06243	3.82421	3.81254	3.90534
21	4.1451	4.58069	3.99223	3.92863	4.06192
22	4.11503	4.45802	3.95086	4.11938	4.34798
23	4.16172	4.3007	3.92961	4.2353	4.34837
24	3.99768	4.06237	3.78058	4.07641	4.15376
25	3.93331	4.11986	3.87071	4.13686	4.15073
26	3.96571	4.04544	3.91882	3.9835	4.1444
27	3.93466	4.25325	3.91968	4.10187	4.29268
28	3.83848	4.22737	3.84418	3.74013	4.1832
29	3.78606	4.51194	3.98073	3.92229	4.13849
30	3.88505	4.17484	3.86638	3.9962	4.15658
31	4.08678	4.44982	3.90667	4.09709	4.17503
32	3.88151	4.24319	3.74121	3.98444	4.26059
33	3.91267	4.24074	3.94838	4.04738	4.23791
34	3.90787	4.35529	3.75391	3.69643	4.2647
35	3.86187	4.03842	3.75212	3.96204	4.30424
36	3.98686	4.01639	3.84601	3.79128	4.10062
37	3.93603	4.31515	3.85345	4.33033	4.40704
38	5.25852	4.08126	3.88107	4.39541	4.12943
39	8.4993	4.14122	3.82575	4.06343	4.19834
40	4.29228	4.42121	3.9241	4.33444	4.37394
41	3.87605	4.12791	3.93462	4.27226	4.21272
42	3.84759	4.28767	4.07229	4.43943	4.21539
43	3.92872	4.58799	4.11968	4.25773	4.09295
44	3.83806	4.228	4.12737	4.14672	4.30078
45	3.95708	4.23628	4.17008	4.14879	4.21012
46	4.14271	4.16749	4.08687	4.04379	4.287
47	4.10626	4.14327	4.23765	4.01963	4.1359
48	3.85132	5.36173	5.67017	4.95532	4.04286
49	3.76981	5.52061	5.01215	4.06888	4.09333
50	3.7491	4.25988	4.88701	4.04518	4.07998
51	3.59776	4.16026	4.17522	4.00253	4.4898
52	4.41394	4.14776	3.93856	3.83259	4.12115
53	3.92733	4.02979	3.85223	3.91919	3.96347
54	3.8777	4.38827	3.93449	3.72128	3.96707
55	3.98109	4.08157	3.89923	4.05659	3.95327
56	4.37144	4.40286	4.12377	3.95337	4.06244
57	4.06589	4.51747	3.99712	4.0336	3.81039
58	3.96387	4.60575	3.88961	3.72743	4.07873
59	3.78898	4.34952	3.97744	4.05666	3.98973
60	3.81251	4.25121	3.86638	3.7406	3.88486
61	3.76672	4.17431	4.04203	3.90676	4.57807
62	3.78578	4.521	3.8066	3.92219	3.9981
63	4.63414	3.93818	3.98137	4.16676	4.33386
64	3.90138	4.35269	3.90468	4.03754	4.05118
65	4.12762	4.0301	3.90754	3.88711	4.14644
66	3.88915	4.11081	3.66168	3.83124	4.10867
67	3.9458	4.26153	3.66575	4.02434	4.1523
68	4.77546	4.22637	3.74634	4.02974	4.34045
69	3.96662	4.21598	3.72959	4.09683	4.0057
70	4.16774	3.99813	3.96645	4.99754	4.39712
71	3.94503	4.12147	4.0733	4.21755	4.05439
72	3.78358	3.96295	4.03856	4.233	4.04734
73	4.47063	3.98005	3.94129	3.95145	3.8576
74	4.90552	4.01896	3.97287	4.05347	4.53033
75	4.04466	4.15652	3.85438	3.86179	4.04597
76	4.3228	3.91872	3.98867	4.25229	4.10417
77	4.10818	3.93918	4.07497	3.98658	3.98079
78	3.8425	4.02459	3.97875	3.97289	4.32003
79	4.36482	4.09822	3.8642	3.79022	4.11677
80	4.28522	4.09524	3.8621	4.26174	4.14342
81	3.77737	4.03115	3.78526	4.01237	3.90597
82	3.77292	4.12756	4.06182	3.95278	4.27195
83	3.88684	4.13104	4.19496	4.42004	4.27332
84	3.80329	4.25603	4.27195	3.96776	4.0986
85	3.90436	4.00126	4.10936	3.88233	5.00965
86	3.96081	4.04589	4.11717	4.28395	4.80323
87	4.41777	4.0589	4.08931	3.9408	4.60859
88	3.88377	4.40651	4.1458	3.88468	4.03942
89	3.80492	4.46035	4.24226	4.40465	4.35794
90	6.01766	4.09127	4.28033	3.85665	3.79966
